<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QGRD.US,D,20250710,000000,25.03,25.03,24.9855,24.9855,3002,0
QGRD.US,D,20250711,000000,24.87,24.9399,24.87,24.9399,1042,0
QGRD.US,D,20250714,000000,24.68,25.0184,24.68,25.0184,204,0
QGRD.US,D,20250718,000000,25.15,25.1578,25.15,25.1578,101,0
QGRD.US,D,20250722,000000,25.21,25.21,25.1839,25.1839,103,0
QGRD.US,D,20250731,000000,25.5721,25.6,25.3834,25.3834,2803385,0
QGRD.US,D,20250801,000000,25.0198,25.02,24.9503,24.9588,5764,0
QGRD.US,D,20250804,000000,24.807,25.54,24.3,25.4657,3359,0
QGRD.US,D,20250805,000000,25.33,25.33,25.1316,25.1316,7274,0
QGRD.US,D,20250806,000000,25.23,25.376,25.23,25.376,3986,0
QGRD.US,D,20250807,000000,25.4697,25.5,25.31,25.4348,2335,0
QGRD.US,D,20250808,000000,25.62,25.6353,25.58,25.6353,2483,0
QGRD.US,D,20250811,000000,25.65,25.7,25.5681,25.5681,3492,0
QGRD.US,D,20250812,000000,25.678,25.83,25.65,25.8266,2985,0
QGRD.US,D,20250813,000000,25.8582,25.8582,25.81,25.8541,4590,0
QGRD.US,D,20250814,000000,25.8625,25.8779,25.8214,25.8779,2045,0
QGRD.US,D,20250815,000000,25.77,25.77,25.74,25.7588,2713,0
QGRD.US,D,20250818,000000,25.74,25.7616,25.6815,25.7616,7663,0
QGRD.US,D,20250819,000000,25.5205,25.53,25.4416,25.4416,2023,0
QGRD.US,D,20250820,000000,25.13,25.3405,25.1081,25.3405,6511,0
QGRD.US,D,20250821,000000,25.2401,25.25,25.19,25.2363,7898,0
QGRD.US,D,20250822,000000,25.49,25.5512,25.49,25.5083,3156,0
QGRD.US,D,20250825,000000,25.52,25.5799,25.52,25.555,5827,0
QGRD.US,D,20250826,000000,25.22,25.5547,25.22,25.5547,8729,0
QGRD.US,D,20250827,000000,25.5571,25.62,25.55,25.6043,2921,0
QGRD.US,D,20250828,000000,25.65,25.7898,25.65,25.765,6377,0
QGRD.US,D,20250829,000000,25.45,25.54,25.45,25.4932,4209,0
QGRD.US,D,20250902,000000,25.28,25.3388,25.16,25.3388,5195,0
QGRD.US,D,20250903,000000,25.525,25.56,25.36,25.4777,3308,0
QGRD.US,D,20250904,000000,25.27,25.7296,25.27,25.7296,7100,0
QGRD.US,D,20250905,000000,25.58,25.6965,25.55,25.6965,5842,0
QGRD.US,D,20250908,000000,25.81,25.88,25.805,25.8164,3364,0
QGRD.US,D,20250909,000000,25.79,25.9,25.78,25.9,6869,0
QGRD.US,D,20250910,000000,25.7,25.9407,25.7,25.9155,1758,0
QGRD.US,D,20250911,000000,26.02,26.0569,26.01,26.0569,3515,0
QGRD.US,D,20250912,000000,26.09,26.14,26.09,26.1397,1436,0
QGRD.US,D,20250915,000000,26.24,26.2914,26.24,26.2914,1861,0
QGRD.US,D,20250916,000000,26.28,26.32,26.25,26.3139,10901,0
QGRD.US,D,20250917,000000,26.215,26.2666,25.97,26.2666,3367,0
QGRD.US,D,20250918,000000,26.4934,26.52,26.4709,26.4816,3607,0
QGRD.US,D,20250919,000000,26.5517,26.6423,26.54,26.6423,2292,0
QGRD.US,D,20250922,000000,26.64,26.775,26.64,26.7713,2627,0
QGRD.US,D,20250923,000000,26.7444,26.77,26.58,26.6241,3440,0
QGRD.US,D,20250924,000000,26.615,26.615,26.4412,26.5456,115640,0
QGRD.US,D,20250925,000000,26.47,26.5329,26.43,26.4653,6972,0
QGRD.US,D,20250926,000000,26.49,26.5794,26.44,26.5794,3992,0
QGRD.US,D,20250929,000000,26.79,26.8,26.65,26.689,1329,0
QGRD.US,D,20250930,000000,26.65,26.77,26.645,26.77,6345,0
QGRD.US,D,20251001,000000,26.73,26.88,26.36,26.8687,4697,0
QGRD.US,D,20251002,000000,26.8864,26.9859,26.8864,26.9859,2381,0
QGRD.US,D,20251003,000000,27.0033,27.06,26.8877,26.8877,20378,0
QGRD.US,D,20251006,000000,27.0256,27.1047,27.0256,27.08,4204,0
QGRD.US,D,20251007,000000,27.0746,27.0746,26.9236,26.945,7700,0
QGRD.US,D,20251008,000000,27.05,27.2371,27.05,27.2371,3982,0
QGRD.US,D,20251009,000000,27.13,27.1923,27.095,27.1923,4743,0
QGRD.US,D,20251010,000000,26.965,27.08,26.3834,26.3834,1875,0
QGRD.US,D,20251013,000000,26.7,26.87,26.7,26.87,7546,0
QGRD.US,D,20251014,000000,26.59,26.81,26.59,26.6828,4795,0
QGRD.US,D,20251015,000000,27.0246,27.0246,26.67,26.848,2409,0
QGRD.US,D,20251016,000000,27.04,27.09,26.65,26.8253,3862,0
QGRD.US,D,20251017,000000,26.795,26.995,26.7924,26.995,2794,0
QGRD.US,D,20251020,000000,26.71,27.2785,26.71,27.26,3628,0
QGRD.US,D,20251021,000000,27.17,27.3,27.17,27.2619,4055,0
QGRD.US,D,20251022,000000,27.09,27.14,26.895,26.9819,2017,0
QGRD.US,D,20251023,000000,27.09,27.257,27.09,27.257,4376,0
QGRD.US,D,20251024,000000,27.441,27.49,27.37,27.4551,6154,0
QGRD.US,D,20251027,000000,27.7609,27.8199,27.69,27.79,5352,0
QGRD.US,D,20251028,000000,27.82,27.9405,27.82,27.9244,9741,0
QGRD.US,D,20251029,000000,27.95,28.04,27.94,28.0259,7247,0
QGRD.US,D,20251030,000000,28.23,28.23,27.8444,27.8444,4273,0
QGRD.US,D,20251031,000000,28.02,28.0916,27.91,27.9935,5848,0
QGRD.US,D,20251103,000000,28.0615,28.115,28.02,28.085,6625,0
QGRD.US,D,20251104,000000,27.7654,27.81,27.5763,27.5763,2957,0
QGRD.US,D,20251105,000000,27.56,27.8058,27.56,27.8058,6230,0
