<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPXD.US,D,20250728,000000,24.9,24.9,24.8377,24.8377,731,0
SPXD.US,D,20250729,000000,24.8,24.8151,24.8,24.8151,1057,0
SPXD.US,D,20250730,000000,24.82,24.82,24.6994,24.6994,687,0
SPXD.US,D,20250731,000000,24.66,24.66,24.4581,24.4581,1261,0
SPXD.US,D,20250805,000000,24.58,24.58,24.4199,24.4948,5374,0
SPXD.US,D,20250806,000000,24.5,24.51,24.485,24.485,253,0
SPXD.US,D,20250807,000000,24.449,24.5028,24.4292,24.5028,1811,0
SPXD.US,D,20250808,000000,24.63,24.63,24.5881,24.5881,115,0
SPXD.US,D,20250811,000000,24.63,24.63,24.5043,24.5043,735,0
SPXD.US,D,20250812,000000,24.65,24.8206,24.65,24.8206,11292,0
SPXD.US,D,20250813,000000,24.97,25.075,24.97,25.075,437,0
SPXD.US,D,20250814,000000,24.94,24.9701,24.94,24.9701,1075,0
SPXD.US,D,20250815,000000,24.9768,24.9768,24.9363,24.9363,5161,0
SPXD.US,D,20250818,000000,24.9637,24.9637,24.9362,24.9362,437,0
SPXD.US,D,20250819,000000,25.09,25.09,25.0107,25.0107,111,0
SPXD.US,D,20250820,000000,25.01,25.02,25.01,25.0186,1133,0
SPXD.US,D,20250821,000000,24.9703,24.9703,24.9287,24.9287,609,0
SPXD.US,D,20250822,000000,25.31,25.35,25.3,25.3062,1094,0
SPXD.US,D,20250825,000000,25.299,25.299,25.1448,25.1448,587,0
SPXD.US,D,20250828,000000,25.39,25.39,25.22,25.3468,39128,0
SPXD.US,D,20250829,000000,25.13,25.2234,25.13,25.2234,6291,0
SPXD.US,D,20250903,000000,24.96,25.0351,24.96,25.0351,2085,0
SPXD.US,D,20250904,000000,25.15,25.245,25.15,25.245,268,0
SPXD.US,D,20250905,000000,25.34,25.34,25.1727,25.235,1258,0
SPXD.US,D,20250908,000000,25.17,25.1834,25.11,25.1834,2109,0
SPXD.US,D,20250909,000000,25.16,25.2,25.11,25.19,7826,0
SPXD.US,D,20250910,000000,25.19,25.19,25.12,25.16,6622,0
SPXD.US,D,20250911,000000,25.36,25.495,25.34,25.495,4138,0
SPXD.US,D,20250915,000000,25.43,25.43,25.33,25.33,141,0
SPXD.US,D,20250918,000000,25.48,25.505,25.48,25.505,152,0
SPXD.US,D,20250922,000000,25.35,25.4427,25.33,25.4427,208,0
SPXD.US,D,20251001,000000,25.55,25.635,25.54,25.635,2432,0
SPXD.US,D,20251007,000000,25.5539,25.5922,25.5539,25.5922,200,0
SPXD.US,D,20251009,000000,25.61,25.61,25.445,25.445,229,0
SPXD.US,D,20251010,000000,25.28,25.28,24.9305,24.9305,3933,0
SPXD.US,D,20251013,000000,25.17,25.17,25.1608,25.1608,369,0
SPXD.US,D,20251015,000000,25.54,25.54,25.3273,25.4619,2084,0
SPXD.US,D,20251016,000000,25.41,25.41,25.19,25.2334,475,0
SPXD.US,D,20251017,000000,25.389,25.389,25.385,25.385,205,0
SPXD.US,D,20251020,000000,25.6199,25.62,25.5894,25.5894,787,0
SPXD.US,D,20251022,000000,25.59,25.59,25.5723,25.5723,6476,0
SPXD.US,D,20251024,000000,25.78,25.81,25.7511,25.7511,1658,0
SPXD.US,D,20251027,000000,25.85,25.8867,25.85,25.8867,219,0
SPXD.US,D,20251029,000000,25.65,25.66,25.52,25.52,390,0
SPXD.US,D,20251030,000000,25.52,25.52,25.375,25.375,187,0
SPXD.US,D,20251031,000000,25.4,25.44,25.4,25.4153,232,0
SPXD.US,D,20251103,000000,25.47,25.47,25.2713,25.2713,291,0
SPXD.US,D,20251104,000000,25.19,25.19,25.1545,25.1545,1629,0
SPXD.US,D,20251105,000000,25.2095,25.2095,25.2095,25.2095,381,0
