<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TAXI.US,D,20250820,000000,50.1147,50.1147,50.1147,50.1147,15,0
TAXI.US,D,20250821,000000,50.08,50.08,50.08,50.08,4,0
TAXI.US,D,20250822,000000,50.14,50.17,50.14,50.17,5487,0
TAXI.US,D,20250919,000000,50.88,50.905,50.88,50.905,1798,0
TAXI.US,D,20251002,000000,50.69,50.69,50.685,50.685,122,0
TAXI.US,D,20251006,000000,50.65,50.69,50.65,50.69,111,0
TAXI.US,D,20251008,000000,50.72,50.72,50.72,50.72,100,0
TAXI.US,D,20251010,000000,50.83,50.85,50.83,50.85,100,0
TAXI.US,D,20251013,000000,50.82,50.89,50.82,50.89,2701,0
TAXI.US,D,20251014,000000,50.84,50.88,50.84,50.88,200,0
TAXI.US,D,20251020,000000,51,51.03,51,51.03,100,0
TAXI.US,D,20251021,000000,51.02,51.06,51.02,51.06,300,0
TAXI.US,D,20251022,000000,51.05,51.09,51.05,51.09,280,0
TAXI.US,D,20251024,000000,51.1,51.1,51.08,51.085,12213,0
TAXI.US,D,20251027,000000,51.07,51.09,51.07,51.09,116,0
TAXI.US,D,20251028,000000,51.05,51.075,51.05,51.075,101,0
TAXI.US,D,20251029,000000,51.07,51.07,51.015,51.015,312,0
TAXI.US,D,20251030,000000,50.98,51.02,50.98,51.02,185,0
TAXI.US,D,20251104,000000,50.94,50.94,50.935,50.935,5142,0
TAXI.US,D,20251105,000000,50.87,50.88,50.84,50.84,32177,0
