<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XOMZ.US,D,20250423,000000,24.97,25.1972,24.97,25.1972,101,0
XOMZ.US,D,20250429,000000,25.06,25.06,25.0247,25.0247,106,0
XOMZ.US,D,20250501,000000,25.54,25.601,25.54,25.601,920,0
XOMZ.US,D,20250502,000000,25.63,25.63,25.5407,25.5407,980,0
XOMZ.US,D,20250505,000000,26.195,26.2449,26.05,26.2449,3378,0
XOMZ.US,D,20250506,000000,25.81,25.8267,25.81,25.8267,474,0
XOMZ.US,D,20250507,000000,25.8,25.9236,25.8,25.9236,2257,0
XOMZ.US,D,20250527,000000,26,26.0351,26,26.0351,200,0
XOMZ.US,D,20250528,000000,26.235,26.3906,26.235,26.3906,252,0
XOMZ.US,D,20250529,000000,26.339,26.339,26.24,26.24,207,0
XOMZ.US,D,20250603,000000,25.92,25.9545,25.92,25.9545,254,0
XOMZ.US,D,20250604,000000,26.26,26.3334,26.26,26.3334,228,0
XOMZ.US,D,20250610,000000,25.11,25.19,25.11,25.19,1172,0
XOMZ.US,D,20250611,000000,24.67,24.7,24.65,24.7,826,0
XOMZ.US,D,20250612,000000,24.61,24.62,24.591,24.62,778,0
XOMZ.US,D,20250618,000000,23.5899,23.87,23.5899,23.87,223,0
XOMZ.US,D,20250623,000000,23.32,24.19,23.32,24.19,488,0
XOMZ.US,D,20250708,000000,23.47,23.495,23.47,23.495,147,0
XOMZ.US,D,20250709,000000,23.63,23.63,23.585,23.585,284,0
XOMZ.US,D,20250730,000000,23.9,24.0232,23.9,23.9843,743,0
XOMZ.US,D,20250801,000000,24.42,24.65,24.42,24.5458,612,0
XOMZ.US,D,20250804,000000,25.04,25.0661,25.04,25.0661,229,0
XOMZ.US,D,20250807,000000,25.2501,25.3713,25.2501,25.3713,105,0
XOMZ.US,D,20250811,000000,25.18,25.4374,25.18,25.4374,649,0
XOMZ.US,D,20250814,000000,25.135,25.135,25.0513,25.0513,225,0
XOMZ.US,D,20250819,000000,24.98,24.98,24.8733,24.8733,100,0
XOMZ.US,D,20250825,000000,23.93,23.93,23.8982,23.8982,122,0
XOMZ.US,D,20250826,000000,24.12,24.12,23.9393,23.9393,146,0
XOMZ.US,D,20250905,000000,24.5,24.5,24.4843,24.4843,109,0
XOMZ.US,D,20250908,000000,24.38,24.4333,24.38,24.4333,357,0
XOMZ.US,D,20250915,000000,23.94,23.94,23.8279,23.8279,223,0
XOMZ.US,D,20250919,000000,23.78,23.78,23.61,23.7291,2600,0
XOMZ.US,D,20250930,000000,23.58,23.5801,23.5284,23.5284,410,0
XOMZ.US,D,20251006,000000,23.14,23.26,23.14,23.26,232,0
XOMZ.US,D,20251104,000000,23.62,23.62,23.4724,23.4724,105,0
