<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ADAMH.US,D,20250709,000000,24.99,25.06,24.86,24.91,166395,0
ADAMH.US,D,20250710,000000,24.95,25.04,24.93,25.04,120020,0
ADAMH.US,D,20250711,000000,25.04,25.04,24.91,24.97,50325,0
ADAMH.US,D,20250714,000000,24.97,25,24.85,24.938,52515,0
ADAMH.US,D,20250715,000000,25.04,25.04,24.89,24.91,67900,0
ADAMH.US,D,20250716,000000,24.91,24.98,24.88,24.95,35689,0
ADAMH.US,D,20250717,000000,24.85,24.99,24.85,24.95,19414,0
ADAMH.US,D,20250718,000000,24.96,24.97,24.86,24.9699,11019,0
ADAMH.US,D,20250721,000000,24.99,25,24.98,24.98,9177,0
ADAMH.US,D,20250722,000000,24.99,24.9999,24.92,24.97,11067,0
ADAMH.US,D,20250723,000000,24.975,25,24.92,24.969,13046,0
ADAMH.US,D,20250724,000000,24.975,24.99,24.92,24.95,22778,0
ADAMH.US,D,20250725,000000,24.96,24.9999,24.9,24.9999,12234,0
ADAMH.US,D,20250728,000000,24.99,24.99,24.94,24.97,19235,0
ADAMH.US,D,20250729,000000,24.95,24.95,24.91,24.93,25811,0
ADAMH.US,D,20250730,000000,24.95,24.98,24.8788,24.95,39939,0
ADAMH.US,D,20250731,000000,24.95,24.95,24.91,24.95,12765,0
ADAMH.US,D,20250801,000000,24.95,25,24.9272,24.97,23036,0
ADAMH.US,D,20250804,000000,24.986,25.098,24.986,25.098,27153,0
ADAMH.US,D,20250805,000000,25.1,25.19,25.075,25.1899,28600,0
ADAMH.US,D,20250806,000000,25.15,25.2,25.1,25.135,26892,0
ADAMH.US,D,20250807,000000,25.15,25.15,25.09,25.1399,12694,0
ADAMH.US,D,20250808,000000,25.125,25.15,25.105,25.15,13860,0
ADAMH.US,D,20250811,000000,25.14,25.15,25.0735,25.15,24410,0
ADAMH.US,D,20250812,000000,25.15,25.37,25.1499,25.225,12232,0
ADAMH.US,D,20250813,000000,25.39,25.39,25.15,25.15,6201,0
ADAMH.US,D,20250814,000000,25.16,25.25,25.05,25.25,7538,0
ADAMH.US,D,20250815,000000,25.2523,25.5802,25.2523,25.48,5861,0
ADAMH.US,D,20250818,000000,25.48,25.48,25.44,25.48,7919,0
ADAMH.US,D,20250819,000000,25.4638,25.48,25.35,25.4,37792,0
ADAMH.US,D,20250820,000000,25.37,25.47,25.35,25.47,53800,0
ADAMH.US,D,20250821,000000,25.4,25.46,25.3,25.3,14027,0
ADAMH.US,D,20250822,000000,25.3,25.46,25.3,25.41,18284,0
ADAMH.US,D,20250825,000000,25.41,25.5,25.4,25.4,31344,0
ADAMH.US,D,20250826,000000,25.45,25.6,25.43,25.47,12001,0
ADAMH.US,D,20250827,000000,25.63,25.63,25.41,25.55,4475,0
ADAMH.US,D,20250828,000000,25.5955,25.5955,25.55,25.55,2378,0
ADAMH.US,D,20250829,000000,25.61,25.61,25.42,25.5,3901,0
ADAMH.US,D,20250902,000000,25.55,25.58,25.42,25.55,9413,0
ADAMH.US,D,20250903,000000,25.55,25.55,25.37,25.49,2000,0
ADAMH.US,D,20250904,000000,25.54,25.69,25.5,25.55,17449,0
ADAMH.US,D,20250905,000000,25.61,25.74,25.57,25.68,54553,0
ADAMH.US,D,20250908,000000,25.68,25.68,25.3557,25.5276,28868,0
ADAMH.US,D,20250909,000000,25.53,25.53,25.2392,25.4306,64451,0
ADAMH.US,D,20250910,000000,25.5,25.57,25.44,25.535,20939,0
ADAMH.US,D,20250911,000000,25.5,25.67,25.44,25.65,11962,0
ADAMH.US,D,20250912,000000,25.57,25.65,25.52,25.64,23947,0
ADAMH.US,D,20250915,000000,25.17,25.228,25,25.11,52400,0
ADAMH.US,D,20250916,000000,25.11,25.2,25.09,25.1,63380,0
ADAMH.US,D,20250917,000000,25.1632,25.22,25.09,25.19,28855,0
ADAMH.US,D,20250918,000000,25.1,25.14,25.07,25.1,89525,0
ADAMH.US,D,20250919,000000,25.16,25.16,25.1,25.11,17015,0
ADAMH.US,D,20250922,000000,25.1,25.1301,25.095,25.11,64129,0
ADAMH.US,D,20250923,000000,25.15,25.2,25.1245,25.2,11213,0
ADAMH.US,D,20250924,000000,25.15,25.18,25.09,25.1,46845,0
ADAMH.US,D,20250925,000000,25.1,25.1582,25.05,25.05,13426,0
ADAMH.US,D,20250926,000000,25.1,25.19,25.05,25.19,8149,0
ADAMH.US,D,20250929,000000,25.12,25.31,25.12,25.26,15600,0
ADAMH.US,D,20250930,000000,25.24,25.3,25.1476,25.2651,19105,0
ADAMH.US,D,20251001,000000,25.27,25.27,24.93,25.08,132526,0
ADAMH.US,D,20251002,000000,25.15,25.1699,24.98,25.09,80907,0
ADAMH.US,D,20251003,000000,25.12,25.12,25.04,25.04,58093,0
ADAMH.US,D,20251006,000000,25.11,25.2358,25.08,25.17,116252,0
ADAMH.US,D,20251007,000000,25.19,25.38,25.15,25.15,52372,0
ADAMH.US,D,20251008,000000,25.18,25.24,25.09,25.21,34420,0
ADAMH.US,D,20251009,000000,25.16,25.29,25.09,25.16,41501,0
ADAMH.US,D,20251010,000000,25.2,25.2019,25,25.07,40591,0
ADAMH.US,D,20251013,000000,25.2,25.2,25.08,25.17,25459,0
ADAMH.US,D,20251014,000000,25.11,25.18,25.08,25.15,24591,0
ADAMH.US,D,20251015,000000,25.15,25.25,25.15,25.18,23477,0
ADAMH.US,D,20251016,000000,25.23,25.26,25.164,25.1916,25628,0
ADAMH.US,D,20251017,000000,25.28,25.34,25.225,25.25,9858,0
ADAMH.US,D,20251020,000000,25.38,25.395,25.24,25.24,25283,0
ADAMH.US,D,20251021,000000,25.2402,25.35,25.2402,25.345,17758,0
ADAMH.US,D,20251022,000000,25.34,25.44,25.19,25.2555,34749,0
ADAMH.US,D,20251023,000000,25.35,25.35,25.12,25.13,82182,0
ADAMH.US,D,20251024,000000,25.14,25.19,25.12,25.13,24755,0
ADAMH.US,D,20251027,000000,25.18,25.25,25.1446,25.175,34206,0
ADAMH.US,D,20251028,000000,25.23,25.23,25.18,25.21,3714,0
ADAMH.US,D,20251029,000000,25.19,25.22,25.13,25.17,30955,0
ADAMH.US,D,20251030,000000,25.17,25.28,25.17,25.25,23242,0
ADAMH.US,D,20251031,000000,25.25,25.34,25.22,25.24,17494,0
ADAMH.US,D,20251103,000000,25.24,25.31,25.21,25.27,13947,0
ADAMH.US,D,20251104,000000,25.27,25.38,25.27,25.3,42046,0
ADAMH.US,D,20251105,000000,25.32,25.39,25.32,25.37,27314,0
