<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AEC.US,D,20250918,000000,7,7.12,6,6.92,165223,0
AEC.US,D,20250919,000000,7,7.15,6.6701,7.09,82748,0
AEC.US,D,20250922,000000,7.3,8.638,7.3,8.26,243318,0
AEC.US,D,20250923,000000,8.59,9.25,7.92,7.99,273385,0
AEC.US,D,20250924,000000,8,8.3989,7.98,8.03,127062,0
AEC.US,D,20250925,000000,8.03,8.51,7.635,8.46,115597,0
AEC.US,D,20250926,000000,8.94,9.1299,8.55,8.88,163908,0
AEC.US,D,20250929,000000,8.9,10.98,8.86,9.68,337807,0
AEC.US,D,20250930,000000,9.605,10.24,9.5058,10.11,152608,0
AEC.US,D,20251001,000000,10.13,10.1875,9.2001,9.79,137569,0
AEC.US,D,20251002,000000,9.84,10.175,9.45,10.04,92179,0
AEC.US,D,20251003,000000,9.9,10.95,9.35,9.62,224400,0
AEC.US,D,20251006,000000,9.5,9.8921,8.33,8.59,233662,0
AEC.US,D,20251007,000000,8.44,9.6673,8.31,9.39,323093,0
AEC.US,D,20251008,000000,9.74,9.83,8.5,8.99,159738,0
AEC.US,D,20251009,000000,8.8,9.3,8.51,9.02,270135,0
AEC.US,D,20251010,000000,10.32,11.43,9.8,10.29,780085,0
AEC.US,D,20251013,000000,11.1,12.49,9.62,10.88,573809,0
AEC.US,D,20251014,000000,11,11.37,10.33,10.8,456029,0
AEC.US,D,20251015,000000,11.25,11.74,10.31,10.81,379318,0
AEC.US,D,20251016,000000,10.94,10.9673,9.585,9.59,270865,0
AEC.US,D,20251017,000000,8.87,9.4625,7.416,7.97,448249,0
AEC.US,D,20251020,000000,8,8.31,7.7301,7.96,133285,0
AEC.US,D,20251021,000000,8.11,8.15,7.25,7.32,195637,0
AEC.US,D,20251022,000000,7.22,7.4763,6.96,7.22,125542,0
AEC.US,D,20251023,000000,7.19,7.7399,7.13,7.39,104201,0
AEC.US,D,20251024,000000,7.39,7.985,7.2501,7.65,123596,0
AEC.US,D,20251027,000000,7.39,7.5785,7,7.48,114480,0
AEC.US,D,20251028,000000,7.61,8.89,7.6,8.72,272181,0
AEC.US,D,20251029,000000,8.61,8.75,7.89,7.96,184943,0
AEC.US,D,20251030,000000,8.04,8.6,7.9,8.6,63816,0
AEC.US,D,20251031,000000,8.8,8.8,8.05,8.29,63498,0
AEC.US,D,20251103,000000,8.09,8.41,7.88,8.19,54398,0
AEC.US,D,20251104,000000,7.9,7.9,7.15,7.45,99646,0
AEC.US,D,20251105,000000,7.35,7.6199,7.01,7.24,78041,0
