<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AHMA.US,D,20251021,000000,4,5.4,4,4.65,2931784,0
AHMA.US,D,20251022,000000,4.25,4.4901,4.13,4.385,1061584,0
AHMA.US,D,20251023,000000,4.49,4.59,4.23,4.36,271139,0
AHMA.US,D,20251024,000000,4.37,4.55,4.37,4.46,187662,0
AHMA.US,D,20251027,000000,4.44,4.465,4.3803,4.45,99241,0
AHMA.US,D,20251028,000000,4.49,4.8,4.4,4.69,531290,0
AHMA.US,D,20251029,000000,4.66,6.29,4.6505,6.11,655204,0
AHMA.US,D,20251030,000000,6.09,7.48,6.09,6.9,448824,0
AHMA.US,D,20251031,000000,6.77,6.845,5.17,5.17,144312,0
AHMA.US,D,20251103,000000,5.34,5.75,4.8,5.05,206251,0
AHMA.US,D,20251104,000000,4.74,5.19,4.5006,4.85,62247,0
AHMA.US,D,20251105,000000,4.99,4.99,4.37,4.68,126852,0
