<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AIRO.US,D,20250613,000000,12.9,39.07,12.9,24,14713420,0
AIRO.US,D,20250616,000000,34.98,37.925,28.6,31,11880751,0
AIRO.US,D,20250617,000000,32.22,32.97,28.2701,29.76,4026881,0
AIRO.US,D,20250618,000000,29,29.4939,26.0001,26.26,2770878,0
AIRO.US,D,20250620,000000,25.12,25.5,20.4,22.24,3072900,0
AIRO.US,D,20250623,000000,21.4,28.55,20.28,26.9,4818869,0
AIRO.US,D,20250624,000000,26.76,27.15,23.5001,24.27,2256018,0
AIRO.US,D,20250625,000000,24.91,25.7299,21.61,21.9,2425871,0
AIRO.US,D,20250626,000000,22.51,26.5,22.51,25.26,2398100,0
AIRO.US,D,20250627,000000,25,27.523185,22.8,23.33,1644396,0
AIRO.US,D,20250630,000000,24.02,25.48,22.5308,24.07,1213751,0
AIRO.US,D,20250701,000000,23.8,23.8301,22.098,22.245,1783594,0
AIRO.US,D,20250702,000000,22.425,22.425,20.82,21.62,983652,0
AIRO.US,D,20250703,000000,22.5,22.5693,20.9,21.9,788732,0
AIRO.US,D,20250707,000000,22.5,22.8253,20.6,21.29,677769,0
AIRO.US,D,20250708,000000,21.29,21.9436,20.85,21.67,581424,0
AIRO.US,D,20250709,000000,21.64,22.194,20.81,21.48,763673,0
AIRO.US,D,20250710,000000,21.43,22.97,20.87,22.2,1268507,0
AIRO.US,D,20250711,000000,24.465,29.2,24.18,28.8,4332203,0
AIRO.US,D,20250714,000000,28.82,28.9,25.8106,28.28,1941689,0
AIRO.US,D,20250715,000000,28,28.7,25.84,27.46,1618648,0
AIRO.US,D,20250716,000000,27.1,27.16,24.7504,26.05,1964074,0
AIRO.US,D,20250717,000000,25.9,27.4,25.26,26.29,1310037,0
AIRO.US,D,20250718,000000,26.27,27.31,24.26,24.97,1388259,0
AIRO.US,D,20250721,000000,24.95,25.36,22.39,22.89,1587223,0
AIRO.US,D,20250722,000000,23.26,24,22.25,23.84,662731,0
AIRO.US,D,20250723,000000,24.01,24.01,22.82,23.1,690849,0
AIRO.US,D,20250724,000000,23.11,23.91,22.8,23.47,573746,0
AIRO.US,D,20250725,000000,23.65,24.35,22.8,22.92,580451,0
AIRO.US,D,20250728,000000,23,23.01,21.77,21.86,643055,0
AIRO.US,D,20250729,000000,21.77,21.95,20.775,20.97,558946,0
AIRO.US,D,20250730,000000,21,21.61,20.28,21.12,415985,0
AIRO.US,D,20250731,000000,21,21.49,20.71,21.22,573149,0
AIRO.US,D,20250801,000000,20.59,20.59,19.14,20.12,713690,0
AIRO.US,D,20250804,000000,20.2,22.96,20.03,22.82,895353,0
AIRO.US,D,20250805,000000,22.8,22.8,21.6632,21.94,516985,0
AIRO.US,D,20250806,000000,21.88,21.95,19.9,20.64,516064,0
AIRO.US,D,20250807,000000,20.98,21.24,20.07,20.76,369266,0
AIRO.US,D,20250808,000000,20.83,21.43,20,20.49,440509,0
AIRO.US,D,20250811,000000,20.49,20.74,19.85,20.4,492386,0
AIRO.US,D,20250812,000000,20.41,21.22,20.34,20.92,357990,0
AIRO.US,D,20250813,000000,20.89,21.77,20.45,21.74,572641,0
AIRO.US,D,20250814,000000,24,24,21.3426,22.94,2130802,0
AIRO.US,D,20250815,000000,23.19,23.5,21.5,22.11,881811,0
AIRO.US,D,20250818,000000,22.19,24.2134,22.04,24.07,1050524,0
AIRO.US,D,20250819,000000,23.97,24.2254,21.94,22.92,999423,0
AIRO.US,D,20250820,000000,22.41,22.74,20.88,22.04,666582,0
AIRO.US,D,20250821,000000,21.94,24.14,21.51,23.29,984304,0
AIRO.US,D,20250822,000000,22.94,24.9599,22.25,24.44,1162456,0
AIRO.US,D,20250825,000000,24.1,24.58,23.16,23.235,511689,0
AIRO.US,D,20250826,000000,23.3,24.39,22.85,23.53,503877,0
AIRO.US,D,20250827,000000,23.65,24.24,23.4814,24.09,482146,0
AIRO.US,D,20250828,000000,23.99,25.9,23.94,25.79,1589791,0
AIRO.US,D,20250829,000000,25.72,25.9,23.52,23.55,1025816,0
AIRO.US,D,20250902,000000,22.39,22.5,19.8504,20.55,2327886,0
AIRO.US,D,20250903,000000,21.75,21.75,19.9,20.42,1056550,0
AIRO.US,D,20250904,000000,20.35,20.82,19.98,20.8,639032,0
AIRO.US,D,20250905,000000,21.08,21.27,20.4498,20.94,514302,0
AIRO.US,D,20250908,000000,21,21.45,20.414,20.5,764769,0
AIRO.US,D,20250909,000000,18.2,19.36,18.12,19.15,1797149,0
AIRO.US,D,20250910,000000,19.55,20.57,18.85,19.42,1150892,0
AIRO.US,D,20250911,000000,20,20.3,18.985,19.86,3133035,0
AIRO.US,D,20250912,000000,20,20.49,19.6411,20.14,868870,0
AIRO.US,D,20250915,000000,20,20.35,19.625,20.2,713151,0
AIRO.US,D,20250916,000000,20.28,20.3,19.72,19.83,446338,0
AIRO.US,D,20250917,000000,19.5,19.87,18.98,19.11,1090576,0
