<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AKAN.US,D,20220315,000000,75000,77500,20450,26250,542.5323999999999,0
AKAN.US,D,20220316,000000,32460,49750,24500,27525,2958.3196000000003,0
AKAN.US,D,20220317,000000,26050,26050,20100,20262.5,248.018,0
AKAN.US,D,20220318,000000,20925,21750,18250,18500,426.47839999999997,0
AKAN.US,D,20220321,000000,18225,28700,16575,21025,832.8811999999999,0
AKAN.US,D,20220322,000000,20800,22750,19750,20100,124.6444,0
AKAN.US,D,20220323,000000,20250,20375,19700,20100,98.17280000000001,0
AKAN.US,D,20220324,000000,19750,23750,19750,22250,479.24800000000005,0
AKAN.US,D,20220325,000000,22475,23550,21175,22425,203.93040000000002,0
AKAN.US,D,20220328,000000,19600,21350,19300,20575,149.0496,0
AKAN.US,D,20220329,000000,20325,22000,20325,20600,109.6788,0
AKAN.US,D,20220330,000000,20850,23500,19925,20700,231.0432,0
AKAN.US,D,20220331,000000,20550,21575,19375,19850,106.1768,0
AKAN.US,D,20220401,000000,20050,22750,19350,21600,231.298,0
AKAN.US,D,20220404,000000,21275,23200,21075,21800,46.602399999999996,0
AKAN.US,D,20220405,000000,21475,21908,20900,21825,12.778,0
AKAN.US,D,20220406,000000,21500,21850,20475,21175,23.522800000000004,0
AKAN.US,D,20220407,000000,21375,25000,20800,24700,134.6672,0
AKAN.US,D,20220408,000000,23450,29600,20750,21900,350.966,0
AKAN.US,D,20220411,000000,22575,24725,22575,23625,102.8988,0
AKAN.US,D,20220412,000000,24200,25625,22572.2,22975,59.843199999999996,0
AKAN.US,D,20220413,000000,22725,23150,21225,22800,209.5752,0
AKAN.US,D,20220414,000000,22500,25000,22500,24675,204.33919999999998,0
AKAN.US,D,20220418,000000,24025,27300,23275,26875,125.0704,0
AKAN.US,D,20220419,000000,26875,27475,25000,25750,67.5864,0
AKAN.US,D,20220420,000000,25675,28728.5,25250,28575,151.828,0
AKAN.US,D,20220421,000000,29075,30750,28675,29525,38.1796,0
AKAN.US,D,20220422,000000,29950,30700,27500,28875,24.494400000000002,0
AKAN.US,D,20220425,000000,29000,30050,26600,26825,17.5716,0
AKAN.US,D,20220426,000000,26725,26725,24325,24400,46.8732,0
AKAN.US,D,20220427,000000,24050,24075,21000,21275,49.9732,0
AKAN.US,D,20220428,000000,21625,22250,21625,21900,3.728,0
AKAN.US,D,20220429,000000,21325,21575,20775,21225,7.8904,0
AKAN.US,D,20220502,000000,22024.8,22875,20925,21475,17.0992,0
AKAN.US,D,20220503,000000,22650,22650,21125,22500,3.1616000000000004,0
AKAN.US,D,20220504,000000,22375,22550,21500,21500,9.677999999999999,0
AKAN.US,D,20220505,000000,22250,22475,21500,21650,4.0484,0
AKAN.US,D,20220506,000000,21800,27050,20750,22500,592.3572,0
AKAN.US,D,20220509,000000,21250,21325,5500,5725,3093.4444000000003,0
AKAN.US,D,20220510,000000,4925,5050,2950,3475,1888.1428,0
AKAN.US,D,20220511,000000,3225,3421.5,2725,3075,691.8024,0
AKAN.US,D,20220512,000000,2975,3438.5,2650,2837.5,418.3152,0
AKAN.US,D,20220513,000000,2900,3150,2825,3150,433.62480000000005,0
AKAN.US,D,20220516,000000,3050,3575,2950,3075,383.3184,0
