<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APADR.US,D,20250827,000000,0.17,0.17,0.1601,0.165,1050695,0
APADR.US,D,20250828,000000,0.16,0.16,0.16,0.16,144999,0
APADR.US,D,20250829,000000,0.16,0.1702,0.14,0.16,920818,0
APADR.US,D,20250902,000000,0.155,0.155,0.1401,0.155,52322,0
APADR.US,D,20250903,000000,0.14,0.1501,0.14,0.1501,247000,0
APADR.US,D,20250904,000000,0.1501,0.1501,0.1501,0.1501,589,0
APADR.US,D,20250905,000000,0.15005,0.17,0.15005,0.17,105689,0
APADR.US,D,20250909,000000,0.1602,0.1602,0.16,0.16,100100,0
APADR.US,D,20250911,000000,0.16,0.17,0.16,0.17,140000,0
APADR.US,D,20250912,000000,0.1501,0.1501,0.1501,0.1501,20000,0
APADR.US,D,20250918,000000,0.16,0.16,0.1511,0.1511,73900,0
APADR.US,D,20250922,000000,0.17,0.17,0.155,0.1551,9912,0
APADR.US,D,20250923,000000,0.1551,0.1551,0.1551,0.1551,877,0
APADR.US,D,20250924,000000,0.1551,0.1551,0.1551,0.1551,3100,0
APADR.US,D,20250926,000000,0.1551,0.1551,0.1551,0.1551,12830,0
APADR.US,D,20251001,000000,0.16,0.1651,0.16,0.1601,389912,0
APADR.US,D,20251003,000000,0.17,0.17,0.17,0.17,89045,0
APADR.US,D,20251006,000000,0.185,0.185,0.185,0.185,569,0
APADR.US,D,20251007,000000,0.19,0.19,0.1624,0.19,1075,0
APADR.US,D,20251008,000000,0.2469,0.2469,0.185,0.19,649409,0
APADR.US,D,20251009,000000,0.19,0.19,0.19,0.19,24043,0
APADR.US,D,20251020,000000,0.16251,0.16251,0.16251,0.16251,105,0
APADR.US,D,20251021,000000,0.18,0.1941,0.18,0.19,357848,0
APADR.US,D,20251022,000000,0.195,0.25,0.195,0.25,60976,0
APADR.US,D,20251023,000000,0.190001,0.2,0.19,0.2,36058,0
APADR.US,D,20251024,000000,0.22,0.22,0.22,0.22,1102,0
APADR.US,D,20251027,000000,0.22,0.225,0.22,0.225,42397,0
APADR.US,D,20251028,000000,0.225,0.24,0.225,0.24,521567,0
APADR.US,D,20251029,000000,0.249899,0.249899,0.200002,0.200101,969,0
APADR.US,D,20251030,000000,0.24,0.24,0.24,0.24,1393,0
APADR.US,D,20251031,000000,0.2198,0.25,0.2198,0.24,32836,0
APADR.US,D,20251103,000000,0.24,0.25,0.24,0.25,54744,0
APADR.US,D,20251104,000000,0.24,0.24,0.235,0.235,235907,0
