<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATII.US,D,20250403,000000,9.98,10,9.97,9.97,700116,0
ATII.US,D,20250404,000000,9.97,9.975,9.96,9.965,307016,0
ATII.US,D,20250407,000000,9.96,9.97,9.96,9.97,176933,0
ATII.US,D,20250408,000000,9.97,9.97,9.97,9.97,125296,0
ATII.US,D,20250409,000000,9.96,9.97,9.96,9.97,5208,0
ATII.US,D,20250410,000000,9.97,9.97,9.965,9.97,624931,0
ATII.US,D,20250411,000000,9.96,9.97,9.96,9.97,2463,0
ATII.US,D,20250414,000000,9.97,9.97,9.965,9.97,102754,0
ATII.US,D,20250415,000000,9.96,9.97,9.96,9.965,3765,0
ATII.US,D,20250416,000000,9.97,9.97,9.96,9.965,55798,0
ATII.US,D,20250417,000000,9.965,9.965,9.965,9.965,324213,0
ATII.US,D,20250421,000000,9.96,9.97,9.96,9.97,3298,0
ATII.US,D,20250422,000000,9.97,10.01,9.96,9.97,1012102,0
ATII.US,D,20250423,000000,9.97,9.98,9.97,9.98,1209,0
ATII.US,D,20250424,000000,9.97,9.98,9.97,9.975,95166,0
ATII.US,D,20250425,000000,9.98,10,9.97,10,1045655,0
ATII.US,D,20250428,000000,10,10,10,10,68712,0
ATII.US,D,20250429,000000,10,10.03,10,10.0299,158195,0
ATII.US,D,20250430,000000,10.03,10.05,10.03,10.05,326044,0
ATII.US,D,20250501,000000,10.04,10.06,10.04,10.06,476108,0
ATII.US,D,20250502,000000,10.06,10.06,10.04,10.05,363325,0
ATII.US,D,20250505,000000,10.05,10.05,10.04,10.05,59290,0
ATII.US,D,20250506,000000,10.045,10.05,10.045,10.05,187979,0
ATII.US,D,20250507,000000,10.06,10.07,10.06,10.07,6961,0
ATII.US,D,20250508,000000,10.07,10.07,10.06,10.06,203719,0
ATII.US,D,20250509,000000,10.07,10.07,10.06,10.06,1499,0
ATII.US,D,20250512,000000,10.07,10.07,10.05,10.06,6691,0
ATII.US,D,20250513,000000,10.09,10.09,10.05,10.08,96753,0
ATII.US,D,20250514,000000,10.05,10.07,10.05,10.07,30624,0
ATII.US,D,20250515,000000,10.07,10.08,10.06,10.08,110474,0
ATII.US,D,20250516,000000,10.08,10.08,10.07,10.07,1710,0
ATII.US,D,20250519,000000,10.08,10.08,10.08,10.08,407,0
ATII.US,D,20250520,000000,10.06,10.06,10.06,10.06,1229,0
ATII.US,D,20250521,000000,10.06,10.07,10.06,10.07,57566,0
ATII.US,D,20250522,000000,10.07,10.07,10.07,10.07,766,0
ATII.US,D,20250523,000000,10.08,10.09,10.08,10.08,16700,0
ATII.US,D,20250527,000000,10.07,10.09,10.07,10.09,427,0
ATII.US,D,20250528,000000,10.09,10.11,10.09,10.09,111794,0
ATII.US,D,20250529,000000,10.11,10.12,10.11,10.12,32804,0
ATII.US,D,20250530,000000,10.11,10.11,10.11,10.11,519,0
ATII.US,D,20250602,000000,10.12,10.12,10.12,10.12,249,0
ATII.US,D,20250603,000000,10.15,10.15,10.15,10.15,10142,0
ATII.US,D,20250604,000000,10.1501,10.16,10.1501,10.16,5377,0
ATII.US,D,20250605,000000,10.15,10.165,10.15,10.1604,26367,0
ATII.US,D,20250606,000000,10.16,10.17,10.16,10.17,11124,0
ATII.US,D,20250609,000000,10.179,10.19,10.179,10.18,287232,0
ATII.US,D,20250610,000000,10.185,10.19,10.1835,10.1898,4825,0
ATII.US,D,20250611,000000,10.19,10.195,10.18,10.19,268557,0
ATII.US,D,20250612,000000,10.185,10.2,10.185,10.19,346720,0
ATII.US,D,20250613,000000,10.2,10.205,10.2,10.205,11241,0
ATII.US,D,20250616,000000,10.21,10.21,10.21,10.21,1215,0
ATII.US,D,20250617,000000,10.22,10.22,10.2,10.21,286067,0
ATII.US,D,20250620,000000,10.185,10.21,10.185,10.21,944,0
ATII.US,D,20250624,000000,10.16,10.22,10.16,10.22,1040,0
ATII.US,D,20250625,000000,10.21,10.21,10.2,10.21,42804,0
ATII.US,D,20250626,000000,10.19,10.21,10.19,10.21,884,0
ATII.US,D,20250627,000000,10.12,10.23,10.12,10.23,217358,0
ATII.US,D,20250630,000000,10.23,10.2375,10.22,10.23,14065,0
ATII.US,D,20250701,000000,10.23,10.23,10.22,10.22,75301,0
ATII.US,D,20250702,000000,10.2246,10.2246,10.2,10.2152,324205,0
ATII.US,D,20250703,000000,10.205,10.2261,10.205,10.2261,804,0
ATII.US,D,20250707,000000,10.23,10.23,10.23,10.23,193,0
ATII.US,D,20250708,000000,10.23,10.23,10.21,10.21,8772,0
ATII.US,D,20250709,000000,10.21,10.21,10.1962,10.1962,536,0
ATII.US,D,20250710,000000,10.21,10.21,10.21,10.21,14221,0
ATII.US,D,20250711,000000,10.2,10.21,10.2,10.21,47920,0
ATII.US,D,20250714,000000,10.2031,10.22,10.2031,10.21,3112,0
ATII.US,D,20250717,000000,10.21,10.21,10.21,10.21,245,0
ATII.US,D,20250718,000000,10.21,10.21,10.2,10.21,48242,0
ATII.US,D,20250721,000000,10.23,10.23,10.225,10.23,3645,0
ATII.US,D,20250723,000000,10.2246,10.2246,10.2246,10.2246,5035,0
ATII.US,D,20250728,000000,10.22,10.22,10.22,10.22,218,0
ATII.US,D,20250729,000000,10.2,10.23,10.2,10.22,143229,0
ATII.US,D,20250731,000000,10.225,10.23,10.215,10.215,11991,0
ATII.US,D,20250801,000000,10.22,10.22,10.2,10.2,155012,0
ATII.US,D,20250805,000000,10.23,10.23,10.1999,10.23,263531,0
ATII.US,D,20250806,000000,10.2084,10.23,10.2084,10.23,1110,0
ATII.US,D,20250807,000000,10.23,10.23,10.23,10.23,3556,0
ATII.US,D,20250808,000000,10.23,10.23,10.23,10.23,106,0
