<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AXIN.US,D,20250801,000000,9.93,9.99,9.93,9.97,82627,0
AXIN.US,D,20250804,000000,9.97,9.975,9.96,9.965,4059,0
AXIN.US,D,20250805,000000,9.9654,9.97,9.93,9.97,760,0
AXIN.US,D,20250806,000000,9.97,9.97,9.93,9.96,19484,0
AXIN.US,D,20250807,000000,9.97,9.98,9.96,9.97,1271080,0
AXIN.US,D,20250808,000000,9.98,9.98,9.95,9.95,651,0
AXIN.US,D,20250811,000000,9.97,9.98,9.97,9.98,454811,0
AXIN.US,D,20250812,000000,9.97,9.97,9.97,9.97,225731,0
AXIN.US,D,20250813,000000,9.97,9.97,9.97,9.97,270094,0
AXIN.US,D,20250814,000000,9.97,9.9788,9.97,9.97,34332,0
AXIN.US,D,20250815,000000,9.97,9.97,9.97,9.97,14142,0
AXIN.US,D,20250818,000000,9.96,9.96,9.96,9.96,18711,0
AXIN.US,D,20250820,000000,9.98,9.98,9.98,9.98,304,0
AXIN.US,D,20250826,000000,9.97,9.97,9.97,9.97,718,0
AXIN.US,D,20250827,000000,9.9776,9.9776,9.9776,9.9776,1081,0
AXIN.US,D,20250902,000000,9.97,9.97,9.97,9.97,14197,0
AXIN.US,D,20250905,000000,9.97,9.97,9.97,9.97,24921,0
AXIN.US,D,20250908,000000,9.9651,9.9651,9.9651,9.9651,1015,0
AXIN.US,D,20250909,000000,9.952,9.97,9.952,9.97,2020,0
AXIN.US,D,20250910,000000,9.95,9.95,9.95,9.95,609,0
AXIN.US,D,20250911,000000,9.97,9.97,9.97,9.97,354,0
AXIN.US,D,20250912,000000,9.95,9.955,9.95,9.955,210275,0
AXIN.US,D,20250915,000000,9.9593,9.97,9.9593,9.97,227533,0
AXIN.US,D,20250916,000000,9.97,9.97,9.97,9.97,120,0
AXIN.US,D,20250924,000000,9.96,9.96,9.96,9.96,603,0
AXIN.US,D,20250925,000000,9.96,9.96,9.96,9.96,24468,0
AXIN.US,D,20251002,000000,9.98,9.98,9.98,9.98,162,0
AXIN.US,D,20251006,000000,9.95,9.95,9.95,9.95,253,0
AXIN.US,D,20251007,000000,9.97,9.97,9.97,9.97,1036,0
AXIN.US,D,20251008,000000,9.98,9.98,9.97,9.97,109620,0
AXIN.US,D,20251009,000000,9.97,9.98,9.97,9.98,28487,0
AXIN.US,D,20251010,000000,9.99,9.99,9.99,9.99,125176,0
AXIN.US,D,20251014,000000,10,10,10,10,24433,0
AXIN.US,D,20251015,000000,10,10.04,10,10.04,67951,0
AXIN.US,D,20251016,000000,10.02,10.06,10.02,10.02,66095,0
AXIN.US,D,20251017,000000,10.02,10.02,10.02,10.02,6829,0
AXIN.US,D,20251020,000000,10.03,10.04,10.02,10.02,102721,0
AXIN.US,D,20251021,000000,10.03,10.03,10.03,10.03,6622,0
AXIN.US,D,20251022,000000,10.04,10.04,10.04,10.04,476,0
AXIN.US,D,20251023,000000,10.04,10.04,10.035,10.035,330,0
AXIN.US,D,20251024,000000,10.04,10.04,10.04,10.04,102045,0
AXIN.US,D,20251027,000000,10.04,10.04,10.04,10.04,52295,0
AXIN.US,D,20251028,000000,10.04,10.05,10.04,10.05,221685,0
AXIN.US,D,20251029,000000,10.055,10.07,10.05,10.07,170770,0
AXIN.US,D,20251031,000000,10.05,10.06,10.05,10.06,26637,0
AXIN.US,D,20251103,000000,10.05,10.07,10.05,10.07,500,0
AXIN.US,D,20251104,000000,10.06,10.07,10.06,10.07,1600,0
