<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BINI.US,D,20121004,000000,7.5853874848125e19,7.5938249848125e19,6.986324986e19,7.1635124856875e19,0.000000000000001066656002133312,0
BINI.US,D,20121005,000000,7.340699985312499e19,7.678199984625e19,7.1719499856249995e19,7.222574985562499e19,0.0000000000000010903594688473856,0
BINI.US,D,20121009,000000,7.1635124856875e19,7.501012485e19,7.1635124856875e19,7.501012485e19,2.725898672118464e-16,0
BINI.US,D,20121010,000000,7.711949984562499e19,8.167574983687499e19,7.340699985312499e19,7.4841374850625e19,8.177696016355391e-16,0
BINI.US,D,20121011,000000,6.674137486625e19,7.62757498475e19,5.9147999881875e19,6.7669499864375e19,0.000000000000001848870403697741,0
BINI.US,D,20121012,000000,6.8766374862499996e19,6.8766374862499996e19,6.5897624868125e19,6.5897624868125e19,4.622176009244352e-16,0
BINI.US,D,20121015,000000,6.6066374868125e19,6.6066374868125e19,6.4807499870625e19,6.5897624868125e19,1.0666560021333122e-16,0
BINI.US,D,20121016,000000,6.5222624869375e19,6.8428874863125e19,5.88944998825e19,6.3197624873749996e19,3.199968006399936e-16,0
BINI.US,D,20121017,000000,6.7331999865625e19,6.7331999865625e19,6.3281999873125e19,6.3295874873124995e19,1.422208002844416e-16,0
BINI.US,D,20121018,000000,6.4800749870625e19,6.4800749870625e19,4.438237491125e19,5.560349988875e19,0.000000000000002002942937339219,0
BINI.US,D,20121019,000000,5.4000374891875e19,5.62788748875e19,4.826287490375e19,5.11316248975e19,0.0000000000000016710944033421888,0
BINI.US,D,20121022,000000,5.7291374885624996e19,5.7291374885624996e19,5.070974989875e19,5.2734749894375e19,4.622176009244352e-16,0
BINI.US,D,20121023,000000,4.7672249904375e19,5.4759749890624995e19,4.6406624906875e19,5.189099989625e19,4.2666240085332487e-16,0
BINI.US,D,20121024,000000,5.1469124896874996e19,5.7375749885e19,4.826287490375e19,5.307224989375e19,0.0000000000000010311008020622017,0
BINI.US,D,20121025,000000,5.2312874895624995e19,5.4843749889999995e19,5.062537489875e19,5.4843749889999995e19,5.925866678518401e-17,0
BINI.US,D,20121026,000000,5.315662489375e19,5.5265999889375e19,5.315662489375e19,5.4886499889999995e19,1.0666560021333122e-16,0
BINI.US,D,20121031,000000,5.568787488875e19,5.7291374885624996e19,4.7925374904375e19,5.062537489875e19,4.859210676385088e-16,0
BINI.US,D,20121101,000000,5.3578499893125e19,5.3578499893125e19,3.86441249225e19,4.8515999903125e19,4.385141342103616e-16,0
