<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRCB.US,D,20250912,000000,26.5,29.5,25.05,27.53,7813529,0
BRCB.US,D,20250915,000000,27.49,30.4,25.74,27.81,1273586,0
BRCB.US,D,20250916,000000,28.24,28.99,26.64,27.7,316087,0
BRCB.US,D,20250917,000000,27.59,28.52,27.0139,27.75,383622,0
BRCB.US,D,20250918,000000,27.91,28.9278,27.14,27.84,305444,0
BRCB.US,D,20250919,000000,27.75,28.37,26.98,27.11,426938,0
BRCB.US,D,20250922,000000,26.99,26.99,25.97,26.29,288505,0
BRCB.US,D,20250923,000000,25.96,26.265,24.295,25.57,645919,0
BRCB.US,D,20250924,000000,25.28,25.5509,23.7,25,779973,0
BRCB.US,D,20250925,000000,24.7,25.1603,23.85,25.01,543124,0
BRCB.US,D,20250926,000000,24.85,25.04,23.61,24.39,391070,0
BRCB.US,D,20250929,000000,24.28,24.67,22.52,23.88,674644,0
BRCB.US,D,20250930,000000,23.52,24.09,22.45,23.86,765265,0
BRCB.US,D,20251001,000000,23.35,23.79,21.8,22.26,774438,0
BRCB.US,D,20251002,000000,21.91,22.89,20.385,22.69,931304,0
BRCB.US,D,20251003,000000,22.56,22.87,21.33,22.76,903560,0
BRCB.US,D,20251006,000000,22.48,22.656,21,22.14,558957,0
BRCB.US,D,20251007,000000,21.81,22.74,21.525,21.85,540182,0
BRCB.US,D,20251008,000000,22.17,24.08,21.91,23.45,518591,0
BRCB.US,D,20251009,000000,23.44,24.33,22.8,23.19,260629,0
BRCB.US,D,20251010,000000,23.25,23.75,21.24,21.97,736071,0
BRCB.US,D,20251013,000000,22.05,23.645,22.01,23.55,447341,0
BRCB.US,D,20251014,000000,23.27,25,22.4468,24.75,348239,0
BRCB.US,D,20251015,000000,24.75,25.99,24.715,24.81,162841,0
BRCB.US,D,20251016,000000,24.71,25.185,22.6,23.42,202788,0
BRCB.US,D,20251017,000000,23.06,23.9,22.7,23.44,136920,0
BRCB.US,D,20251020,000000,23.65,25.5,22.7825,25.01,167291,0
BRCB.US,D,20251021,000000,25.07,25.07,24.11,24.55,146688,0
BRCB.US,D,20251022,000000,24.34,25.49,24.34,25.19,134967,0
BRCB.US,D,20251023,000000,25.31,25.8,24.56,25.8,103988,0
BRCB.US,D,20251024,000000,25.8,26.3046,25.32,25.94,145472,0
BRCB.US,D,20251027,000000,26.42,26.48,24.5,24.8,178162,0
BRCB.US,D,20251028,000000,26.02,26.09,24.3,24.34,203205,0
BRCB.US,D,20251029,000000,24.31,26,23.6,24.73,330079,0
BRCB.US,D,20251030,000000,24.7,25.315,24.02,24.36,145993,0
BRCB.US,D,20251031,000000,24.26,25.86,24.26,25.66,162266,0
BRCB.US,D,20251103,000000,25.79,25.79,23.98,24.27,225248,0
BRCB.US,D,20251104,000000,24.22,25.82,24,24.67,222304,0
BRCB.US,D,20251105,000000,25.08,25.08,23.835,24.14,231473,0
