<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BREM.US,D,20251016,000000,50.25,50.2818,50.25,50.2796,4305,0
BREM.US,D,20251020,000000,50.48,50.6,50.4794,50.4794,2558,0
BREM.US,D,20251021,000000,50.64,50.64,50.605,50.605,296,0
BREM.US,D,20251022,000000,50.6,50.6,50.5,50.5,647,0
BREM.US,D,20251023,000000,50.52,50.52,50.47,50.47,285,0
BREM.US,D,20251024,000000,50.605,50.615,50.605,50.615,276,0
BREM.US,D,20251027,000000,50.63,50.965,50.63,50.965,218,0
BREM.US,D,20251029,000000,51,51,50.92,50.92,1217,0
BREM.US,D,20251030,000000,50.81,50.81,50.77,50.785,4201,0
BREM.US,D,20251103,000000,50.83,50.86,50.79,50.86,1001,0
BREM.US,D,20251104,000000,50.7,50.73,50.68,50.73,700,0
BREM.US,D,20251105,000000,50.7,50.7,50.68,50.68,406,0
