<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSAAR.US,D,20250807,000000,0.13,0.14,0.12,0.13,920428,0
BSAAR.US,D,20250808,000000,0.1304,0.1325,0.13,0.1325,95118,0
BSAAR.US,D,20250811,000000,0.1325,0.1325,0.13,0.13,16000,0
BSAAR.US,D,20250812,000000,0.13,0.13,0.13,0.13,5172,0
BSAAR.US,D,20250819,000000,0.135,0.135,0.135,0.135,200,0
BSAAR.US,D,20250820,000000,0.135,0.135,0.1289,0.13,74923,0
BSAAR.US,D,20250827,000000,0.1306,0.1306,0.1295,0.13,100808,0
BSAAR.US,D,20250828,000000,0.13,0.13,0.1276,0.1277,19199,0
BSAAR.US,D,20250903,000000,0.13,0.135,0.1283,0.135,153001,0
BSAAR.US,D,20250904,000000,0.1434,0.1434,0.1349,0.1349,1200,0
BSAAR.US,D,20250905,000000,0.1433,0.1433,0.135,0.1399,7100,0
BSAAR.US,D,20250908,000000,0.14,0.14,0.1399,0.1399,10000,0
BSAAR.US,D,20250909,000000,0.14,0.14,0.14,0.14,48784,0
BSAAR.US,D,20250910,000000,0.15,0.15,0.15,0.15,208,0
BSAAR.US,D,20250911,000000,0.14,0.14,0.14,0.14,400,0
BSAAR.US,D,20250912,000000,0.132,0.132,0.13,0.13,3552,0
BSAAR.US,D,20250915,000000,0.14,0.15,0.1399,0.1401,15613,0
BSAAR.US,D,20250916,000000,0.17,0.17,0.17,0.17,3800,0
BSAAR.US,D,20250917,000000,0.16,0.17,0.16,0.17,4107,0
BSAAR.US,D,20250924,000000,0.18,0.18,0.16,0.16,300,0
BSAAR.US,D,20250926,000000,0.1565,0.16,0.145,0.146,37600,0
BSAAR.US,D,20250930,000000,0.14,0.15,0.14,0.1401,50607,0
BSAAR.US,D,20251002,000000,0.1401,0.1646,0.1401,0.1646,25989,0
BSAAR.US,D,20251007,000000,0.15,0.15,0.15,0.15,110,0
BSAAR.US,D,20251015,000000,0.166,0.17,0.15,0.17,1000,0
BSAAR.US,D,20251016,000000,0.1537,0.16,0.1537,0.16,18632,0
BSAAR.US,D,20251021,000000,0.153,0.153,0.153,0.153,107,0
BSAAR.US,D,20251024,000000,0.159,0.16,0.159,0.16,1237,0
BSAAR.US,D,20251027,000000,0.1501,0.1501,0.1501,0.1501,109,0
BSAAR.US,D,20251028,000000,0.1501,0.1501,0.1501,0.1501,244,0
BSAAR.US,D,20251031,000000,0.1501,0.1566,0.14,0.14,144943,0
BSAAR.US,D,20251103,000000,0.15,0.1566,0.1401,0.1401,156500,0
