<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTQ.US,D,20250929,000000,6.05,7.07,5.9,6.26,6972834,0
BTQ.US,D,20250930,000000,7.14,7.29,6.68,6.92,7389334,0
BTQ.US,D,20251001,000000,6.75,7.2,6.45,6.74,4235874,0
BTQ.US,D,20251002,000000,6.815,6.85,6.13,6.39,3725172,0
BTQ.US,D,20251003,000000,6.85,7.6,6.5,6.94,6664509,0
BTQ.US,D,20251006,000000,7.3,9.16,6.98,9.1,9787822,0
BTQ.US,D,20251007,000000,10.97,14.3813,9.35,13.79,27783156,0
BTQ.US,D,20251008,000000,15.3,16,13.61,14.14,22877722,0
BTQ.US,D,20251009,000000,13.57,15.15,11.75,12.49,14652379,0
BTQ.US,D,20251010,000000,12.83,13.2299,8.93,10.12,19921952,0
BTQ.US,D,20251013,000000,11.105,12.5,11.02,12.08,9403566,0
BTQ.US,D,20251014,000000,12.36,12.69,10.93,11.675,9532352,0
BTQ.US,D,20251015,000000,12.54,12.82,10.3139,10.79,8266633,0
BTQ.US,D,20251016,000000,11.52,13.8501,11,11.16,21975908,0
BTQ.US,D,20251017,000000,11.43,12.38,11.11,11.71,9277819,0
BTQ.US,D,20251020,000000,12.495,12.9,10.41,10.485,8951187,0
BTQ.US,D,20251021,000000,10.135,10.39,9.04,9.24,8222386,0
BTQ.US,D,20251022,000000,8.18,8.73,7.35,8.23,9989199,0
BTQ.US,D,20251023,000000,9.1,9.85,8.65,8.81,7835753,0
BTQ.US,D,20251024,000000,9.02,9.56,8.82,9.11,4913807,0
BTQ.US,D,20251027,000000,9.95,10.2,8.45,8.73,7597542,0
BTQ.US,D,20251028,000000,8.9,9.43,8.45,8.5,5058645,0
BTQ.US,D,20251029,000000,8.39,8.6,7.91,7.95,5271519,0
BTQ.US,D,20251030,000000,7.7,7.8,7.15,7.35,5705429,0
BTQ.US,D,20251031,000000,7.42,7.92,7.145,7.64,4191133,0
BTQ.US,D,20251103,000000,7.89,7.9513,6.85,7.02,4280972,0
BTQ.US,D,20251104,000000,6.65,6.9426,6.2,6.23,3602087,0
BTQ.US,D,20251105,000000,6.545,7.38,6.2501,7.285,3367723,0
