<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTTC.US,D,20251002,000000,6,39,5.48,23.98,3836667,0
BTTC.US,D,20251003,000000,17.5,23.48,8.8015,9.25,2859910,0
BTTC.US,D,20251006,000000,11,11.3,9.83,10.05,2815997,0
BTTC.US,D,20251007,000000,9,9.31,8.2,8.55,559515,0
BTTC.US,D,20251008,000000,8.1,8.8902,7.746,8,195834,0
BTTC.US,D,20251009,000000,7.63,7.8392,6.19,6.91,369481,0
BTTC.US,D,20251010,000000,6.37,7.3,6.37,6.62,173013,0
BTTC.US,D,20251013,000000,6.62,6.93,6.5603,6.7,133990,0
BTTC.US,D,20251014,000000,6.555,6.65,5.83,6.01,153985,0
BTTC.US,D,20251015,000000,6.02,6.1023,5.6,5.62,102839,0
BTTC.US,D,20251016,000000,5.61,5.7853,4.88,4.89,135228,0
BTTC.US,D,20251017,000000,4.62,5.85,4.57,5.01,295303,0
BTTC.US,D,20251020,000000,5.1,5.63,4.5601,4.67,179855,0
BTTC.US,D,20251021,000000,4.75,4.8083,4.25,4.36,80750,0
BTTC.US,D,20251022,000000,4.28,4.33,4,4.15,91098,0
BTTC.US,D,20251023,000000,4.04,4.405,4.03,4.21,73413,0
BTTC.US,D,20251024,000000,4.25,5.0911,4.11,4.39,254667,0
BTTC.US,D,20251027,000000,4.46,4.54,4.13,4.18,95467,0
BTTC.US,D,20251028,000000,4.1308,4.34,4.02,4.03,52941,0
BTTC.US,D,20251029,000000,4.02,4.075,3.9,3.9,39001,0
BTTC.US,D,20251030,000000,3.79,3.855,3.74,3.77,27058,0
BTTC.US,D,20251031,000000,3.8,3.85,3.64,3.71,57531,0
BTTC.US,D,20251103,000000,3.77,3.8001,3.47,3.53,32118,0
BTTC.US,D,20251104,000000,3.59,3.7099,3.1473,3.19,51181,0
BTTC.US,D,20251105,000000,3.15,3.4,3.14,3.24,29007,0
