<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CARL.US,D,20250723,000000,15,15,14,14.5,2950300,0
CARL.US,D,20250724,000000,15.16,15.195,14.44,14.45,661000,0
CARL.US,D,20250725,000000,14.7,14.8,14.2019,14.5,465000,0
CARL.US,D,20250728,000000,14.4,14.7,13.95,14.5,399300,0
CARL.US,D,20250729,000000,14.6,14.67,14.32,14.5,190900,0
CARL.US,D,20250730,000000,14.52,15.1,14.4129,14.61,307800,0
CARL.US,D,20250731,000000,14.56,14.695,13.81,14.06,304484,0
CARL.US,D,20250801,000000,13.81,13.826,13.56,13.6,154386,0
CARL.US,D,20250804,000000,13.83,13.9004,12.9,12.99,360706,0
CARL.US,D,20250805,000000,12.87,13.02,12.16,12.245,453890,0
CARL.US,D,20250806,000000,12.13,12.41,11.81,12.11,268185,0
CARL.US,D,20250807,000000,11.99,12.2,11.83,12.15,105007,0
CARL.US,D,20250808,000000,12.16,12.78,12.15,12.72,170121,0
CARL.US,D,20250811,000000,12.8,13.7,12.39,13.06,118661,0
CARL.US,D,20250812,000000,13,13.33,12.6,13.25,100139,0
CARL.US,D,20250813,000000,13.25,13.9,13.12,13.78,102232,0
CARL.US,D,20250814,000000,13.76,13.99,13.425,13.95,83497,0
CARL.US,D,20250815,000000,13.6,13.78,13.41,13.58,48454,0
CARL.US,D,20250818,000000,13.45,13.99,13.16,13.18,131177,0
CARL.US,D,20250819,000000,13.3,13.864,12.51,12.55,139319,0
CARL.US,D,20250820,000000,12.74,12.9,12.02,12.07,118294,0
CARL.US,D,20250821,000000,12.22,12.9,12.155,12.88,67685,0
CARL.US,D,20250822,000000,12.97,13.17,12.54,13.04,126055,0
CARL.US,D,20250825,000000,13.22,14.6,13.09,14.34,185236,0
CARL.US,D,20250826,000000,14.23,14.34,13.61,13.75,76670,0
CARL.US,D,20250827,000000,13.77,14.2,13.52,13.9,75353,0
CARL.US,D,20250828,000000,14.11,14.16,13.35,13.69,114896,0
CARL.US,D,20250829,000000,13.34,13.65,12.16,13.3,156992,0
CARL.US,D,20250902,000000,13.29,13.707,13.01,13.53,65695,0
CARL.US,D,20250903,000000,13.37,13.5575,12.8628,12.96,51580,0
CARL.US,D,20250904,000000,13.6,13.6,12.6515,12.91,43490,0
CARL.US,D,20250905,000000,13.13,13.16,12.555,12.74,34509,0
CARL.US,D,20250908,000000,12.89,13.4566,12.84,13.38,52098,0
CARL.US,D,20250909,000000,13.57,13.6254,13.0769,13.45,61095,0
CARL.US,D,20250910,000000,13.55,13.895,13.01,13.6,81809,0
CARL.US,D,20250911,000000,13.84,13.985,13.01,13.74,88344,0
CARL.US,D,20250912,000000,13.89,14.9735,13.675,14.79,110516,0
CARL.US,D,20250915,000000,14.7,14.7798,13.78,14.65,108828,0
CARL.US,D,20250916,000000,14.51,15.5,14.34,15.3,109939,0
CARL.US,D,20250917,000000,15.5,15.85,15.06,15.06,177740,0
CARL.US,D,20250918,000000,15.26,16.2,15.03,15.35,149065,0
CARL.US,D,20250919,000000,15.58,15.88,14.06,14.15,1077113,0
CARL.US,D,20250922,000000,14.51,14.96,14,14.5,136869,0
CARL.US,D,20250923,000000,14.46,14.8222,14.3,14.43,60984,0
CARL.US,D,20250924,000000,14.25,14.7,14.25,14.33,43348,0
CARL.US,D,20250925,000000,13.88,14.02,12.8,13.25,147355,0
CARL.US,D,20250926,000000,13.26,13.89,13.26,13.67,67388,0
CARL.US,D,20250929,000000,13.6,13.78,13.21,13.45,90301,0
CARL.US,D,20250930,000000,13.51,13.7479,13.25,13.39,73391,0
CARL.US,D,20251001,000000,13.44,13.7,13.2,13.32,61814,0
CARL.US,D,20251002,000000,13.2,13.565,12.82,13.33,148349,0
CARL.US,D,20251003,000000,13.4,13.4563,12.81,12.97,151052,0
CARL.US,D,20251006,000000,12.94,14.62,12.94,14.48,73346,0
CARL.US,D,20251007,000000,13.89,14.1999,13.565,13.59,63691,0
CARL.US,D,20251008,000000,13.65,14.78,13.4,13.82,108010,0
CARL.US,D,20251009,000000,13.64,14.061,13.38,13.67,57923,0
CARL.US,D,20251010,000000,13.68,13.68,12.952,13.12,77224,0
CARL.US,D,20251013,000000,13.06,13.365,13.01,13.13,40466,0
CARL.US,D,20251014,000000,12.98,13.94,12.71,13.94,84917,0
CARL.US,D,20251015,000000,14.17,14.27,13.53,13.65,68707,0
CARL.US,D,20251016,000000,13.46,14.055,13.46,13.63,52233,0
CARL.US,D,20251017,000000,13.35,13.6,13.21,13.55,120562,0
CARL.US,D,20251020,000000,13.66,14.44,13.5101,14.39,37929,0
CARL.US,D,20251021,000000,13.9838,14.3,13.9838,14.1,26713,0
CARL.US,D,20251022,000000,13.86,14.1,13.375,13.89,55895,0
CARL.US,D,20251023,000000,13.89,13.89,13,13.01,38564,0
CARL.US,D,20251024,000000,13.05,13.72,12.78,13.48,45242,0
CARL.US,D,20251027,000000,13.25,13.59,13.14,13.54,30299,0
CARL.US,D,20251028,000000,13.49,13.5442,12.78,13.12,37310,0
CARL.US,D,20251029,000000,13.16,13.37,12.38,12.51,67608,0
CARL.US,D,20251030,000000,12.56,13.085,12.4,12.71,41232,0
CARL.US,D,20251031,000000,12.91,13,12.25,12.89,72690,0
CARL.US,D,20251103,000000,12.89,12.93,12,12.22,45535,0
CARL.US,D,20251104,000000,12.15,12.69,11.76,12.36,72070,0
CARL.US,D,20251105,000000,12.61,12.61,11.76,12.08,34845,0
