<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CCHH.US,D,20251003,000000,5.32,8.25,4.08,4.44,4208425,0
CCHH.US,D,20251006,000000,4.17,4.17,3.68,3.72,441102,0
CCHH.US,D,20251007,000000,3.6907,5,3.49,4.13,568632,0
CCHH.US,D,20251008,000000,4.19,4.2999,4.05,4.1,64928,0
CCHH.US,D,20251009,000000,4.16,4.4599,4.1254,4.19,267394,0
CCHH.US,D,20251010,000000,4.38,5.5,4.27,5.39,676436,0
CCHH.US,D,20251013,000000,5.04,5.345,4.4,4.49,109714,0
CCHH.US,D,20251014,000000,4.29,4.8,4.1201,4.55,58364,0
CCHH.US,D,20251015,000000,4.4,4.7,4.4,4.59,29593,0
CCHH.US,D,20251016,000000,4.7,4.8,4.33,4.77,79688,0
CCHH.US,D,20251017,000000,4.6,5,4.25,4.91,993206,0
CCHH.US,D,20251020,000000,4.91,5.3001,4.36,4.605,90944,0
CCHH.US,D,20251021,000000,4.57,4.7,4.27,4.39,121429,0
CCHH.US,D,20251022,000000,4.61,4.67,4.4,4.62,51720,0
CCHH.US,D,20251023,000000,4.65,4.65,4.43,4.5,28617,0
CCHH.US,D,20251024,000000,4.35,4.85,4.35,4.44,804124,0
CCHH.US,D,20251027,000000,4.5017,4.615,4.2,4.3,42880,0
CCHH.US,D,20251028,000000,4.4,4.7,4.25,4.54,828152,0
CCHH.US,D,20251029,000000,4.49,4.59,4.36,4.48,547517,0
CCHH.US,D,20251030,000000,4.4,4.82,4.4,4.63,209734,0
CCHH.US,D,20251031,000000,4.71,4.9899,4.63,4.73,129432,0
CCHH.US,D,20251103,000000,4.79,4.8325,4.61,4.62,44489,0
CCHH.US,D,20251104,000000,4.55,4.6996,4.43,4.46,131270,0
CCHH.US,D,20251105,000000,4.47,4.7659,4.46,4.58,25642,0
