<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CCIIW.US,D,20250825,000000,0.83,0.83,0.8199,0.83,50700,0
CCIIW.US,D,20250826,000000,0.82,0.82,0.75,0.75,3234,0
CCIIW.US,D,20250827,000000,0.8,0.8,0.79,0.8,218000,0
CCIIW.US,D,20250829,000000,0.778,0.78,0.56,0.78,184029,0
CCIIW.US,D,20250903,000000,0.5776,0.6438,0.5776,0.6438,63950,0
CCIIW.US,D,20250904,000000,0.6,0.6,0.6,0.6,528,0
CCIIW.US,D,20250905,000000,0.6475,0.65,0.6445,0.65,1400,0
CCIIW.US,D,20250908,000000,0.69,0.75,0.69,0.69,4802,0
CCIIW.US,D,20250911,000000,0.75,0.78,0.7,0.774,90750,0
CCIIW.US,D,20250912,000000,0.7,0.75,0.7,0.7,37121,0
CCIIW.US,D,20250916,000000,0.7,0.7,0.68,0.68,5034,0
CCIIW.US,D,20250917,000000,0.72,0.72,0.72,0.72,398,0
CCIIW.US,D,20250918,000000,0.72,0.72,0.7199,0.7199,402,0
CCIIW.US,D,20250919,000000,0.72,0.72,0.72,0.72,106,0
CCIIW.US,D,20250922,000000,0.72,0.72,0.72,0.72,171,0
CCIIW.US,D,20250923,000000,0.72,0.818,0.72,0.818,81181,0
CCIIW.US,D,20250924,000000,0.7548,0.7548,0.7548,0.7548,102,0
CCIIW.US,D,20250925,000000,0.7394,0.799,0.7394,0.79,3102,0
CCIIW.US,D,20250926,000000,0.79,0.82,0.79,0.8,7402,0
CCIIW.US,D,20250929,000000,0.7389,0.95,0.7389,0.95,113171,0
CCIIW.US,D,20251007,000000,0.8182,0.85,0.8182,0.85,9663,0
CCIIW.US,D,20251008,000000,0.8201,0.85,0.8,0.8441,86525,0
CCIIW.US,D,20251009,000000,0.82,0.85,0.82,0.85,69365,0
CCIIW.US,D,20251010,000000,0.849899,0.849899,0.771,0.771,2813,0
CCIIW.US,D,20251013,000000,0.77,0.8,0.77,0.8,16850,0
CCIIW.US,D,20251015,000000,0.84,0.875,0.84,0.875,10699,0
CCIIW.US,D,20251016,000000,0.9,0.9,0.85,0.85,19927,0
CCIIW.US,D,20251017,000000,0.85,0.85,0.85,0.85,10000,0
CCIIW.US,D,20251020,000000,0.85,1.19,0.85,1.05,323009,0
CCIIW.US,D,20251021,000000,0.9948,1.0656,0.8528,0.9111,30079,0
CCIIW.US,D,20251022,000000,0.88,0.9,0.85,0.86,24865,0
CCIIW.US,D,20251023,000000,0.87,0.925,0.85,0.925,4019,0
CCIIW.US,D,20251024,000000,0.85,0.85,0.85,0.85,150,0
CCIIW.US,D,20251029,000000,0.85,0.85,0.85,0.85,42400,0
CCIIW.US,D,20251031,000000,0.875001,0.875001,0.875001,0.875001,2001,0
CCIIW.US,D,20251104,000000,0.8076,0.8999,0.8076,0.8999,13077,0
CCIIW.US,D,20251105,000000,0.86,0.92,0.86,0.92,4178,0
