<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHECU.US,D,20250916,000000,10,10.01,9.98,9.99,9206477,0
CHECU.US,D,20250917,000000,9.98,10,9.98,9.98,512266,0
CHECU.US,D,20250918,000000,9.9811,10,9.98,9.985,107059,0
CHECU.US,D,20250919,000000,10,10.0006,9.9813,9.99,42909,0
CHECU.US,D,20250922,000000,9.985,9.985,9.9807,9.985,657,0
CHECU.US,D,20250923,000000,9.995,9.995,9.99,9.99,385,0
CHECU.US,D,20250924,000000,9.999,9.999,9.99,9.99,1400,0
CHECU.US,D,20250925,000000,9.98,9.98,9.98,9.98,3988,0
CHECU.US,D,20250926,000000,9.99,9.99,9.98,9.99,574,0
CHECU.US,D,20250929,000000,9.98,10,9.98,10,25490,0
CHECU.US,D,20250930,000000,9.995,9.995,9.97,9.98,37348,0
CHECU.US,D,20251001,000000,9.979,9.979,9.97,9.97,2757,0
CHECU.US,D,20251002,000000,9.97,9.975,9.96,9.96,30559,0
CHECU.US,D,20251003,000000,9.96,9.97,9.96,9.96,89281,0
CHECU.US,D,20251006,000000,9.96,9.96,9.96,9.96,50653,0
CHECU.US,D,20251007,000000,9.96,9.96,9.96,9.96,7776,0
CHECU.US,D,20251008,000000,9.97,9.98,9.96,9.96,261989,0
CHECU.US,D,20251009,000000,9.975,9.98,9.97,9.97,3129,0
CHECU.US,D,20251010,000000,9.97,9.98,9.96,9.96,30096,0
CHECU.US,D,20251013,000000,9.96,9.96,9.95,9.95,62624,0
CHECU.US,D,20251014,000000,9.96,9.96,9.96,9.96,400,0
CHECU.US,D,20251016,000000,9.97,9.97,9.95,9.95,49205,0
CHECU.US,D,20251020,000000,9.96,9.96,9.96,9.96,199,0
CHECU.US,D,20251021,000000,9.965,9.99,9.965,9.98,39747,0
CHECU.US,D,20251022,000000,9.98,9.98,9.98,9.98,258,0
CHECU.US,D,20251029,000000,9.985,9.99,9.98,9.99,212708,0
CHECU.US,D,20251030,000000,9.99,9.99,9.98,9.98,10400,0
CHECU.US,D,20251103,000000,9.99,9.99,9.98,9.98,16510,0
CHECU.US,D,20251105,000000,10,10,9.99,9.99,8416,0
