<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHRI.US,D,20250924,000000,79.32,79.39,79.32,79.3743,508,0
CHRI.US,D,20250925,000000,78.79,78.99,78.72,78.967,1719,0
CHRI.US,D,20250926,000000,79.18,79.417,79.1799,79.417,1801,0
CHRI.US,D,20250929,000000,79.6808,79.81,79.5842,79.5842,1279,0
CHRI.US,D,20250930,000000,79.63,79.9216,79.63,79.9216,497,0
CHRI.US,D,20251002,000000,80,80.28,80,80.1861,392,0
CHRI.US,D,20251003,000000,80.42,80.42,80.1744,80.1744,261,0
CHRI.US,D,20251006,000000,80.575,80.575,80.515,80.515,363,0
CHRI.US,D,20251007,000000,80.51,80.51,80.2787,80.2787,234,0
CHRI.US,D,20251009,000000,80.44,80.52,80.4167,80.4167,1174,0
CHRI.US,D,20251010,000000,79.2,79.2,78.2491,78.2491,278,0
CHRI.US,D,20251013,000000,79.19,79.58,79.19,79.4902,387,0
CHRI.US,D,20251014,000000,79.7215,79.75,79.3943,79.3943,284,0
CHRI.US,D,20251021,000000,80.5985,80.6123,80.5985,80.6123,466,0
CHRI.US,D,20251022,000000,80.6,80.6,80.0799,80.0799,181,0
CHRI.US,D,20251023,000000,80.6101,80.6101,80.5823,80.5823,118,0
CHRI.US,D,20251024,000000,88,88,81.2137,81.2137,365,0
CHRI.US,D,20251027,000000,81.9805,82.2221,81.9805,82.2221,1930,0
CHRI.US,D,20251028,000000,82.285,82.6,82.285,82.4562,717,0
CHRI.US,D,20251029,000000,82.67,82.67,82.3751,82.3751,581,0
CHRI.US,D,20251030,000000,82.2199,82.2199,81.543,81.543,507,0
CHRI.US,D,20251031,000000,82.0465,82.0465,81.825,81.825,290,0
CHRI.US,D,20251103,000000,82.07,82.07,81.805,81.9251,1415,0
CHRI.US,D,20251104,000000,81.3925,81.3925,80.8793,80.8793,401,0
