<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRAQ.US,D,20250623,000000,10.31,10.44,9.95,9.98,11879,0
CRAQ.US,D,20250624,000000,9.99,10,9.9689,10,80612,0
CRAQ.US,D,20250625,000000,10,10.015,9.955,9.99,772272,0
CRAQ.US,D,20250626,000000,9.97,9.99,9.97,9.99,148680,0
CRAQ.US,D,20250627,000000,10,10,9.985,9.999,61148,0
CRAQ.US,D,20250630,000000,10,10,9.97,9.97,364650,0
CRAQ.US,D,20250701,000000,9.97,9.99,9.95,9.95,173299,0
CRAQ.US,D,20250702,000000,9.95,9.96,9.92,9.92,34840,0
CRAQ.US,D,20250703,000000,9.9201,9.9571,9.9201,9.95,5541,0
CRAQ.US,D,20250707,000000,9.94,9.96,9.94,9.9599,5034,0
CRAQ.US,D,20250708,000000,9.94,9.96,9.94,9.9599,4319,0
CRAQ.US,D,20250709,000000,9.96,9.96,9.95,9.96,15322,0
CRAQ.US,D,20250710,000000,9.94,9.94,9.94,9.94,8842,0
CRAQ.US,D,20250711,000000,9.96,9.96,9.95,9.95,91496,0
CRAQ.US,D,20250716,000000,9.95,9.97,9.95,9.95,335622,0
CRAQ.US,D,20250717,000000,9.96,9.99,9.96,9.97,46775,0
CRAQ.US,D,20250718,000000,9.98,10,9.98,9.99,664665,0
CRAQ.US,D,20250721,000000,9.96,10.015,9.96,10.015,33381,0
CRAQ.US,D,20250722,000000,9.98,9.99,9.98,9.98,95459,0
CRAQ.US,D,20250723,000000,10.005,10.005,10.005,10.005,25991,0
CRAQ.US,D,20250724,000000,10,10,10,10,26544,0
CRAQ.US,D,20250725,000000,9.9792,9.9792,9.9792,9.9792,26600,0
CRAQ.US,D,20250728,000000,10,10.01,10,10,25438,0
CRAQ.US,D,20250729,000000,10.02,10.025,10,10.025,77699,0
CRAQ.US,D,20250804,000000,10.0054,10.0054,10.0054,10.0054,6807,0
CRAQ.US,D,20250806,000000,10.01,10.02,10,10,61707,0
CRAQ.US,D,20250807,000000,10.02,10.02,10,10.001,15900,0
CRAQ.US,D,20250811,000000,10,10.0184,9.98,10.0184,9501,0
CRAQ.US,D,20250812,000000,10.01,10.01,10.01,10.01,305000,0
CRAQ.US,D,20250813,000000,10.01,10.02,10,10.02,329340,0
CRAQ.US,D,20250814,000000,10.02,10.03,10.02,10.03,163751,0
CRAQ.US,D,20250819,000000,10.02,10.02,10.02,10.02,68709,0
CRAQ.US,D,20250820,000000,10.02,10.02,10.02,10.02,5007,0
CRAQ.US,D,20250821,000000,10.02,10.03,10.02,10.02,45182,0
CRAQ.US,D,20250822,000000,10.03,10.03,10.02,10.02,1130,0
CRAQ.US,D,20250825,000000,10.02,10.02,10.02,10.02,5000,0
CRAQ.US,D,20250826,000000,10.02,10.02,10.02,10.02,51070,0
CRAQ.US,D,20250827,000000,10.02,10.02,10.02,10.02,30000,0
CRAQ.US,D,20250828,000000,10.02,10.02,10.02,10.02,30570,0
CRAQ.US,D,20250829,000000,10.02,10.02,10.01,10.01,25363,0
CRAQ.US,D,20250902,000000,10.01,10.03,10,10,25698,0
CRAQ.US,D,20250903,000000,10.015,10.015,10,10,714,0
CRAQ.US,D,20250904,000000,10,10,9.99,9.99,37268,0
CRAQ.US,D,20250910,000000,9.98,9.98,9.98,9.98,2954,0
CRAQ.US,D,20250911,000000,9.97,9.97,9.97,9.97,502,0
CRAQ.US,D,20250919,000000,9.99,9.99,9.97,9.975,6752,0
CRAQ.US,D,20250922,000000,9.99,10,9.99,9.99,105255,0
CRAQ.US,D,20250924,000000,9.9901,10,9.99,9.995,51715,0
CRAQ.US,D,20250929,000000,10,10.0043,10,10.0043,8610,0
CRAQ.US,D,20250930,000000,9.9917,10.01,9.9917,10.0009,11980,0
CRAQ.US,D,20251002,000000,10.005,10.005,10,10,28800,0
CRAQ.US,D,20251003,000000,10.01,10.04,10.01,10.04,5300,0
CRAQ.US,D,20251006,000000,10.04,10.04,10.04,10.04,28210,0
CRAQ.US,D,20251007,000000,10.02,10.03,10.02,10.03,46276,0
CRAQ.US,D,20251008,000000,10.0285,10.0285,10.0285,10.0285,9601,0
CRAQ.US,D,20251009,000000,10.04,10.05,10.04,10.04,10375,0
CRAQ.US,D,20251013,000000,10.04,10.05,10.04,10.05,10402,0
CRAQ.US,D,20251014,000000,10.05,10.05,10.05,10.05,181606,0
CRAQ.US,D,20251021,000000,10.06,10.06,10.06,10.06,1453,0
CRAQ.US,D,20251022,000000,10.06,10.06,10.06,10.06,45258,0
CRAQ.US,D,20251023,000000,10.06,10.07,10.06,10.07,72117,0
CRAQ.US,D,20251024,000000,10.07,10.08,10.07,10.08,14121,0
CRAQ.US,D,20251028,000000,10.07,10.09,10.07,10.09,193428,0
CRAQ.US,D,20251029,000000,10.09,10.115,10.09,10.115,53692,0
CRAQ.US,D,20251030,000000,10.105,10.105,10.105,10.105,1272,0
CRAQ.US,D,20251031,000000,10.08,10.1,10.08,10.1,291,0
CRAQ.US,D,20251103,000000,10.105,10.105,10.09,10.09,18076,0
CRAQ.US,D,20251104,000000,10.1,10.1,10.1,10.1,242,0
CRAQ.US,D,20251105,000000,10.095,10.1,10.095,10.1,4512,0
