<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CYCU.US,D,20220412,000000,296.7,296.7,296.7,296.7,216.533,0
CYCU.US,D,20220413,000000,297.6,297.6,297.6,297.6,666.666,0
CYCU.US,D,20220414,000000,297.9,297.9,297.9,297.9,66.6666,0
CYCU.US,D,20220420,000000,297.3,297.3,297.3,297.3,132.899,0
CYCU.US,D,20220425,000000,297.3,297.3,297.3,297.3,26.5999,0
CYCU.US,D,20220426,000000,297.6,297.6,297.6,297.6,1666.93,0
CYCU.US,D,20220509,000000,297.6,297.6,297.6,297.6,166.666,0
CYCU.US,D,20220510,000000,297.3,297.3,297.3,297.3,363.333,0
CYCU.US,D,20220511,000000,297.3,297.3,297,297,5059.99,0
CYCU.US,D,20220512,000000,297,297,296.7,296.7,701.566,0
CYCU.US,D,20220513,000000,296.7,296.7,296.7,296.7,176.033,0
CYCU.US,D,20220516,000000,296.7,296.7,296.4,296.4,1840.69,0
CYCU.US,D,20220517,000000,296.238,296.4,296.238,296.4,90.0666,0
CYCU.US,D,20220518,000000,296.4,296.85,296.1,296.4,3066.76,0
CYCU.US,D,20220523,000000,296.4,296.4,296.4,296.4,475.966,0
CYCU.US,D,20220526,000000,297.75,297.75,297.6,297.6,8515.63,0
CYCU.US,D,20220531,000000,298.2,298.2,298.2,298.2,51.2666,0
CYCU.US,D,20220621,000000,297.9,297.9,297.9,297.9,3.39999,0
CYCU.US,D,20220622,000000,297,297,297,297,22.9333,0
CYCU.US,D,20220623,000000,297,297,297,297,3333.99,0
CYCU.US,D,20220624,000000,297,297,297,297,2981.63,0
CYCU.US,D,20220630,000000,298.2,298.2,298.2,298.2,8.86666,0
CYCU.US,D,20220706,000000,297.3,298.2,296.4,298.05,1373.33,0
CYCU.US,D,20220713,000000,297.6,297.6,297.6,297.6,4.49999,0
CYCU.US,D,20220715,000000,297.9,297.9,297.9,297.9,3333.49,0
CYCU.US,D,20220718,000000,297.9,298.2,297.9,297.9,5747.49,0
CYCU.US,D,20220729,000000,299.4,299.4,299.4,299.4,69.5999,0
CYCU.US,D,20220802,000000,298.8,298.8,298.8,298.8,7.16666,0
CYCU.US,D,20220823,000000,299.7,300,299.7,300,37.6666,0
CYCU.US,D,20220824,000000,298.5,298.5,298.5,298.5,26603.9,0
CYCU.US,D,20220825,000000,299.7,299.7,299.7,299.7,3.96666,0
CYCU.US,D,20220831,000000,298.2,298.8,298.2,298.5,309.566,0
CYCU.US,D,20220901,000000,298.5,298.5,298.5,298.5,188.166,0
CYCU.US,D,20220902,000000,298.5,299.1,298.5,299.1,4483.79,0
CYCU.US,D,20220906,000000,298.8,299.1,298.797,298.8,818.499,0
CYCU.US,D,20220907,000000,298.8,298.8,298.8,298.8,106.533,0
CYCU.US,D,20220908,000000,299.1,299.1,298.8,298.8,165.666,0
CYCU.US,D,20220909,000000,298.8,298.8,298.8,298.8,252.866,0
CYCU.US,D,20220912,000000,298.8,299.1,298.5,298.5,370.199,0
CYCU.US,D,20220914,000000,298.5,299.1,297.9,299.1,877.866,0
