<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ECDA.US,D,20221209,000000,399.2,401.2,399.2,400.4,233.55,0
ECDA.US,D,20221212,000000,400.4,400.4,399.6,400,6257.650000000001,0
ECDA.US,D,20221214,000000,407.568,424.4,400,400.4,464.225,0
ECDA.US,D,20221215,000000,401.6,412,400,400.4,612.95,0
ECDA.US,D,20221216,000000,404,404,400,400,147.55,0
ECDA.US,D,20221219,000000,401.2,401.2,399.6,400,1713.7,0
ECDA.US,D,20221222,000000,404,412.8,400,400.4,1367.125,0
ECDA.US,D,20221223,000000,412,454.8,400.4,400.4,197.55,0
ECDA.US,D,20221227,000000,401.6,401.6,400,400.4,698.7750000000001,0
ECDA.US,D,20221228,000000,400.4,400.4,400.4,400.4,1339.825,0
ECDA.US,D,20221229,000000,403.2,403.6,400.8,401.2,55.025000000000006,0
ECDA.US,D,20221230,000000,401.2,402.4,400.4,400.8,1882.0500000000002,0
ECDA.US,D,20230104,000000,402,402,401.6,401.6,17.725,0
ECDA.US,D,20230105,000000,402.4,409.996,402,402,2569.4750000000004,0
ECDA.US,D,20230106,000000,402.4,402.8,401.2,402.4,180.32500000000002,0
ECDA.US,D,20230109,000000,402.8,403.2,402.2,402.8,3341.4750000000004,0
ECDA.US,D,20230111,000000,402.8,405.6,402.8,405.6,2530.25,0
ECDA.US,D,20230112,000000,402.4,404.2,402.4,404,20.5,0
ECDA.US,D,20230117,000000,404,404,404,404,8.025,0
ECDA.US,D,20230118,000000,403.6,406.8,403.6,404,21682.600000000002,0
ECDA.US,D,20230119,000000,404.8,405.6,404.8,405.2,18159.075,0
ECDA.US,D,20230120,000000,405.6,405.6,404.8,405.6,14372.925000000001,0
ECDA.US,D,20230123,000000,418,418,405.208,405.208,63.875,0
ECDA.US,D,20230124,000000,406.4,406.4,406.4,406.4,25.625,0
ECDA.US,D,20230125,000000,407.2,407.2,405.2,405.2,838.9000000000001,0
ECDA.US,D,20230126,000000,405.2,405.2,405.2,405.2,1035.525,0
ECDA.US,D,20230131,000000,408.4,420,405.6,406.4,245.55,0
ECDA.US,D,20230203,000000,406.4,410.8,406,410.8,250.20000000000002,0
ECDA.US,D,20230206,000000,406.4,422.032,406.4,406.4,686.35,0
ECDA.US,D,20230207,000000,413.6,420,406.8,406.8,1498.7,0
ECDA.US,D,20230208,000000,406.8,407.2,406.8,406.8,16.475,0
ECDA.US,D,20230209,000000,407.2,407.2,407.2,407.2,18.075,0
ECDA.US,D,20230210,000000,406.8,407.2,406.8,406.8,17.075,0
ECDA.US,D,20230213,000000,406.8,406.8,406.8,406.8,6.8500000000000005,0
ECDA.US,D,20230215,000000,406.4,407.2,406.4,406.8,665.6,0
ECDA.US,D,20230216,000000,406.4,409.2,406.4,406.804,1108.55,0
ECDA.US,D,20230217,000000,408,408,407.6,407.6,31.200000000000003,0
ECDA.US,D,20230221,000000,408,408,408,408,48.2,0
ECDA.US,D,20230222,000000,409.6,410.8,409.2,409.2,94.15,0
ECDA.US,D,20230223,000000,408,408.4,408,408.4,5798.700000000001,0
ECDA.US,D,20230224,000000,408,408,408,408,111.85000000000001,0
ECDA.US,D,20230227,000000,408,409.2,408,409.2,313.1,0
ECDA.US,D,20230228,000000,409.6,409.6,408,408.4,532.275,0
ECDA.US,D,20230301,000000,409.6,413.6,408.8,413.6,276.8,0
ECDA.US,D,20230302,000000,408.004,412.4,408,409.2,439.55,0
ECDA.US,D,20230303,000000,411.6,411.6,408,408,23.525000000000002,0
ECDA.US,D,20230306,000000,409.596,409.6,408,409.2,950.475,0
ECDA.US,D,20230307,000000,410.2,410.2,408,408,21.525000000000002,0
