<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EFTY.US,D,20250808,000000,4,4.9,3.88,4.88,2952991,0
EFTY.US,D,20250811,000000,4.79,4.94,4.67,4.75,863577,0
EFTY.US,D,20250812,000000,4.7,5.1,4.7,5,1200005,0
EFTY.US,D,20250813,000000,5.08,5.7,4.92,5.69,1161955,0
EFTY.US,D,20250814,000000,5.43,5.69,5.21,5.48,535294,0
EFTY.US,D,20250815,000000,5.48,6.35,5.48,6.35,895604,0
EFTY.US,D,20250818,000000,6.05,6.578,5.85,6.37,506688,0
EFTY.US,D,20250819,000000,6.45,6.79,6.45,6.6,420589,0
EFTY.US,D,20250820,000000,6.55,6.8199,6.3,6.6,176938,0
EFTY.US,D,20250821,000000,6.69,7.09,6.6,7.05,233093,0
EFTY.US,D,20250822,000000,7.12,7.29,6.89,6.98,147091,0
EFTY.US,D,20250825,000000,6.98,7.99,6.9633,7.74,237491,0
EFTY.US,D,20250826,000000,7.95,8.49,7,7.25,482114,0
EFTY.US,D,20250827,000000,7.45,7.945,6.49,6.77,286769,0
EFTY.US,D,20250828,000000,6.88,7.4937,4.1,5.71,485413,0
EFTY.US,D,20250829,000000,5.96,6.79,5.855,6.77,142132,0
EFTY.US,D,20250902,000000,6.62,7.3772,6.5501,6.8,219962,0
EFTY.US,D,20250903,000000,6.7,7.25,6.5,6.64,176093,0
EFTY.US,D,20250904,000000,6.79,6.8,5.8,6.32,277859,0
EFTY.US,D,20250905,000000,6.5,6.79,6.3101,6.71,149341,0
EFTY.US,D,20250908,000000,6.71,7.1,6.55,7.09,157396,0
EFTY.US,D,20250909,000000,6.82,7.46,6.82,7.25,131485,0
EFTY.US,D,20250910,000000,7.25,7.45,7.01,7.13,136740,0
EFTY.US,D,20250911,000000,7.01,8.68,6.8779,7.88,1302729,0
EFTY.US,D,20250912,000000,7.56,8.2798,7.2,8.07,823953,0
EFTY.US,D,20250915,000000,7.89,8.89,7.89,8.57,668497,0
EFTY.US,D,20250916,000000,8.81,9.04,8.16,8.28,662046,0
EFTY.US,D,20250917,000000,8.38,8.74,8.3,8.72,276792,0
EFTY.US,D,20250918,000000,8.67,9.43,8.64,9.3,734753,0
EFTY.US,D,20250919,000000,9.5,9.5,8.95,9.02,155049,0
EFTY.US,D,20250922,000000,8.96,9.81,8.8,9.78,562293,0
EFTY.US,D,20250923,000000,9.75,11.3,9.6,11.14,864024,0
EFTY.US,D,20250924,000000,11,12.275,11,11.82,392592,0
EFTY.US,D,20250925,000000,12.25,13,12.1,12.8,973750,0
EFTY.US,D,20250926,000000,13.3,14.99,12.9885,14.91,340710,0
EFTY.US,D,20250929,000000,14.97,15.52,12.5,14.89,879983,0
EFTY.US,D,20250930,000000,17.4,18.2,15,16.98,1252218,0
EFTY.US,D,20251001,000000,16.39,17.88,15.1,15.99,414791,0
EFTY.US,D,20251002,000000,15.97,16.1334,13.7,15.25,676364,0
EFTY.US,D,20251003,000000,15.25,15.68,13.9,15.02,2586839,0
