<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ELOG.US,D,20250828,000000,3.4,3.6,2.8,2.96,781704,0
ELOG.US,D,20250829,000000,3.03,3.16,2.61,2.96,583319,0
ELOG.US,D,20250902,000000,2.8,2.8,2.11,2.27,224118,0
ELOG.US,D,20250903,000000,2.2,2.37,1.82,1.95,95947,0
ELOG.US,D,20250904,000000,1.9999,2.13,1.82,2.07,70678,0
ELOG.US,D,20250905,000000,2.02,2.42,2.02,2.42,68781,0
ELOG.US,D,20250908,000000,2.45,2.8799,2.2,2.29,121213,0
ELOG.US,D,20250909,000000,2.23,2.6,2.08,2.51,119006,0
ELOG.US,D,20250910,000000,2.605,2.605,2.3401,2.48,35251,0
ELOG.US,D,20250911,000000,2.45,2.55,2.41,2.47,9189,0
ELOG.US,D,20250912,000000,1.98,2.47,1.85,2.41,21114,0
ELOG.US,D,20250915,000000,2.42,2.85,2.4105,2.52,24100,0
ELOG.US,D,20250916,000000,2.51,2.52,2.28,2.36,18711,0
ELOG.US,D,20250917,000000,2.52,2.69,2.4201,2.6,198478,0
ELOG.US,D,20250918,000000,2.44,2.5699,2.3,2.4,76117,0
ELOG.US,D,20250919,000000,2.43,2.49,2.25,2.43,36333,0
ELOG.US,D,20250922,000000,2.4,2.5,2.35,2.49,11203,0
ELOG.US,D,20250923,000000,2.4,2.4981,2.27,2.43,48866,0
ELOG.US,D,20250924,000000,2.36,2.54,2.2,2.35,65566,0
ELOG.US,D,20250925,000000,2.4653,2.4653,2.25,2.34,161893,0
ELOG.US,D,20250926,000000,2.25,2.3928,2.12,2.33,61667,0
ELOG.US,D,20250929,000000,2.28,2.33,2.16,2.27,30542,0
ELOG.US,D,20250930,000000,2.2434,2.28,2.18,2.28,12828,0
ELOG.US,D,20251001,000000,2.19,2.4999,2.19,2.32,19967,0
ELOG.US,D,20251002,000000,2.25,2.34,2.25,2.33,4380,0
ELOG.US,D,20251003,000000,2.34,2.39,2.25,2.32,19378,0
ELOG.US,D,20251006,000000,2.32,2.6,2.28,2.42,30976,0
ELOG.US,D,20251007,000000,2.42,2.6,2.34,2.58,28688,0
ELOG.US,D,20251008,000000,2.5466,2.5466,2.4,2.49,20832,0
ELOG.US,D,20251009,000000,2.42,2.5665,2.321,2.48,14349,0
ELOG.US,D,20251010,000000,2.4,2.66,2.38,2.55,640156,0
ELOG.US,D,20251013,000000,2.65,3.0683,2.5,2.97,267494,0
ELOG.US,D,20251014,000000,2.78,2.93,2.57,2.6,45864,0
ELOG.US,D,20251015,000000,2.52,2.66,2.27,2.35,36620,0
ELOG.US,D,20251016,000000,2.53,2.53,2.101,2.15,27732,0
ELOG.US,D,20251017,000000,2.19,2.57,2.15,2.23,21466,0
ELOG.US,D,20251020,000000,2.38,2.478,2.24,2.3,19751,0
ELOG.US,D,20251021,000000,2.3,2.43,2.25,2.31,16821,0
ELOG.US,D,20251022,000000,2.3,2.44,2.2518,2.38,14399,0
ELOG.US,D,20251023,000000,2.27,2.6804,2.25,2.52,33386,0
ELOG.US,D,20251024,000000,2.42,2.6445,2.42,2.53,7436,0
ELOG.US,D,20251027,000000,2.46,2.64,2.46,2.63,27903,0
ELOG.US,D,20251028,000000,2.6,2.7,2.3584,2.45,23802,0
ELOG.US,D,20251029,000000,2.38,2.565,2.33,2.33,29943,0
ELOG.US,D,20251030,000000,2.4,2.515,2.25,2.3,32333,0
ELOG.US,D,20251031,000000,2.54,2.54,2.29,2.38,11245,0
ELOG.US,D,20251103,000000,2.38,2.674,2.16,2.53,15533,0
ELOG.US,D,20251104,000000,2.4,2.64,2.4,2.5,24228,0
ELOG.US,D,20251105,000000,2.51,2.54,2.41,2.53,4286,0
