<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ELPW.US,D,20241125,000000,2.2,2.34,1.8,1.85,2228464,0
ELPW.US,D,20241126,000000,1.73,1.73,1.47,1.61,629817,0
ELPW.US,D,20241127,000000,1.52,1.6,1.34,1.4,342218,0
ELPW.US,D,20241129,000000,1.39,1.435,1.3081,1.31,170693,0
ELPW.US,D,20241202,000000,1.3,1.46,1.24,1.41,197851,0
ELPW.US,D,20241203,000000,1.41,1.41,1.24,1.28,147645,0
ELPW.US,D,20241204,000000,1.25,1.2781,1.14,1.2,106164,0
ELPW.US,D,20241205,000000,1.19,1.23,1.05,1.075,267457,0
ELPW.US,D,20241206,000000,1.12,1.12,1.01,1.08,274086,0
ELPW.US,D,20241209,000000,1.12,1.28,1.01,1.25,343537,0
ELPW.US,D,20241210,000000,1.2105,1.3062,1.02,1.08,223195,0
ELPW.US,D,20241211,000000,1.1,1.1402,1.03,1.09,81886,0
ELPW.US,D,20241212,000000,1.15,1.19,1.04,1.07,130835,0
ELPW.US,D,20241213,000000,1.06,1.1599,1.04,1.1195,82440,0
ELPW.US,D,20241216,000000,1.06,1.13,1.05,1.05,58014,0
ELPW.US,D,20241217,000000,1.09,1.12,1.0202,1.06,84238,0
ELPW.US,D,20241218,000000,1.07,1.2,1.0416,1.11,208154,0
ELPW.US,D,20241219,000000,1.17,1.55,1.11,1.37,1215507,0
ELPW.US,D,20241220,000000,1.5,1.5,0.9,1.14,939926,0
ELPW.US,D,20241223,000000,1.09,1.14,0.9976,1.07,161280,0
ELPW.US,D,20241224,000000,1.085,1.1064,1.0103,1.05,74886,0
ELPW.US,D,20241226,000000,1.11,1.27,1.1,1.2,245998,0
ELPW.US,D,20241227,000000,1.21,1.2492,1.02,1.15,315207,0
ELPW.US,D,20241230,000000,1.16,1.21,1.0613,1.21,135708,0
ELPW.US,D,20241231,000000,1.18,1.37,1.172,1.32,173734,0
ELPW.US,D,20250102,000000,1.28,1.4158,1.209,1.3102,84590,0
ELPW.US,D,20250103,000000,1.34,1.39,1.23,1.291,63623,0
ELPW.US,D,20250106,000000,1.36,1.435,1.32,1.4,71483,0
ELPW.US,D,20250107,000000,1.42,1.45,1.3,1.34,25450,0
ELPW.US,D,20250108,000000,1.37,1.37,1.15,1.2007,79497,0
ELPW.US,D,20250110,000000,1.27,1.27,1.07,1.1,72625,0
ELPW.US,D,20250113,000000,1.2,1.2,1.06,1.09,122419,0
ELPW.US,D,20250114,000000,1.06,1.16,1.01,1.09,332355,0
ELPW.US,D,20250115,000000,1.04,1.1,1.02,1.03,41222,0
ELPW.US,D,20250116,000000,0.9874,1.05,0.9099,1.05,405063,0
ELPW.US,D,20250117,000000,1.1117,1.13,1.01,1.09,68927,0
ELPW.US,D,20250121,000000,1.1,1.13,1.01,1.11,74054,0
ELPW.US,D,20250122,000000,1.14,1.19,1.09,1.1,56580,0
ELPW.US,D,20250123,000000,1.18,1.22,1.03,1.17,28852,0
ELPW.US,D,20250124,000000,1.17,1.18,1.1,1.1784,122116,0
ELPW.US,D,20250127,000000,1.15,1.17,1.07,1.16,43588,0
ELPW.US,D,20250128,000000,1.13,1.1437,1.06,1.09,22506,0
ELPW.US,D,20250129,000000,1.07,1.1,1.03,1.05,65914,0
ELPW.US,D,20250130,000000,1.02,1.1864,0.99,1.098,91309,0
ELPW.US,D,20250131,000000,1.15,1.17,1.05,1.17,30745,0
ELPW.US,D,20250203,000000,1.15,1.18,1.06,1.14,25130,0
ELPW.US,D,20250204,000000,1.0756,1.15,0.9901,1.0359,212193,0
ELPW.US,D,20250205,000000,1,1.0225,0.925,0.965,409096,0
ELPW.US,D,20250206,000000,0.9522,1.01,0.9522,1.01,27276,0
ELPW.US,D,20250207,000000,0.96,1.08,0.9501,1.04,29241,0
