<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ELVR.US,D,20250902,000000,23.73,24.51,22,22.82,649874,0
ELVR.US,D,20250903,000000,21.52,23.2,21.52,22.58,611302,0
ELVR.US,D,20250904,000000,22.01,22.885,22.01,22.69,339699,0
ELVR.US,D,20250905,000000,22.76,22.88,22.12,22.35,217966,0
ELVR.US,D,20250908,000000,22.35,22.5,20.76,20.93,296705,0
ELVR.US,D,20250909,000000,20.4,20.57,19.06,19.7,264270,0
ELVR.US,D,20250910,000000,19.61,19.61,18.4,18.86,152847,0
ELVR.US,D,20250911,000000,18.51,18.6,17.34,17.38,172689,0
ELVR.US,D,20250912,000000,17.12,17.15,16.25,16.4,151402,0
ELVR.US,D,20250915,000000,16.66,16.89,15.545,16.11,126127,0
ELVR.US,D,20250916,000000,16.19,17.963,16.19,17.46,146801,0
ELVR.US,D,20250917,000000,18.22,19.25,18.06,18.55,160304,0
ELVR.US,D,20250918,000000,19.6,20.24,19.25,20.03,187684,0
ELVR.US,D,20250919,000000,20.8,22.24,20.8,21.75,206952,0
ELVR.US,D,20250922,000000,22.39,22.5,21.12,21.74,152554,0
ELVR.US,D,20250923,000000,21.6,21.89,21,21.28,149544,0
ELVR.US,D,20250924,000000,21.41,22.87,21.35,21.6,122045,0
ELVR.US,D,20250925,000000,21.7,23.44,21,23.44,186041,0
ELVR.US,D,20250926,000000,23.51,25.28,23.0533,24.1,210906,0
ELVR.US,D,20250929,000000,24.99,25,23.02,23.4,185223,0
ELVR.US,D,20250930,000000,23.48,24.12,22.2655,24.01,164303,0
ELVR.US,D,20251001,000000,23.71,23.9063,22.7552,23.305,77997,0
ELVR.US,D,20251002,000000,24,24.45,23.3601,24.14,114655,0
ELVR.US,D,20251003,000000,23.82,24.31,23.31,23.73,51739,0
ELVR.US,D,20251006,000000,24.16,24.165,23.4989,23.85,53394,0
ELVR.US,D,20251007,000000,24.15,25.78,24.07,25.135,166625,0
ELVR.US,D,20251008,000000,26,28.56,25.71,28.375,181774,0
ELVR.US,D,20251009,000000,29,29.25,28,28.26,143865,0
ELVR.US,D,20251010,000000,27.9,27.9,26.04,26.21,98360,0
ELVR.US,D,20251013,000000,27.39,28.615,26.8,28.235,124125,0
ELVR.US,D,20251014,000000,28.2,31.73,27.5,31.09,255533,0
ELVR.US,D,20251015,000000,31.99,33.355,29.83,30.04,132935,0
ELVR.US,D,20251016,000000,29.83,30.82,27.51,27.62,139819,0
ELVR.US,D,20251017,000000,27.57,28.6,26.28,26.92,110227,0
ELVR.US,D,20251020,000000,27,29.5,26.42,29.34,178039,0
ELVR.US,D,20251021,000000,29.02,29.0499,25.855,26.64,132320,0
ELVR.US,D,20251022,000000,26.2,26.87,24.56,25.64,110024,0
ELVR.US,D,20251023,000000,26.2,26.51,25.535,25.75,51069,0
ELVR.US,D,20251024,000000,26.14,26.99,25.59,26.87,70262,0
ELVR.US,D,20251027,000000,26.38,26.5,24.54,24.65,60251,0
ELVR.US,D,20251028,000000,24.5,24.87,23.7,24.08,59231,0
ELVR.US,D,20251029,000000,24.47,24.831,24.2201,24.34,34439,0
ELVR.US,D,20251030,000000,24.86,25.68,24.51,25.185,53626,0
ELVR.US,D,20251031,000000,27.45,28.5,27.35,28.25,99213,0
ELVR.US,D,20251103,000000,28.25,28.25,26.365,26.91,72185,0
ELVR.US,D,20251104,000000,28.5,29.25,27.2779,27.69,164848,0
ELVR.US,D,20251105,000000,27.45,27.45,26.45,27.02,54506,0
