<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ETS.US,D,20250821,000000,4,4.23,3.35,3.5,5297072,0
ETS.US,D,20250822,000000,3.18,3.411,1.2,1.47,12261004,0
ETS.US,D,20250825,000000,1.38,1.5,1.3,1.37,2216760,0
ETS.US,D,20250826,000000,1.34,1.34,1.24,1.28,1247474,0
ETS.US,D,20250827,000000,1.26,1.29,1.14,1.145,1421983,0
ETS.US,D,20250828,000000,1.09,1.13,1,1.02,1327984,0
ETS.US,D,20250829,000000,1.02,1.02,0.9078,0.908,967701,0
ETS.US,D,20250902,000000,0.88,0.9381,0.86,0.875,744218,0
ETS.US,D,20250903,000000,0.84,0.98,0.84,0.9525,847489,0
ETS.US,D,20250904,000000,0.9163,1.04,0.9097,0.9913,713207,0
ETS.US,D,20250905,000000,0.9837,1.02,0.93,0.9499,332460,0
ETS.US,D,20250908,000000,0.93,0.94,0.8601,0.8781,340346,0
ETS.US,D,20250909,000000,0.8859,0.8898,0.83,0.848,388644,0
ETS.US,D,20250910,000000,0.8408,1.02,0.8408,0.962,624396,0
ETS.US,D,20250911,000000,0.9596,1.03,0.94,0.969,228156,0
ETS.US,D,20250912,000000,1,1.1,0.9778,1,1013733,0
ETS.US,D,20250915,000000,1.04,1.16,1.02,1.12,1533235,0
ETS.US,D,20250916,000000,1.15,1.19,1.09,1.19,1423141,0
ETS.US,D,20250917,000000,1.19,1.21,1.1209,1.16,460517,0
ETS.US,D,20250918,000000,1.17,1.18,0.98,1.03,803311,0
ETS.US,D,20250919,000000,1.02,1.02,0.938,0.9652,421921,0
ETS.US,D,20250922,000000,0.925,0.96,0.921,0.9256,259652,0
ETS.US,D,20250923,000000,0.905,0.97,0.905,0.953399,282071,0
ETS.US,D,20250924,000000,0.9481,0.99,0.93,0.9423,191448,0
ETS.US,D,20250925,000000,0.93,0.97,0.853,0.88,255444,0
ETS.US,D,20250926,000000,0.88,0.91,0.87,0.88,118286,0
ETS.US,D,20250929,000000,0.8789,0.879999,0.84001,0.8513,162911,0
ETS.US,D,20250930,000000,0.8689,0.9056,0.85,0.86,173003,0
ETS.US,D,20251001,000000,0.8611,0.9,0.86,0.8935,107921,0
ETS.US,D,20251002,000000,0.894,0.92,0.8649,0.8902,138772,0
ETS.US,D,20251003,000000,0.879,0.897999,0.87,0.874,77186,0
ETS.US,D,20251006,000000,0.889,0.899,0.853,0.8617,192892,0
ETS.US,D,20251007,000000,0.882,0.891599,0.8358,0.8385,315760,0
ETS.US,D,20251008,000000,0.8429,0.85,0.8299,0.832,156951,0
ETS.US,D,20251009,000000,0.832,0.8498,0.82,0.8305,332413,0
ETS.US,D,20251010,000000,0.831,0.838,0.7506,0.7598,283956,0
ETS.US,D,20251013,000000,0.8,0.809,0.75,0.7665,130074,0
ETS.US,D,20251014,000000,0.778,0.8195,0.7521,0.7778,122125,0
ETS.US,D,20251015,000000,0.7901,0.8349,0.785101,0.8069,77709,0
ETS.US,D,20251016,000000,0.8074,0.8177,0.7802,0.7831,76694,0
ETS.US,D,20251017,000000,0.7731,0.7898,0.77,0.77295,60108,0
ETS.US,D,20251020,000000,0.7755,0.794001,0.7755,0.778059,30229,0
ETS.US,D,20251021,000000,0.753,0.79,0.753,0.76,50753,0
ETS.US,D,20251022,000000,0.7676,0.77,0.750001,0.7503,66236,0
ETS.US,D,20251023,000000,0.73,0.7692,0.73,0.74655,57513,0
ETS.US,D,20251024,000000,0.7301,0.75,0.72,0.74659,66588,0
ETS.US,D,20251027,000000,0.758662,0.7599,0.733,0.733,125208,0
ETS.US,D,20251028,000000,0.7302,0.7688,0.7302,0.7482,111293,0
ETS.US,D,20251029,000000,0.7325,0.7487,0.72,0.72105,111750,0
ETS.US,D,20251030,000000,0.72,0.76,0.71,0.7111,142445,0
ETS.US,D,20251031,000000,0.71,0.7299,0.7,0.715,44456,0
ETS.US,D,20251103,000000,0.7254,0.7299,0.7005,0.7174,18788,0
ETS.US,D,20251104,000000,0.7141,0.7141,0.68995,0.6904,56747,0
ETS.US,D,20251105,000000,0.696,0.696,0.6601,0.67,114681,0
