<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EZMO.US,D,20251016,000000,25.3,25.37,24.95,25.0241,28571,0
EZMO.US,D,20251017,000000,25.03,25.25,24.93,25.2036,24562,0
EZMO.US,D,20251020,000000,25.4076,25.55,25.4076,25.5125,20022,0
EZMO.US,D,20251021,000000,25.46,25.54,25.45,25.5196,12425,0
EZMO.US,D,20251022,000000,25.5,25.5,25.12,25.27,2314,0
EZMO.US,D,20251023,000000,25.3,25.52,25.3,25.4775,2306,0
EZMO.US,D,20251024,000000,25.6,25.78,25.6,25.7193,950,0
EZMO.US,D,20251027,000000,26.06,26.1386,26.01,26.1386,6775,0
EZMO.US,D,20251028,000000,26.21,26.31,26.18,26.2911,3154,0
EZMO.US,D,20251029,000000,26.41,26.41,26.26,26.3426,3479,0
EZMO.US,D,20251030,000000,26.27,26.27,26.0108,26.0108,7533,0
EZMO.US,D,20251031,000000,26.35,26.35,26.134,26.136,2200,0
EZMO.US,D,20251103,000000,26.38,26.38,26.17,26.1991,94125,0
EZMO.US,D,20251104,000000,25.91,26,25.7408,25.7408,117510,0
EZMO.US,D,20251105,000000,25.7499,26.0299,25.7499,25.98,13285,0
