<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FRMI.US,D,20251001,000000,25,33.46,24.5,32.53,41146522,0
FRMI.US,D,20251002,000000,36.09,36.9899,27.39,28.78,23635568,0
FRMI.US,D,20251003,000000,30.01,31.55,27.8,28.6,10265159,0
FRMI.US,D,20251006,000000,28.65,29.29,25.87,26.35,7894784,0
FRMI.US,D,20251007,000000,25.69,28.25,24.3,28.17,7702638,0
FRMI.US,D,20251008,000000,27.37,28.67,26.27,26.84,5094195,0
FRMI.US,D,20251009,000000,27.15,27.8417,26.05,26.77,3276252,0
FRMI.US,D,20251010,000000,27,30,26.47,29.08,8333994,0
FRMI.US,D,20251013,000000,28.11,32.39,27.8,30.01,6030848,0
FRMI.US,D,20251014,000000,29.11,30.5481,28.08,29.59,2969438,0
FRMI.US,D,20251015,000000,30.89,31,27.8001,28.5,4336581,0
FRMI.US,D,20251016,000000,28.5,31.47,28,29.66,3812691,0
FRMI.US,D,20251017,000000,28.57,28.705,26.7096,27,3402696,0
FRMI.US,D,20251020,000000,27.6,28,24.1,25.39,5350235,0
FRMI.US,D,20251021,000000,24.755,24.805,21.26,21.71,6397699,0
FRMI.US,D,20251022,000000,21.85,23.1,18.7,19.89,7741992,0
FRMI.US,D,20251023,000000,19.97,21.64,18.9,19.84,3934090,0
FRMI.US,D,20251024,000000,20.84,23.99,20.77,23.54,5343537,0
FRMI.US,D,20251027,000000,25.52,25.65,23,23.83,5154435,0
FRMI.US,D,20251028,000000,25.65,30.9,25.49,29.86,11150567,0
FRMI.US,D,20251029,000000,28.515,29.83,27.92,28.71,4110576,0
FRMI.US,D,20251030,000000,28.68,28.69,25.5,27.39,3727731,0
FRMI.US,D,20251031,000000,27.76,30.02,26.11,26.21,3048165,0
FRMI.US,D,20251103,000000,27.58,29.31,27.18,27.95,2790908,0
FRMI.US,D,20251104,000000,26.455,28.25,24.75,26.62,3284853,0
FRMI.US,D,20251105,000000,27.54,28.9,25.7,26.445,3071710,0
