<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTEL.US,D,20230808,000000,80,84.16,69.6,80.8,143667,0
FTEL.US,D,20230809,000000,52.48,57.44,43.04,43.04,46934,0
FTEL.US,D,20230810,000000,40.48,43.68,38.4,38.56,16186.6,0
FTEL.US,D,20230811,000000,32.32,42.88,32.32,40.2992,8350.18,0
FTEL.US,D,20230814,000000,39.04,40.9888,36.96,38.72,2175.68,0
FTEL.US,D,20230815,000000,37.92,50.08,35.52,47.2,16272,0
FTEL.US,D,20230816,000000,44.64,51.2,44,48.32,8123.12,0
FTEL.US,D,20230817,000000,48.32,50.8784,48,50.4,2889.81,0
FTEL.US,D,20230818,000000,46.1184,48.4784,45.12,46.88,3817,0
FTEL.US,D,20230821,000000,45.92,46.4,43.84,44.64,12394.5,0
FTEL.US,D,20230822,000000,43.36,45.6,39.52,43.6768,11300.1,0
FTEL.US,D,20230823,000000,42.88,43.52,42.2848,42.64,19590,0
FTEL.US,D,20230824,000000,40.96,44.8,36.9696,41.44,6147.81,0
FTEL.US,D,20230825,000000,39.3616,41.12,39.36,40.8,1068.06,0
FTEL.US,D,20230828,000000,40.32,43.68,38.4,43.68,313.25,0
FTEL.US,D,20230829,000000,42.72,47.52,42.4,46.3984,1261.37,0
FTEL.US,D,20230830,000000,43.2,47.5424,39.2,41.44,1728.81,0
FTEL.US,D,20230831,000000,40.64,42.88,38.24,39.3024,26000,0
FTEL.US,D,20230901,000000,39.52,41.6,38.32,38.72,35376.3,0
FTEL.US,D,20230905,000000,39.2,43.04,39.2,41.6,11081,0
FTEL.US,D,20230906,000000,40.48,44.48,40,42.72,25180.8,0
FTEL.US,D,20230907,000000,41.92,42.88,38.88,41.92,23547,0
FTEL.US,D,20230908,000000,42.4,42.4,39.84,41.6,15557.7,0
FTEL.US,D,20230911,000000,43.04,43.04,39.84,42.56,15306.7,0
FTEL.US,D,20230912,000000,45.44,47.84,41.44,47.84,3916.18,0
FTEL.US,D,20230913,000000,45.28,48,39.84,42.08,28485.6,0
FTEL.US,D,20230914,000000,40.32,42.88,39.84,41.92,8531.37,0
FTEL.US,D,20230915,000000,40.96,41.92,40.96,41.9184,127.312,0
FTEL.US,D,20230918,000000,40.48,44.48,40.48,41.6,768.75,0
FTEL.US,D,20230919,000000,40,41.76,39.6,41.76,142.625,0
FTEL.US,D,20230920,000000,40,43.2,40,42.4,546,0
FTEL.US,D,20230921,000000,39.5104,43.2,39.5104,41.5984,963.687,0
FTEL.US,D,20230922,000000,41.92,42.24,40.96,41.28,434.125,0
FTEL.US,D,20230925,000000,39.9968,40.16,37.6016,39.624,729.562,0
FTEL.US,D,20230926,000000,39.68,40.48,37.6,40.48,1134.43,0
FTEL.US,D,20230927,000000,38.4,40.96,38.24,39.36,468.5,0
FTEL.US,D,20230928,000000,39.36,42.08,38.08,39.2,1328.43,0
FTEL.US,D,20230929,000000,40.64,40.64,37.8,38.4,232.312,0
FTEL.US,D,20231002,000000,37.76,38.256,37.76,38.256,58.8125,0
FTEL.US,D,20231003,000000,38.424,40.16,37.76,37.76,767.625,0
FTEL.US,D,20231004,000000,41.5984,41.5984,39.36,39.36,149.187,0
FTEL.US,D,20231005,000000,40.8,40.8,28.88,32.48,5349.56,0
