<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FUSEW.US,D,20251023,000000,0.1416,0.3401,0.1416,0.2111,76374,0
FUSEW.US,D,20251024,000000,0.21,0.3901,0.18,0.23,299719,0
FUSEW.US,D,20251027,000000,0.22,0.25,0.15,0.1919,114248,0
FUSEW.US,D,20251028,000000,0.180003,0.2339,0.152,0.2114,173690,0
FUSEW.US,D,20251029,000000,0.202,0.25,0.17,0.2,187192,0
FUSEW.US,D,20251030,000000,0.19,0.236,0.1604,0.1851,404107,0
FUSEW.US,D,20251031,000000,0.198,0.2199,0.1872,0.2101,94478,0
FUSEW.US,D,20251103,000000,0.23,0.23,0.1956,0.202,42974,0
FUSEW.US,D,20251104,000000,0.195,0.2198,0.185,0.186,74121,0
FUSEW.US,D,20251105,000000,0.21,0.213,0.1897,0.2,56783,0
