<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GLIBA.US,D,20250711,000000,28.09,33,28,32.5,375400,0
GLIBA.US,D,20250714,000000,32.5,33.01,30.51,30.51,109100,0
GLIBA.US,D,20250715,000000,30.41,31.495,30.25,30.92,245900,0
GLIBA.US,D,20250716,000000,31.1,33.02,31,32.5,339954,0
GLIBA.US,D,20250717,000000,32.43,35.15,32.31,34.8,273308,0
GLIBA.US,D,20250718,000000,34.8,37.12,34.8,36.75,176631,0
GLIBA.US,D,20250721,000000,37,38.1,36.58,37,143991,0
GLIBA.US,D,20250722,000000,37.5,38,36.1,36.18,134140,0
GLIBA.US,D,20250723,000000,36.3,38.07,35.04,35.17,80059,0
GLIBA.US,D,20250724,000000,35.67,35.67,34.57,34.64,31019,0
GLIBA.US,D,20250725,000000,34.63,34.855,34.275,34.4,26279,0
GLIBA.US,D,20250728,000000,35.01,35.01,33.62,34.08,63062,0
GLIBA.US,D,20250729,000000,34.85,34.85,33.58,34.55,38710,0
GLIBA.US,D,20250730,000000,34.43,34.88,33.755,33.87,40812,0
GLIBA.US,D,20250731,000000,33.63,34.25,32.93,33.04,42962,0
GLIBA.US,D,20250801,000000,32.6,33.2424,32.3,32.91,35174,0
GLIBA.US,D,20250804,000000,32.91,33.22,32.47,33.21,35174,0
GLIBA.US,D,20250805,000000,32.96,33.39,32.61,32.79,26953,0
GLIBA.US,D,20250806,000000,33,34.65,32.54,34.45,53814,0
GLIBA.US,D,20250807,000000,34.5,36.56,34.5,35.96,82101,0
GLIBA.US,D,20250808,000000,35.9,36.01,35.2,35.52,69325,0
GLIBA.US,D,20250811,000000,35.44,35.44,34.16,34.71,17881,0
GLIBA.US,D,20250812,000000,34.42,34.8557,33.955,34.62,55514,0
GLIBA.US,D,20250813,000000,34.19,34.93,33.87,33.94,42225,0
GLIBA.US,D,20250814,000000,33.75,34.6958,33.65,34.28,65906,0
GLIBA.US,D,20250815,000000,34.14,34.84,33.59,34.48,106674,0
GLIBA.US,D,20250818,000000,34.26,36.4,34.26,35.97,175047,0
GLIBA.US,D,20250819,000000,35.995,36.46,35.995,36.07,56637,0
GLIBA.US,D,20250820,000000,35.83,36.95,35.68,36.54,130426,0
GLIBA.US,D,20250821,000000,36.78,38.14,36.38,37.8,87583,0
GLIBA.US,D,20250822,000000,38.33,38.58,37.8,38.485,58768,0
GLIBA.US,D,20250825,000000,38.51,38.98,37.91,38,58729,0
GLIBA.US,D,20250826,000000,38.46,38.94,37.51,37.67,101423,0
GLIBA.US,D,20250827,000000,37.11,38.785,37.11,38.295,74226,0
GLIBA.US,D,20250828,000000,38.24,38.32,37.27,38.11,55607,0
GLIBA.US,D,20250829,000000,38.21,38.21,36.88,37.33,78843,0
GLIBA.US,D,20250902,000000,37.1675,37.1675,36.44,37.09,45399,0
GLIBA.US,D,20250903,000000,36.335,37.35,36.335,37.03,58405,0
GLIBA.US,D,20250904,000000,37.2,37.9892,36.55,36.92,51986,0
GLIBA.US,D,20250905,000000,37.1,37.52,36.41,36.73,53824,0
GLIBA.US,D,20250908,000000,37.37,37.37,36.31,36.38,77909,0
GLIBA.US,D,20250909,000000,36.4,36.4,36,36.225,74068,0
GLIBA.US,D,20250910,000000,36.335,36.7,36.13,36.24,14343,0
GLIBA.US,D,20250911,000000,36.605,37.345,36.51,37.05,59783,0
GLIBA.US,D,20250912,000000,36.79,37.1,36.17,36.17,24311,0
GLIBA.US,D,20250915,000000,36,36.5,35.43,35.72,66568,0
GLIBA.US,D,20250916,000000,35.85,36.17,35.12,35.77,52006,0
GLIBA.US,D,20250917,000000,36.12,36.12,35.07,35.44,68840,0
GLIBA.US,D,20250918,000000,35.71,36.25,35.28,36.08,58014,0
GLIBA.US,D,20250919,000000,36.34,36.5,35.66,36.08,163062,0
GLIBA.US,D,20250922,000000,35.68,36.13,35.55,36.11,44363,0
GLIBA.US,D,20250923,000000,36.53,36.53,35.73,35.94,27945,0
GLIBA.US,D,20250924,000000,36.36,36.36,35.2721,36.21,36231,0
GLIBA.US,D,20250925,000000,36.23,36.23,35.21,35.5,38495,0
GLIBA.US,D,20250926,000000,35.44,36.1,35.3,35.93,71785,0
GLIBA.US,D,20250929,000000,35.98,36.4673,35.94,36.38,24121,0
GLIBA.US,D,20250930,000000,36.44,37.555,36.34,37.555,37054,0
GLIBA.US,D,20251001,000000,37.3,37.84,37.23,37.38,31095,0
GLIBA.US,D,20251002,000000,37.57,38.04,36.87,37.32,59128,0
GLIBA.US,D,20251003,000000,37.34,38.15,37.285,37.57,23492,0
GLIBA.US,D,20251006,000000,37.7,37.7,36.2,36.29,33380,0
GLIBA.US,D,20251007,000000,36.33,36.87,36.09,36.09,21104,0
GLIBA.US,D,20251008,000000,36.345,37.0199,36.08,36.84,26092,0
GLIBA.US,D,20251009,000000,36.63,37.235,36.63,36.94,42681,0
GLIBA.US,D,20251010,000000,37.16,37.16,35.96,36.08,30054,0
GLIBA.US,D,20251013,000000,36.08,36.56,35.98,36.34,25396,0
GLIBA.US,D,20251014,000000,36.02,36.71,36.02,36.35,27627,0
GLIBA.US,D,20251015,000000,36,37.61,36,37.57,26813,0
GLIBA.US,D,20251016,000000,37.01,37.02,35.93,36.13,24204,0
GLIBA.US,D,20251017,000000,36.02,36.71,35.82,36.52,32718,0
GLIBA.US,D,20251020,000000,36.88,37.39,35.865,36.28,35220,0
GLIBA.US,D,20251021,000000,36.24,36.37,35.88,36.29,55938,0
GLIBA.US,D,20251022,000000,35.99,36.54,35.76,36.38,16947,0
GLIBA.US,D,20251023,000000,36.375,36.82,36.05,36.6,50531,0
GLIBA.US,D,20251024,000000,36.47,36.62,36.07,36.18,40482,0
GLIBA.US,D,20251027,000000,36.64,37.32,35.63,36.76,44930,0
GLIBA.US,D,20251028,000000,37,37.04,36.33,36.68,38160,0
GLIBA.US,D,20251029,000000,36.605,36.805,36.24,36.36,22949,0
GLIBA.US,D,20251030,000000,36.72,36.88,36.15,36.29,24354,0
GLIBA.US,D,20251031,000000,36.45,36.65,36.23,36.57,13769,0
GLIBA.US,D,20251103,000000,36.1,36.765,35.86,36.68,34005,0
GLIBA.US,D,20251104,000000,36.39,37.55,36.02,37.02,29899,0
GLIBA.US,D,20251105,000000,36.74,37.27,34.83,35.04,89505,0
