<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GTERR.US,D,20250728,000000,0.16,0.16,0.1305,0.14,142160,0
GTERR.US,D,20250729,000000,0.13,0.14,0.13,0.14,280300,0
GTERR.US,D,20250730,000000,0.14,0.14,0.14,0.14,5000,0
GTERR.US,D,20250731,000000,0.1498,0.1498,0.1498,0.1498,1000,0
GTERR.US,D,20250801,000000,0.134999,0.139999,0.13,0.13,45501,0
GTERR.US,D,20250804,000000,0.1301,0.1301,0.13,0.13,32500,0
GTERR.US,D,20250805,000000,0.14,0.14,0.1302,0.1302,5000,0
GTERR.US,D,20250806,000000,0.14,0.14,0.13,0.14,52384,0
GTERR.US,D,20250807,000000,0.14,0.1405,0.14,0.1405,12571,0
GTERR.US,D,20250808,000000,0.135,0.135,0.135,0.135,10000,0
GTERR.US,D,20250811,000000,0.14,0.14,0.14,0.14,41758,0
GTERR.US,D,20250812,000000,0.14,0.14,0.14,0.14,22258,0
GTERR.US,D,20250814,000000,0.14,0.14,0.14,0.14,25201,0
GTERR.US,D,20250815,000000,0.14,0.14,0.14,0.14,19799,0
GTERR.US,D,20250819,000000,0.15,0.15,0.14,0.15,24451,0
GTERR.US,D,20250820,000000,0.15,0.15,0.15,0.15,227,0
GTERR.US,D,20250821,000000,0.15,0.15,0.15,0.15,570,0
GTERR.US,D,20250822,000000,0.15,0.15,0.14,0.14,37227,0
GTERR.US,D,20250826,000000,0.14,0.14,0.13,0.13,195596,0
GTERR.US,D,20250828,000000,0.1301,0.1301,0.1301,0.1301,6061,0
GTERR.US,D,20250902,000000,0.1301,0.14,0.1301,0.14,3121,0
GTERR.US,D,20250903,000000,0.13,0.13,0.13,0.13,800,0
GTERR.US,D,20250904,000000,0.1301,0.1301,0.13,0.13,7501,0
GTERR.US,D,20250905,000000,0.13,0.1301,0.13,0.1301,45000,0
GTERR.US,D,20250910,000000,0.1301,0.1301,0.1301,0.1301,10766,0
GTERR.US,D,20250912,000000,0.14,0.14,0.14,0.14,200000,0
GTERR.US,D,20250916,000000,0.14,0.14,0.14,0.14,388800,0
GTERR.US,D,20250919,000000,0.1301,0.1301,0.1,0.1301,551716,0
GTERR.US,D,20250923,000000,0.14,0.14,0.14,0.14,300,0
GTERR.US,D,20250926,000000,0.1301,0.1301,0.1301,0.1301,25000,0
GTERR.US,D,20250930,000000,0.13,0.15,0.13,0.15,10200,0
GTERR.US,D,20251002,000000,0.25,0.25,0.13,0.15,4690,0
GTERR.US,D,20251003,000000,0.16,0.16,0.16,0.16,99600,0
GTERR.US,D,20251006,000000,0.17,0.17,0.1515,0.1515,4900,0
GTERR.US,D,20251007,000000,0.1601,0.2501,0.1601,0.2501,600,0
GTERR.US,D,20251008,000000,0.1648,0.21,0.15,0.18005,29060,0
GTERR.US,D,20251009,000000,0.19,0.19,0.1501,0.19,64573,0
GTERR.US,D,20251010,000000,0.1712,0.18,0.1515,0.1515,2060,0
GTERR.US,D,20251013,000000,0.1501,0.19,0.1501,0.1658,33970,0
GTERR.US,D,20251014,000000,0.17,0.17,0.1595,0.17,11511,0
GTERR.US,D,20251015,000000,0.1819,0.182,0.16,0.165,4922,0
GTERR.US,D,20251016,000000,0.17,0.17,0.15,0.16,16395,0
GTERR.US,D,20251017,000000,0.1486,0.16,0.1486,0.1532,4945,0
GTERR.US,D,20251020,000000,0.16,0.16,0.16,0.16,992,0
GTERR.US,D,20251021,000000,0.16,0.16,0.1574,0.16,60154,0
GTERR.US,D,20251022,000000,0.155,0.16,0.155,0.16,32994,0
GTERR.US,D,20251023,000000,0.1535,0.16,0.1535,0.16,4724,0
GTERR.US,D,20251024,000000,0.16,0.1601,0.1571,0.16,55547,0
GTERR.US,D,20251027,000000,0.16,0.16,0.16,0.16,1433,0
GTERR.US,D,20251028,000000,0.16,0.17,0.16,0.17,1500,0
GTERR.US,D,20251029,000000,0.17,0.17,0.16,0.17,18040,0
GTERR.US,D,20251030,000000,0.18,0.18,0.15999,0.15999,2281,0
GTERR.US,D,20251031,000000,0.1615,0.1615,0.16,0.16,1370,0
GTERR.US,D,20251103,000000,0.16,0.1616,0.1501,0.16,3700,0
GTERR.US,D,20251104,000000,0.1501,0.1501,0.149249,0.149249,1299,0
GTERR.US,D,20251105,000000,0.1499,0.15,0.14,0.1499,3788,0
