<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GTERW.US,D,20250728,000000,0.16,0.16,0.14,0.155,132273,0
GTERW.US,D,20250729,000000,0.1599,0.16,0.1398,0.1499,201228,0
GTERW.US,D,20250730,000000,0.16,0.16,0.141025,0.1597,882,0
GTERW.US,D,20250731,000000,0.149999,0.15,0.149999,0.15,14002,0
GTERW.US,D,20250801,000000,0.1301,0.15,0.1022,0.15,35751,0
GTERW.US,D,20250805,000000,0.16,0.16,0.1591,0.1599,44185,0
GTERW.US,D,20250812,000000,0.14,0.1488,0.1399,0.1399,33137,0
GTERW.US,D,20250813,000000,0.1368,0.1368,0.1368,0.1368,1000,0
GTERW.US,D,20250814,000000,0.1368,0.1368,0.131459,0.1368,22122,0
GTERW.US,D,20250815,000000,0.15,0.15,0.15,0.15,2603,0
GTERW.US,D,20250818,000000,0.1316,0.1316,0.1316,0.1316,300,0
GTERW.US,D,20250819,000000,0.1316,0.1316,0.1316,0.1316,5000,0
GTERW.US,D,20250821,000000,0.1101,0.1391,0.1,0.13,92539,0
GTERW.US,D,20250825,000000,0.11,0.11,0.11,0.11,383,0
GTERW.US,D,20250826,000000,0.12,0.1299,0.1101,0.1299,8300,0
GTERW.US,D,20250827,000000,0.1299,0.1394,0.1299,0.1394,17200,0
GTERW.US,D,20250828,000000,0.13,0.13,0.125,0.125,2550,0
GTERW.US,D,20250829,000000,0.1221,0.1302,0.1002,0.1302,28400,0
GTERW.US,D,20250902,000000,0.1118,0.1118,0.1,0.1107,32372,0
GTERW.US,D,20250903,000000,0.1295,0.1295,0.11,0.11,21800,0
GTERW.US,D,20250904,000000,0.1119,0.1119,0.103107,0.1032,3329,0
GTERW.US,D,20250905,000000,0.109999,0.12,0.109999,0.1134,16799,0
GTERW.US,D,20250908,000000,0.12,0.125,0.1181,0.1181,10954,0
GTERW.US,D,20250910,000000,0.1299,0.1299,0.1299,0.1299,100,0
GTERW.US,D,20250911,000000,0.13,0.13,0.1294,0.1294,30179,0
GTERW.US,D,20250912,000000,0.1201,0.12505,0.1199,0.1199,3006,0
GTERW.US,D,20250916,000000,0.1198,0.1248,0.1099,0.1149,149655,0
GTERW.US,D,20250917,000000,0.12,0.12,0.1166,0.1199,3338,0
GTERW.US,D,20250918,000000,0.1299,0.13,0.1299,0.13,50400,0
GTERW.US,D,20250919,000000,0.1299,0.1338,0.1,0.131901,494214,0
GTERW.US,D,20250922,000000,0.1349,0.1399,0.116,0.1399,111794,0
GTERW.US,D,20250923,000000,0.14,0.1499,0.14,0.1499,92284,0
GTERW.US,D,20250924,000000,0.1376,0.1463,0.1376,0.1463,1688,0
GTERW.US,D,20250926,000000,0.125,0.1398,0.1201,0.1398,84797,0
GTERW.US,D,20250929,000000,0.127,0.127,0.127,0.127,574,0
GTERW.US,D,20250930,000000,0.12,0.145,0.12,0.145,18832,0
GTERW.US,D,20251001,000000,0.145,0.145,0.1449,0.1449,3645,0
GTERW.US,D,20251002,000000,0.15,0.15,0.14,0.14,4185,0
GTERW.US,D,20251003,000000,0.145,0.15,0.1315,0.1315,66410,0
GTERW.US,D,20251006,000000,0.14,0.16,0.1399,0.14,30013,0
GTERW.US,D,20251007,000000,0.1421,0.15,0.1421,0.15,13527,0
GTERW.US,D,20251008,000000,0.149998,0.24,0.1499,0.1848,187556,0
GTERW.US,D,20251009,000000,0.17,0.227,0.165,0.19,114194,0
GTERW.US,D,20251010,000000,0.17,0.219,0.165,0.185,70328,0
GTERW.US,D,20251013,000000,0.1999,0.22,0.1999,0.205,57641,0
GTERW.US,D,20251014,000000,0.1893,0.235,0.1893,0.215,54672,0
GTERW.US,D,20251015,000000,0.21,0.21,0.1872,0.1872,9300,0
GTERW.US,D,20251016,000000,0.205,0.205,0.1821,0.1886,48411,0
GTERW.US,D,20251020,000000,0.19,0.19,0.18,0.19,3482,0
GTERW.US,D,20251021,000000,0.18,0.22,0.1683,0.18,204359,0
GTERW.US,D,20251022,000000,0.17,0.1904,0.1499,0.1904,72401,0
GTERW.US,D,20251023,000000,0.19999,0.19999,0.17,0.199,13314,0
GTERW.US,D,20251024,000000,0.199,0.1993,0.185,0.1993,5562,0
GTERW.US,D,20251027,000000,0.21,0.21,0.1599,0.189,21627,0
GTERW.US,D,20251028,000000,0.16,0.1897,0.16,0.1797,5557,0
GTERW.US,D,20251029,000000,0.1879,0.2,0.1874,0.1874,118958,0
GTERW.US,D,20251030,000000,0.1512,0.19,0.15,0.19,5157,0
GTERW.US,D,20251031,000000,0.12,0.19,0.12,0.1821,19937,0
GTERW.US,D,20251103,000000,0.19,0.19,0.19,0.19,5464,0
GTERW.US,D,20251104,000000,0.19,0.19,0.19,0.19,868,0
GTERW.US,D,20251105,000000,0.1512,0.19,0.1512,0.16,592,0
