<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LBRX.US,D,20250911,000000,19,20.25,16.5,17.3,4039586,0
LBRX.US,D,20250912,000000,17.6,18.21,15.7942,16.8,458090,0
LBRX.US,D,20250915,000000,16.84,17.5,16.06,16.71,298901,0
LBRX.US,D,20250916,000000,16.05,17.145,15.335,15.78,191711,0
LBRX.US,D,20250917,000000,16.37,17.1,15.05,16.31,164098,0
LBRX.US,D,20250918,000000,16.33,16.7927,15.6501,16.02,143427,0
LBRX.US,D,20250919,000000,16.49,16.49,14.97,15.88,131054,0
LBRX.US,D,20250922,000000,15.87,16.2829,15.03,16.02,103466,0
LBRX.US,D,20250923,000000,16.02,16.02,14.3,14.9,215285,0
LBRX.US,D,20250924,000000,14.9,15.4,14.61,15,88814,0
LBRX.US,D,20250925,000000,14.64,16.12,14.6005,14.95,216494,0
LBRX.US,D,20250926,000000,14.83,15.76,13.36,15.44,131515,0
LBRX.US,D,20250929,000000,15.11,15.43,14.61,15.24,57853,0
LBRX.US,D,20250930,000000,15.14,16.01,13.4,15.79,207130,0
LBRX.US,D,20251001,000000,15.94,16.75,14.36,15.76,487539,0
LBRX.US,D,20251002,000000,15.78,16.29,14.9,15.46,399177,0
LBRX.US,D,20251003,000000,15.4,15.67,14.788,15.05,258637,0
LBRX.US,D,20251006,000000,15.32,16.56,14.65,15.14,266129,0
LBRX.US,D,20251007,000000,15.15,16.195,14.85,16.01,248890,0
LBRX.US,D,20251008,000000,16,16.3,14.92,15.04,140231,0
LBRX.US,D,20251009,000000,15.01,15.845,14.86,15.64,261023,0
LBRX.US,D,20251010,000000,15.53,16.08,14.87,15.44,159189,0
LBRX.US,D,20251013,000000,15.59,16.31,15.17,16.07,144462,0
LBRX.US,D,20251014,000000,15.96,16.34,15.0601,15.62,199554,0
LBRX.US,D,20251015,000000,15.62,16.5699,15.48,16.52,105393,0
LBRX.US,D,20251016,000000,16.76,16.76,15.33,16.4,190106,0
LBRX.US,D,20251017,000000,16.22,16.24,15.43,15.6,71272,0
LBRX.US,D,20251020,000000,15.6,16.15,15.545,16,51045,0
LBRX.US,D,20251021,000000,16,16.3,15.485,16,97049,0
LBRX.US,D,20251022,000000,16.34,16.34,15.33,15.71,61327,0
LBRX.US,D,20251023,000000,15.49,16.075,15.49,15.84,36397,0
LBRX.US,D,20251024,000000,16.04,16.95,15.07,15.97,107675,0
LBRX.US,D,20251027,000000,16,16.71,15.51,16.7,77023,0
LBRX.US,D,20251028,000000,16.49,16.775,16.08,16.57,65241,0
LBRX.US,D,20251029,000000,16.42,16.8998,15.46,15.65,53643,0
LBRX.US,D,20251030,000000,15.47,16.95,15.05,16.28,87792,0
LBRX.US,D,20251031,000000,16.18,16.76,15.96,16.13,51311,0
LBRX.US,D,20251103,000000,16.13,16.83,15.87,16.17,110345,0
LBRX.US,D,20251104,000000,15.93,16.55,15.85,16.5,115387,0
LBRX.US,D,20251105,000000,16.01,16.49,15.94,16.15,52361,0
