<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MAYA.US,D,20250307,000000,9.86,9.87,9.86,9.87,529402,0
MAYA.US,D,20250310,000000,9.86,9.88,9.86,9.88,2048,0
MAYA.US,D,20250311,000000,9.8791,9.89,9.875,9.88,28338,0
MAYA.US,D,20250312,000000,9.87,9.88,9.87,9.88,6080,0
MAYA.US,D,20250313,000000,9.88,9.88,9.87,9.88,31550,0
MAYA.US,D,20250314,000000,9.88,9.88,9.87,9.87,183235,0
MAYA.US,D,20250317,000000,9.88,9.88,9.87,9.875,147743,0
MAYA.US,D,20250318,000000,9.88,9.89,9.87,9.885,1924859,0
MAYA.US,D,20250319,000000,9.88,9.885,9.88,9.885,70448,0
MAYA.US,D,20250320,000000,9.89,9.895,9.89,9.89,124667,0
MAYA.US,D,20250321,000000,9.89,9.89,9.89,9.89,1103,0
MAYA.US,D,20250324,000000,9.9,9.9,9.89,9.9,119237,0
MAYA.US,D,20250325,000000,9.895,9.9,9.89,9.895,81079,0
MAYA.US,D,20250326,000000,9.8986,9.94,9.89,9.91,430267,0
MAYA.US,D,20250327,000000,9.9099,9.9099,9.9099,9.9099,17584,0
MAYA.US,D,20250328,000000,9.9,9.91,9.9,9.9099,330262,0
MAYA.US,D,20250331,000000,9.919,9.92,9.919,9.92,6311,0
MAYA.US,D,20250401,000000,9.9182,9.97,9.91,9.97,9840,0
MAYA.US,D,20250403,000000,9.93,9.97,9.93,9.97,64404,0
MAYA.US,D,20250404,000000,9.93,9.94,9.93,9.94,5649,0
MAYA.US,D,20250407,000000,9.95,9.95,9.91,9.92,1759,0
MAYA.US,D,20250408,000000,9.95,9.95,9.92,9.92,268,0
MAYA.US,D,20250409,000000,9.925,9.93,9.925,9.93,26924,0
MAYA.US,D,20250410,000000,9.93,9.93,9.93,9.93,701,0
MAYA.US,D,20250411,000000,9.9101,9.93,9.9101,9.93,13399,0
MAYA.US,D,20250414,000000,9.91,9.93,9.91,9.93,15500,0
MAYA.US,D,20250415,000000,9.92,9.93,9.92,9.93,76317,0
MAYA.US,D,20250416,000000,9.94,9.94,9.92,9.93,4744,0
MAYA.US,D,20250417,000000,9.96,9.96,9.95,9.95,385,0
MAYA.US,D,20250421,000000,9.94,10.13,9.93,10.13,1852,0
MAYA.US,D,20250422,000000,9.98,10.14,9.94,10.14,3635,0
MAYA.US,D,20250423,000000,10.19,10.19,9.94,10.01,1274,0
MAYA.US,D,20250424,000000,9.99,9.99,9.95,9.95,2445,0
MAYA.US,D,20250425,000000,9.9561,9.96,9.9561,9.96,10883,0
MAYA.US,D,20250428,000000,9.955,9.97,9.955,9.96,178561,0
MAYA.US,D,20250429,000000,9.97,9.98,9.96,9.97,21517,0
MAYA.US,D,20250430,000000,9.97,9.97,9.9698,9.97,9150,0
MAYA.US,D,20250501,000000,9.975,9.98,9.975,9.98,10461,0
MAYA.US,D,20250502,000000,9.98,9.985,9.98,9.985,895,0
MAYA.US,D,20250505,000000,9.98,10,9.98,10,7770,0
MAYA.US,D,20250506,000000,9.995,9.9988,9.99,9.99,7946,0
MAYA.US,D,20250507,000000,10,10,9.98,9.98,1046,0
MAYA.US,D,20250508,000000,9.99,9.99,9.99,9.99,152,0
MAYA.US,D,20250512,000000,10,10,9.9999,10,19462,0
MAYA.US,D,20250513,000000,10,10,10,10,815,0
MAYA.US,D,20250519,000000,10.01,10.03,10.01,10.03,200125,0
MAYA.US,D,20250520,000000,10.03,10.03,10.03,10.03,531,0
MAYA.US,D,20250523,000000,10.03,10.03,10.03,10.03,195,0
MAYA.US,D,20250528,000000,10.02,10.02,10.02,10.02,5017,0
MAYA.US,D,20250530,000000,10.03,10.04,10.03,10.04,3630,0
MAYA.US,D,20250602,000000,10.035,10.04,10.035,10.04,18010,0
MAYA.US,D,20250605,000000,10.06,10.06,10.05,10.05,1767,0
MAYA.US,D,20250606,000000,10.07,10.07,10.06,10.06,5254,0
MAYA.US,D,20250609,000000,10.07,10.07,10.07,10.07,5017,0
MAYA.US,D,20250612,000000,10.061,10.061,10.061,10.061,114,0
MAYA.US,D,20250616,000000,10.065,10.07,10.065,10.07,3586,0
MAYA.US,D,20250618,000000,10.07,10.07,10.07,10.07,8531,0
MAYA.US,D,20250623,000000,10.09,10.09,10.09,10.09,1301,0
MAYA.US,D,20250627,000000,10.09,10.09,10.09,10.09,3014,0
MAYA.US,D,20250702,000000,10.11,10.11,10.11,10.11,1595,0
MAYA.US,D,20250709,000000,10.12,10.12,10.12,10.12,6904,0
MAYA.US,D,20250711,000000,10.11,10.12,10.11,10.12,4741,0
MAYA.US,D,20250715,000000,10.12,10.12,10.12,10.12,501,0
MAYA.US,D,20250718,000000,10.15,10.15,10.15,10.15,100,0
MAYA.US,D,20250723,000000,10.11,10.15,10.11,10.15,1165,0
MAYA.US,D,20250725,000000,10.13,10.13,10.13,10.13,859,0
MAYA.US,D,20250728,000000,10.1628,10.1628,10.1628,10.1628,126,0
MAYA.US,D,20250731,000000,10.17,10.18,10.17,10.18,1628,0
MAYA.US,D,20250801,000000,10.13,10.15,10.13,10.15,59506,0
MAYA.US,D,20250804,000000,10.08,10.14,10.08,10.13,48750,0
MAYA.US,D,20250806,000000,10.13,10.13,10.13,10.13,1151,0
MAYA.US,D,20250807,000000,10.17,10.2,10.15,10.15,28697,0
MAYA.US,D,20250811,000000,10.145,10.15,10.145,10.15,323747,0
MAYA.US,D,20250812,000000,10.1411,10.18,10.1411,10.18,202,0
MAYA.US,D,20250813,000000,10.17,10.18,10.17,10.18,965,0
MAYA.US,D,20250814,000000,10.18,10.18,10.18,10.18,533,0
MAYA.US,D,20250819,000000,10.19,10.19,10.19,10.19,102,0
MAYA.US,D,20250820,000000,10.19,10.19,10.19,10.19,136,0
MAYA.US,D,20250821,000000,10.19,10.19,10.19,10.19,104,0
MAYA.US,D,20250825,000000,10.19,10.19,10.19,10.19,200,0
MAYA.US,D,20250826,000000,10.17,10.19,10.17,10.19,301,0
MAYA.US,D,20250828,000000,10.19,10.19,10.19,10.19,102,0
MAYA.US,D,20250829,000000,10.17,10.18,10.15,10.18,1693,0
MAYA.US,D,20250902,000000,10.15,10.18,10.15,10.18,2005,0
MAYA.US,D,20250904,000000,10.19,10.19,10.18,10.18,783,0
MAYA.US,D,20250905,000000,10.15,10.18,10.15,10.17,906,0
MAYA.US,D,20250908,000000,10.17,10.17,10.17,10.17,767,0
MAYA.US,D,20250910,000000,10.16,10.19,10.15,10.18,2844,0
MAYA.US,D,20250911,000000,10.17,10.19,10.17,10.17,1434,0
MAYA.US,D,20250912,000000,10.22,10.24,10.22,10.23,1593734,0
MAYA.US,D,20250915,000000,10.24,10.24,10.22,10.22,540,0
MAYA.US,D,20250916,000000,10.25,10.25,10.25,10.25,122,0
MAYA.US,D,20250917,000000,10.23,10.25,10.23,10.23,683460,0
MAYA.US,D,20250918,000000,10.24,10.24,10.24,10.24,577,0
MAYA.US,D,20250919,000000,10.23,10.23,10.23,10.23,3700,0
MAYA.US,D,20250922,000000,10.23,10.23,10.23,10.23,914,0
MAYA.US,D,20250923,000000,10.23,10.23,10.225,10.225,8430,0
MAYA.US,D,20250924,000000,10.25,10.25,10.225,10.23,18508,0
MAYA.US,D,20250926,000000,10.22,10.23,10.22,10.23,4995,0
MAYA.US,D,20250929,000000,10.27,10.28,10.27,10.28,12940,0
MAYA.US,D,20250930,000000,10.24,10.24,10.24,10.24,125,0
MAYA.US,D,20251002,000000,10.24,10.24,10.24,10.24,30442,0
MAYA.US,D,20251003,000000,10.24,10.25,10.24,10.25,36493,0
MAYA.US,D,20251006,000000,10.38,10.38,10.26,10.27,19192,0
MAYA.US,D,20251007,000000,10.27,10.27,10.27,10.27,2051,0
