<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MBVI.US,D,20251017,000000,10.3,10.5,10.02,10.09,99255,0
MBVI.US,D,20251020,000000,10.09,10.09,10,10.04,71178,0
MBVI.US,D,20251021,000000,10.01,10.06,10.01,10.05,66730,0
MBVI.US,D,20251022,000000,10.05,10.17,10.04,10.14,267629,0
MBVI.US,D,20251023,000000,10.11,10.14,10.1,10.14,146503,0
MBVI.US,D,20251024,000000,10.14,10.14,10.14,10.14,1428,0
MBVI.US,D,20251028,000000,10.13,10.13,10.1,10.12,149481,0
MBVI.US,D,20251029,000000,10.12,10.13,10.11,10.12,1233,0
MBVI.US,D,20251030,000000,10.09,10.1,10.09,10.1,8046,0
MBVI.US,D,20251031,000000,10.09,10.09,10.07,10.07,408374,0
MBVI.US,D,20251103,000000,10.07,10.07,10.07,10.07,8582,0
MBVI.US,D,20251104,000000,10.06,10.085,10.06,10.07,85132,0
MBVI.US,D,20251105,000000,10.0704,10.0704,10.07,10.07,506,0
