<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCGAW.US,D,20250728,000000,1.25,1.45,1.2495,1.4,86498,0
MCGAW.US,D,20250729,000000,1.35,1.36,1.32,1.32,6593,0
MCGAW.US,D,20250730,000000,1.32,1.32,1.26,1.3,48796,0
MCGAW.US,D,20250731,000000,1.3,1.3,1.25,1.2601,13716,0
MCGAW.US,D,20250801,000000,1.31,1.38,1.26,1.26,13723,0
MCGAW.US,D,20250804,000000,1.03,2,0.996,1.58,367580,0
MCGAW.US,D,20250805,000000,1.34,1.8,1.32,1.65,242488,0
MCGAW.US,D,20250806,000000,1.66,1.99,1.47,1.6,55518,0
MCGAW.US,D,20250807,000000,1.53,1.89,1.53,1.78,19112,0
MCGAW.US,D,20250808,000000,1.6,1.765,1.5,1.75,30988,0
MCGAW.US,D,20250811,000000,1.6,1.6,1.25,1.435,196735,0
MCGAW.US,D,20250812,000000,1.5064,1.8363,1.29,1.4,24994,0
MCGAW.US,D,20250813,000000,1.34,1.45,1.33,1.45,72956,0
MCGAW.US,D,20250814,000000,1.33,1.4385,1.3108,1.35,52013,0
MCGAW.US,D,20250815,000000,1.4,1.45,1.31,1.4,45676,0
MCGAW.US,D,20250818,000000,1.37,1.4,1.32,1.32,4550,0
MCGAW.US,D,20250819,000000,1.32,1.4,1.06,1.2,163478,0
MCGAW.US,D,20250820,000000,1.17,1.17,1.09,1.12,105023,0
MCGAW.US,D,20250821,000000,1.09,1.24,1.06,1.24,2586,0
MCGAW.US,D,20250822,000000,1.23,1.23,1.13,1.2285,7005,0
MCGAW.US,D,20250825,000000,1.1,1.2,1.029,1.2,135960,0
MCGAW.US,D,20250826,000000,1.48,1.49,0.99,1.08,1315671,0
MCGAW.US,D,20250827,000000,1.25,1.58,1.2,1.41,808780,0
MCGAW.US,D,20250828,000000,1.99,2,1.73,1.81,950959,0
MCGAW.US,D,20250829,000000,1.9,1.98,1.71,1.72,155542,0
MCGAW.US,D,20250902,000000,1.7,1.8,1.61,1.64,133603,0
MCGAW.US,D,20250903,000000,1.75,1.8899,1.55,1.59,170724,0
MCGAW.US,D,20250904,000000,1.58,1.67,1.35,1.4,134586,0
MCGAW.US,D,20250905,000000,1.38,1.6699,1.38,1.48,101313,0
