<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
METCI.US,D,20250801,000000,24.81,24.89,24.66,24.75,51398,0
METCI.US,D,20250804,000000,24.9,24.95,23.52,24.825,56903,0
METCI.US,D,20250805,000000,25.075,25.13,24.88,24.94,25219,0
METCI.US,D,20250806,000000,24.94,25.04,24.88,25.005,32015,0
METCI.US,D,20250807,000000,25.05,25.12,24.98,25.12,78665,0
METCI.US,D,20250808,000000,25.25,25.25,25.06,25.1,58936,0
METCI.US,D,20250811,000000,25.03,25.23,24.97,24.98,33675,0
METCI.US,D,20250812,000000,25.02,25.1,24.97,24.98,29897,0
METCI.US,D,20250813,000000,25.09,25.1,24.98,25.03,85027,0
METCI.US,D,20250814,000000,25.05,25.1,25,25.1,17700,0
METCI.US,D,20250815,000000,25.0047,25.1,25.0047,25.1,7740,0
METCI.US,D,20250818,000000,25.2,25.44,25.1458,25.44,21417,0
METCI.US,D,20250819,000000,25.48,25.48,25.125,25.35,64099,0
METCI.US,D,20250820,000000,25.39,25.4,25.25,25.4,5027,0
METCI.US,D,20250821,000000,25.3999,25.3999,25.3,25.3,5056,0
METCI.US,D,20250822,000000,25.32,25.5,25.31,25.31,4590,0
METCI.US,D,20250825,000000,25.4,25.54,25.4,25.44,6552,0
METCI.US,D,20250826,000000,25.45,25.45,25.4,25.4,7852,0
METCI.US,D,20250827,000000,25.35,25.45,25.35,25.395,2429,0
METCI.US,D,20250828,000000,25.43,25.43,25.38,25.4,2859,0
METCI.US,D,20250829,000000,25.4,25.4,25.355,25.3999,4545,0
METCI.US,D,20250902,000000,25.4,25.4,25.31,25.4,10467,0
METCI.US,D,20250903,000000,25.425,25.44,25.35,25.35,8349,0
METCI.US,D,20250904,000000,25.33,25.38,25.31,25.38,4520,0
METCI.US,D,20250905,000000,25.4123,25.5,25.38,25.5,5167,0
METCI.US,D,20250908,000000,25.5,25.5,25.45,25.4914,3469,0
METCI.US,D,20250909,000000,25.53,25.53,25.38,25.5,14114,0
METCI.US,D,20250910,000000,25.47,25.55,25.395,25.55,7796,0
METCI.US,D,20250911,000000,25.55,25.55,25.5,25.55,7483,0
METCI.US,D,20250912,000000,25.6272,25.6282,25.62,25.62,2259,0
METCI.US,D,20250915,000000,25.5,25.68,25.5,25.6109,5706,0
METCI.US,D,20250916,000000,25.695,25.74,25.67,25.67,5184,0
METCI.US,D,20250917,000000,25.7,25.7,25.58,25.58,1056,0
METCI.US,D,20250918,000000,25.58,25.6897,25.501,25.6897,5378,0
METCI.US,D,20250919,000000,25.68,25.68,25.67,25.67,1826,0
METCI.US,D,20250923,000000,25.65,25.65,25.51,25.5525,1577,0
METCI.US,D,20250924,000000,25.605,25.65,25.59,25.65,4506,0
METCI.US,D,20250925,000000,25.6499,25.65,25.625,25.65,1512,0
METCI.US,D,20250926,000000,25.615,25.65,25.55,25.65,5539,0
METCI.US,D,20250929,000000,25.5424,25.58,25.5,25.55,4089,0
METCI.US,D,20250930,000000,25.56,25.65,25.551,25.63,13914,0
METCI.US,D,20251001,000000,25.65,25.749,25.65,25.68,4697,0
METCI.US,D,20251002,000000,25.65,25.77,25.65,25.77,7354,0
METCI.US,D,20251003,000000,25.775,25.9,25.7,25.8,5874,0
METCI.US,D,20251006,000000,25.7638,25.89,25.7638,25.85,7595,0
METCI.US,D,20251007,000000,25.9599,25.9799,25.85,25.95,5437,0
METCI.US,D,20251008,000000,25.975,26.1,25.86,25.925,1907,0
METCI.US,D,20251009,000000,25.93,25.93,25.89,25.9004,755,0
METCI.US,D,20251010,000000,25.94,26.05,25.94,26.05,2632,0
METCI.US,D,20251013,000000,25.9955,26.0699,25.79,26,5871,0
METCI.US,D,20251014,000000,25.96,26,25.95,25.95,2564,0
METCI.US,D,20251015,000000,26.2,26.2,25.57,25.7,4318,0
METCI.US,D,20251016,000000,25.711,25.86,25.7,25.832,4036,0
METCI.US,D,20251017,000000,25.9293,25.9293,25.9293,25.9293,432,0
METCI.US,D,20251020,000000,25.95,25.99,25.775,25.88,2257,0
METCI.US,D,20251021,000000,25.88,25.88,25.76,25.76,2012,0
METCI.US,D,20251022,000000,25.68,25.94,25.65,25.9,16611,0
METCI.US,D,20251023,000000,25.9,25.96,25.14,25.14,70513,0
METCI.US,D,20251024,000000,25.24,25.61,25.2,25.45,119993,0
METCI.US,D,20251027,000000,25.57,25.6899,25.4,25.42,19254,0
METCI.US,D,20251028,000000,25.45,25.45,25.26,25.3,38663,0
METCI.US,D,20251029,000000,25.425,25.481,25.25,25.35,14247,0
METCI.US,D,20251030,000000,25.45,25.6,25.45,25.59,9037,0
METCI.US,D,20251031,000000,25.6,25.6,25.26,25.45,55525,0
METCI.US,D,20251103,000000,25.525,25.525,25.325,25.5,20039,0
METCI.US,D,20251104,000000,25.4695,25.48,25.45,25.45,7328,0
METCI.US,D,20251105,000000,25.45,25.46,25.435,25.435,11117,0
