<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
METL.US,D,20250910,000000,19.92,20.12,19.8864,20.1,90884,0
METL.US,D,20250911,000000,20.13,20.3794,20.095,20.2864,92127,0
METL.US,D,20250912,000000,20.4,20.4,20.02,20.09,124672,0
METL.US,D,20250915,000000,20.15,20.83,20.15,20.8221,57614,0
METL.US,D,20250916,000000,21.1,21.1,20.48,20.5413,375024,0
METL.US,D,20250917,000000,20.72,20.72,20.2,20.3917,31827,0
METL.US,D,20250918,000000,20.51,20.51,20.1501,20.435,28278,0
METL.US,D,20250919,000000,20.53,21.01,20.46,20.93,36729,0
METL.US,D,20250922,000000,21.45,21.61,20.98,21.56,94800,0
METL.US,D,20250923,000000,21.77,21.8383,21.4001,21.52,56390,0
METL.US,D,20250924,000000,21.78,21.965,21.433,21.4738,43505,0
METL.US,D,20250925,000000,21.51,21.68,21.25,21.65,62136,0
METL.US,D,20250926,000000,21.75,21.8545,21.64,21.79,38338,0
METL.US,D,20250929,000000,22.24,22.24,22,22.11,38169,0
METL.US,D,20250930,000000,22.1,22.1099,21.8031,22.0278,53171,0
METL.US,D,20251001,000000,22.16,22.34,22.12,22.1995,67651,0
METL.US,D,20251002,000000,22.63,22.63,21.8674,22.36,51175,0
METL.US,D,20251003,000000,22.55,22.7634,22.3564,22.4744,53124,0
METL.US,D,20251006,000000,22.98,23.09,22.7517,22.78,58271,0
METL.US,D,20251007,000000,23.06,23.1999,22.57,22.8151,31162,0
METL.US,D,20251008,000000,23,23.62,23,23.62,89694,0
METL.US,D,20251009,000000,24,24,22.68,23.11,52907,0
METL.US,D,20251010,000000,23.1,23.3884,22.65,22.7,40626,0
METL.US,D,20251013,000000,23.25,24.2666,23.25,24.23,53993,0
METL.US,D,20251014,000000,24.23,24.369,23.0226,24.09,69826,0
METL.US,D,20251015,000000,24.16,24.599,23.95,24.44,82185,0
METL.US,D,20251016,000000,24.69,24.69,23.95,24.53,56894,0
METL.US,D,20251017,000000,23.59,23.7,22.6816,22.89,106059,0
METL.US,D,20251020,000000,23.22,23.6186,23.1248,23.5,172751,0
METL.US,D,20251021,000000,22.97,22.97,21.8,21.85,54422,0
METL.US,D,20251022,000000,21.53,21.815,21.2511,21.7504,65819,0
METL.US,D,20251023,000000,22.01,22.21,21.9743,22.0547,74781,0
METL.US,D,20251024,000000,22.16,22.38,22.0001,22.235,32530,0
METL.US,D,20251027,000000,22.1,22.1,21.4301,21.7,54537,0
METL.US,D,20251028,000000,21.62,22.545,21.62,22.49,24414,0
METL.US,D,20251029,000000,22.82,23.1787,22.65,22.92,46676,0
METL.US,D,20251030,000000,22.93,22.998,22.5225,22.9455,30928,0
METL.US,D,20251031,000000,22.88,22.91,22.5691,22.8021,9723,0
METL.US,D,20251103,000000,22.57,22.57,22.0301,22.1209,24633,0
METL.US,D,20251104,000000,21.73,21.73,21.11,21.11,34398,0
METL.US,D,20251105,000000,21.12,21.25,21.11,21.25,13131,0
