<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MKLYR.US,D,20251002,000000,0.12,0.1614,0.1,0.16,433274,0
MKLYR.US,D,20251003,000000,0.16,0.16,0.16,0.16,10021,0
MKLYR.US,D,20251006,000000,0.165,0.18,0.16,0.18,203020,0
MKLYR.US,D,20251007,000000,0.17,0.17,0.17,0.17,11000,0
MKLYR.US,D,20251009,000000,0.1877,0.1877,0.1834,0.1835,949,0
MKLYR.US,D,20251010,000000,0.342,0.342,0.1899,0.19,1906,0
MKLYR.US,D,20251013,000000,0.174,0.174,0.174,0.174,686,0
MKLYR.US,D,20251014,000000,0.1543,0.18648,0.1501,0.17,8709,0
MKLYR.US,D,20251015,000000,0.18,0.18,0.18,0.18,15576,0
MKLYR.US,D,20251016,000000,0.18,0.2421,0.18,0.21,121477,0
MKLYR.US,D,20251017,000000,0.422,0.422,0.21,0.21,972,0
MKLYR.US,D,20251020,000000,0.24,0.35,0.21,0.239899,17264,0
MKLYR.US,D,20251021,000000,0.1725,0.2395,0.1725,0.2379,15029,0
MKLYR.US,D,20251023,000000,0.218,0.218,0.19,0.2096,37254,0
MKLYR.US,D,20251024,000000,0.23,0.23,0.23,0.23,250,0
MKLYR.US,D,20251027,000000,0.23,0.23,0.23,0.23,3316,0
MKLYR.US,D,20251028,000000,0.2155,0.23,0.2155,0.22,8065,0
MKLYR.US,D,20251029,000000,0.22,0.22,0.22,0.22,10000,0
MKLYR.US,D,20251031,000000,0.211,0.211,0.2,0.2,1886,0
MKLYR.US,D,20251105,000000,0.21,0.21,0.2,0.2,417,0
