<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NPT.US,D,20251022,000000,5.15,5.9,4.5,4.91,1679968,0
NPT.US,D,20251023,000000,4.44,5.2,4.44,5.07,143744,0
NPT.US,D,20251024,000000,4.99,5.1,4.7001,4.92,156744,0
NPT.US,D,20251027,000000,5.05,7.4999,4.87,6.37,671840,0
NPT.US,D,20251028,000000,6.43,6.78,5.53,6.55,108258,0
NPT.US,D,20251029,000000,6.11,9,6.11,8.77,325720,0
NPT.US,D,20251030,000000,8.6,9.18,7.01,7.3,225662,0
NPT.US,D,20251031,000000,6.91,7.38,5.9001,5.92,126480,0
NPT.US,D,20251103,000000,6.15,6.691,5.75,6.38,58563,0
NPT.US,D,20251104,000000,6.01,6.6293,5.7,5.7,190401,0
NPT.US,D,20251105,000000,5.29,5.56,3.5798,4.56,263065,0
