<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NTSK.US,D,20250918,000000,23,24.4,21.88,22.49,33905511,0
NTSK.US,D,20250919,000000,24.23,25.58,22.9,24.7,10167508,0
NTSK.US,D,20250922,000000,25.15,27.99,24.8687,25.79,8373970,0
NTSK.US,D,20250923,000000,26.85,27.03,23.67,24.1,6556296,0
NTSK.US,D,20250924,000000,24.43,25.2,23.24,23.38,8006207,0
NTSK.US,D,20250925,000000,22.8,23.83,21.71,22.7,3501254,0
NTSK.US,D,20250926,000000,22.98,24.23,22.42,24.23,1994866,0
NTSK.US,D,20250929,000000,24.12,24.1931,22.6,23.95,3535154,0
NTSK.US,D,20250930,000000,23.9,23.9,22.15,22.73,3596660,0
NTSK.US,D,20251001,000000,22.5,22.81,21.02,21.3,4218197,0
NTSK.US,D,20251002,000000,21.68,22.78,21.56,22.67,3196730,0
NTSK.US,D,20251003,000000,22.45,23.29,22.45,23.15,1621918,0
NTSK.US,D,20251006,000000,23.15,23.4,22.08,22.13,2117811,0
NTSK.US,D,20251007,000000,22.2,22.44,21.41,22.03,1572433,0
NTSK.US,D,20251008,000000,22.32,23.01,21.722,22.49,1719189,0
NTSK.US,D,20251009,000000,22.49,22.8,21.95,21.96,1208521,0
NTSK.US,D,20251010,000000,22.36,22.49,21,21.75,1689804,0
NTSK.US,D,20251013,000000,22.26,23.6999,22.1,23.44,3007106,0
NTSK.US,D,20251014,000000,22.84,23.0999,22.07,22.45,1369968,0
NTSK.US,D,20251015,000000,23.01,23.7,22.55,22.86,1026764,0
NTSK.US,D,20251016,000000,23.09,23.5,22.28,22.81,1060917,0
NTSK.US,D,20251017,000000,22.5,22.7499,21.55,22.24,1201719,0
NTSK.US,D,20251020,000000,22.25,22.6819,21.63,22.31,880518,0
NTSK.US,D,20251021,000000,22.29,23,21.95,22.55,979837,0
NTSK.US,D,20251022,000000,22.55,22.55,21.4,21.79,1324398,0
NTSK.US,D,20251023,000000,21.91,23.065,21.844,23,999315,0
NTSK.US,D,20251024,000000,23,23.7,22.46,22.47,2251860,0
NTSK.US,D,20251027,000000,23.05,24.15,22.915,23.99,2066290,0
NTSK.US,D,20251028,000000,23.99,24,23.23,23.3,847707,0
NTSK.US,D,20251029,000000,23.5,23.605,22.71,23.41,958167,0
NTSK.US,D,20251030,000000,23.06,23.49,22.6232,22.92,869782,0
NTSK.US,D,20251031,000000,23.18,24.05,22.966,23.64,1422679,0
NTSK.US,D,20251103,000000,23.86,24.98,23.52,24.26,2791606,0
NTSK.US,D,20251104,000000,23.5,23.58,22,22.03,1499188,0
NTSK.US,D,20251105,000000,22.29,22.76,21.8,22.74,1273544,0
