<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OSCX.US,D,20250925,000000,18.69,19.5,18.19,19.0094,8675,0
OSCX.US,D,20250926,000000,19.42,19.8687,18.9,19.804,30758,0
OSCX.US,D,20250929,000000,20.65,22.0502,19.6,21.4235,83466,0
OSCX.US,D,20250930,000000,22.755,22.755,19.9314,20.93,67632,0
OSCX.US,D,20251001,000000,21.04,23.12,20.2,20.8409,74945,0
OSCX.US,D,20251002,000000,21.78,23.15,20.69,21.75,127768,0
OSCX.US,D,20251003,000000,23.12,27.11,22.99,27.008,198205,0
OSCX.US,D,20251006,000000,27.77,28.6108,25.55,28.6108,165125,0
OSCX.US,D,20251007,000000,31.97,32.26,28.8317,28.9237,181310,0
OSCX.US,D,20251008,000000,29.88,29.88,26.14,27.2656,187753,0
OSCX.US,D,20251009,000000,27.8,28,24.1082,24.15,193296,0
OSCX.US,D,20251010,000000,24.91,25.56,19.7069,19.9613,307169,0
OSCX.US,D,20251013,000000,20.56,23.4677,20.17,23.2831,254252,0
OSCX.US,D,20251014,000000,21.11,26.75,21.11,24.1814,276418,0
OSCX.US,D,20251015,000000,23.58,24.155,21.6,23.85,245437,0
OSCX.US,D,20251016,000000,24.09,27.6467,23,24.62,293314,0
OSCX.US,D,20251017,000000,22.99,23.65,19.6914,20.6588,197765,0
OSCX.US,D,20251020,000000,21.37,23.54,21,22.5137,189827,0
OSCX.US,D,20251021,000000,22,26.26,21.88,26.0768,272681,0
OSCX.US,D,20251022,000000,25.42,25.4799,21.26,22.592,227210,0
OSCX.US,D,20251023,000000,20.43,21.03,18.18,20.89,435369,0
OSCX.US,D,20251024,000000,21.55,22.658,20,20.24,166396,0
OSCX.US,D,20251027,000000,20.48,21,20.1139,20.9256,76783,0
OSCX.US,D,20251028,000000,21.63,21.9,20.4973,20.7709,98546,0
OSCX.US,D,20251029,000000,20.925,21.55,19.29,19.315,138870,0
OSCX.US,D,20251030,000000,18.97,19.21,17.495,17.8,180519,0
OSCX.US,D,20251031,000000,17.69,18.0516,16.85,17.4388,119395,0
OSCX.US,D,20251103,000000,17,17.29,15.9001,16.8836,153867,0
OSCX.US,D,20251104,000000,15.76,17.23,15.76,15.8408,97423,0
OSCX.US,D,20251105,000000,15.7,16.27,15.16,15.6,158478,0
