<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OUSTW.US,D,20241224,000000,0.03,0.0325,0.021,0.03,24220,0
OUSTW.US,D,20241226,000000,0.025,0.035,0.025,0.035,14671,0
OUSTW.US,D,20241227,000000,0.036,0.0898,0.0211,0.0797,248657,0
OUSTW.US,D,20241230,000000,0.3383,0.3383,0.0731,0.1,196743,0
OUSTW.US,D,20241231,000000,0.07,0.0842,0.0515,0.06,55725,0
OUSTW.US,D,20250102,000000,0.0505,0.0577,0.0401,0.0559,18137,0
OUSTW.US,D,20250103,000000,0.06,0.06,0.0339,0.06,85878,0
OUSTW.US,D,20250106,000000,0.055,0.1,0.055,0.0891,28187,0
OUSTW.US,D,20250107,000000,0.1,0.1098,0.0761,0.089,70820,0
OUSTW.US,D,20250108,000000,0.0554,0.07,0.055001,0.0685,15654,0
OUSTW.US,D,20250110,000000,0.0684,0.0684,0.056,0.0561,15247,0
OUSTW.US,D,20250113,000000,0.056,0.09,0.035,0.0594,15402,0
OUSTW.US,D,20250114,000000,0.051,0.051,0.0486,0.049,3957,0
OUSTW.US,D,20250115,000000,0.05678,0.05678,0.021,0.0404,70796,0
OUSTW.US,D,20250116,000000,0.06,0.07,0.055,0.06,47699,0
OUSTW.US,D,20250117,000000,0.048,0.0648,0.048,0.048,18253,0
OUSTW.US,D,20250121,000000,0.05,0.0598,0.05,0.0598,26172,0
OUSTW.US,D,20250122,000000,0.0594,0.0598,0.0294,0.0351,39195,0
OUSTW.US,D,20250123,000000,0.03675,0.046,0.0262,0.0302,15829,0
OUSTW.US,D,20250124,000000,0.0301,0.04,0.0241,0.0336,29822,0
OUSTW.US,D,20250127,000000,0.0303,0.035001,0.03,0.035001,1969,0
OUSTW.US,D,20250128,000000,0.0301,0.030101,0.03,0.030101,1843,0
OUSTW.US,D,20250129,000000,0.0304,0.035051,0.0301,0.0302,3884,0
OUSTW.US,D,20250130,000000,0.0303,0.0303,0.0303,0.0303,101,0
OUSTW.US,D,20250131,000000,0.0301,0.0456,0.0301,0.0301,29733,0
OUSTW.US,D,20250203,000000,0.0301,0.0446,0.0301,0.0446,25560,0
OUSTW.US,D,20250204,000000,0.045,0.0501,0.0315,0.0315,26191,0
OUSTW.US,D,20250205,000000,0.0393,0.0393,0.0393,0.0393,12695,0
OUSTW.US,D,20250206,000000,0.099,0.099,0.0511,0.0724,185096,0
OUSTW.US,D,20250207,000000,0.0724,0.08,0.04,0.0601,56028,0
OUSTW.US,D,20250210,000000,0.05,0.062001,0.041,0.05,57938,0
OUSTW.US,D,20250211,000000,0.0427,0.0481,0.0401,0.0481,21118,0
OUSTW.US,D,20250212,000000,0.0401,0.0471,0.0401,0.0412,35491,0
OUSTW.US,D,20250213,000000,0.043799,0.0465,0.043799,0.0465,5496,0
OUSTW.US,D,20250214,000000,0.0402,0.045561,0.032,0.0446,97174,0
OUSTW.US,D,20250218,000000,0.0461,0.0461,0.0288,0.035,10492,0
OUSTW.US,D,20250219,000000,0.031,0.0451,0.031,0.0396,4923,0
OUSTW.US,D,20250220,000000,0.0345,0.0428,0.0345,0.0424,18212,0
OUSTW.US,D,20250221,000000,0.0344,0.0413,0.034,0.0413,4819,0
OUSTW.US,D,20250224,000000,0.0315,0.041,0.0315,0.0331,30251,0
OUSTW.US,D,20250225,000000,0.0271,0.037151,0.0271,0.031,12307,0
OUSTW.US,D,20250226,000000,0.033951,0.033951,0.0212,0.0293,40817,0
OUSTW.US,D,20250227,000000,0.0219,0.027,0.0217,0.0221,7438,0
OUSTW.US,D,20250228,000000,0.0253,0.0253,0.0253,0.0253,2135,0
OUSTW.US,D,20250303,000000,0.0221,0.029,0.0221,0.027,5892,0
OUSTW.US,D,20250304,000000,0.025,0.026212,0.025,0.026212,2640,0
OUSTW.US,D,20250305,000000,0.0211,0.0289,0.0211,0.0289,21000,0
OUSTW.US,D,20250306,000000,0.0202,0.0285,0.0202,0.0284,10071,0
OUSTW.US,D,20250307,000000,0.0283,0.033,0.0283,0.029,23865,0
OUSTW.US,D,20250310,000000,0.0284,0.032,0.0284,0.032,10099,0
OUSTW.US,D,20250311,000000,0.0287,0.04,0.0287,0.04,2533,0
OUSTW.US,D,20250312,000000,0.0325,0.035,0.0205,0.035,47163,0
OUSTW.US,D,20250313,000000,0.0232,0.024,0.023,0.024,1615,0
OUSTW.US,D,20250314,000000,0.0242,0.0289,0.024,0.0289,3577,0
OUSTW.US,D,20250317,000000,0.0264,0.0363,0.0252,0.0252,9059,0
OUSTW.US,D,20250319,000000,0.0255,0.0401,0.0255,0.04,17653,0
OUSTW.US,D,20250320,000000,0.0255,0.034,0.0255,0.0309,21343,0
OUSTW.US,D,20250321,000000,0.027918,0.0578,0.027918,0.035,45695,0
OUSTW.US,D,20250324,000000,0.0456,0.0456,0.033,0.0394,21999,0
OUSTW.US,D,20250325,000000,0.0394,0.0394,0.035,0.0351,43828,0
OUSTW.US,D,20250326,000000,0.035,0.0504,0.035,0.0458,11952,0
OUSTW.US,D,20250327,000000,0.0352,0.04,0.0352,0.04,7408,0
OUSTW.US,D,20250328,000000,0.0351,0.0361,0.0313,0.0349,22492,0
OUSTW.US,D,20250331,000000,0.029301,0.0294,0.0293,0.0293,4651,0
OUSTW.US,D,20250401,000000,0.0293,0.0317,0.028,0.028,16750,0
OUSTW.US,D,20250402,000000,0.0282,0.0283,0.028,0.0282,1133,0
OUSTW.US,D,20250403,000000,0.028,0.035,0.025,0.035,33222,0
OUSTW.US,D,20250404,000000,0.0264,0.030701,0.00955,0.0229,89394,0
OUSTW.US,D,20250407,000000,0.013,0.021799,0.01,0.0208,52335,0
OUSTW.US,D,20250408,000000,0.012,0.012,0.012,0.012,518,0
