<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OWLS.US,D,20251016,000000,68,90,18.4031,55.55,222328,0
OWLS.US,D,20251017,000000,35,43.2,27.12,39.5,189799,0
OWLS.US,D,20251020,000000,35.42,36.54,27.5,28.8,125170,0
OWLS.US,D,20251021,000000,28.45,29,19.0001,19.5,265142,0
OWLS.US,D,20251022,000000,19,19,8.15,9.52,1206688,0
OWLS.US,D,20251023,000000,9.48,10.92,7.48,10.68,1260770,0
OWLS.US,D,20251024,000000,10.3,13.6,10,12.6,943870,0
OWLS.US,D,20251027,000000,13.5,13.89,11.3,11.75,377797,0
OWLS.US,D,20251028,000000,11.1,11.7,10.925,11.09,153496,0
OWLS.US,D,20251029,000000,10.5,10.82,9.6,9.79,255755,0
OWLS.US,D,20251030,000000,9.9,9.9,8.2,9.255,181447,0
OWLS.US,D,20251031,000000,9,10.05,9,9.95,107495,0
OWLS.US,D,20251103,000000,9.79,9.9499,9.2,9.42,54278,0
OWLS.US,D,20251104,000000,9.35,9.35,8.5,8.82,131222,0
OWLS.US,D,20251105,000000,9.05,9.75,8.92,9.61,105152,0
