<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PACH.US,D,20250818,000000,9.98,9.98,9.955,9.96,743318,0
PACH.US,D,20250819,000000,9.96,9.97,9.96,9.96,714775,0
PACH.US,D,20250820,000000,9.95,9.95,9.95,9.95,27288,0
PACH.US,D,20250821,000000,9.95,9.95,9.95,9.95,425337,0
PACH.US,D,20250822,000000,9.95,9.955,9.95,9.95,152289,0
PACH.US,D,20250825,000000,9.95,9.95,9.94,9.95,598301,0
PACH.US,D,20250826,000000,9.95,9.95,9.95,9.95,506,0
PACH.US,D,20250827,000000,9.9554,9.9554,9.95,9.95,52202,0
PACH.US,D,20250828,000000,9.95,9.96,9.95,9.9585,102876,0
PACH.US,D,20250829,000000,9.9585,9.96,9.95,9.955,85301,0
PACH.US,D,20250902,000000,9.955,9.96,9.95,9.96,49220,0
PACH.US,D,20250903,000000,9.95,9.96,9.95,9.96,422756,0
PACH.US,D,20250904,000000,9.955,9.96,9.955,9.955,4605,0
PACH.US,D,20250905,000000,9.9545,9.9545,9.95,9.95,3085,0
PACH.US,D,20250908,000000,9.955,9.955,9.95,9.955,1025,0
PACH.US,D,20250909,000000,9.95,9.95,9.945,9.945,32873,0
PACH.US,D,20250910,000000,9.96,9.96,9.94,9.94,23356,0
PACH.US,D,20250911,000000,9.95,9.95,9.94,9.95,7240,0
PACH.US,D,20250912,000000,9.95,9.95,9.94,9.945,6443,0
PACH.US,D,20250915,000000,9.96,9.96,9.94,9.95,163410,0
PACH.US,D,20250916,000000,9.951,9.951,9.95,9.95,1396,0
PACH.US,D,20250917,000000,9.95,9.95,9.95,9.95,122,0
PACH.US,D,20250918,000000,9.955,9.955,9.94,9.95,56907,0
PACH.US,D,20250919,000000,9.95,9.95,9.95,9.95,62671,0
PACH.US,D,20250922,000000,9.95,9.95,9.95,9.95,1602,0
PACH.US,D,20250923,000000,9.95,9.97,9.95,9.965,72056,0
PACH.US,D,20250924,000000,9.96,9.96,9.96,9.96,2736,0
PACH.US,D,20250925,000000,9.96,9.965,9.9599,9.96,59098,0
PACH.US,D,20250926,000000,9.96,9.965,9.96,9.96,11407,0
PACH.US,D,20250929,000000,9.96,9.96,9.96,9.96,171980,0
PACH.US,D,20251001,000000,9.96,9.965,9.96,9.96,105545,0
PACH.US,D,20251002,000000,9.96,9.96,9.96,9.96,334,0
PACH.US,D,20251003,000000,9.97,9.97,9.96,9.965,52620,0
PACH.US,D,20251006,000000,9.9608,9.97,9.96,9.97,24652,0
PACH.US,D,20251007,000000,9.97,9.97,9.97,9.97,20787,0
PACH.US,D,20251008,000000,9.98,9.985,9.97,9.98,468407,0
PACH.US,D,20251009,000000,9.96,9.99,9.96,9.985,52881,0
PACH.US,D,20251010,000000,9.98,9.98,9.98,9.98,10034,0
PACH.US,D,20251013,000000,9.99,9.995,9.99,9.99,350614,0
PACH.US,D,20251014,000000,9.99,10.02,9.97,10.02,49984,0
PACH.US,D,20251015,000000,10,10.02,10,10.01,30431,0
PACH.US,D,20251016,000000,10,10.0174,10,10,8858,0
PACH.US,D,20251017,000000,10,10.005,9.99,10.005,8739,0
PACH.US,D,20251020,000000,10,10.015,9.995,10.015,16279,0
PACH.US,D,20251021,000000,10.0118,10.04,10.0118,10.04,18046,0
PACH.US,D,20251022,000000,10.02,10.03,10.02,10.03,10410,0
PACH.US,D,20251023,000000,10.02,10.03,10.0195,10.03,2338,0
PACH.US,D,20251024,000000,10.0135,10.05,10.01,10.01,552,0
PACH.US,D,20251027,000000,10.049,10.05,10.02,10.05,469246,0
PACH.US,D,20251028,000000,10.03,10.04,10.03,10.03,51018,0
PACH.US,D,20251029,000000,10.035,10.035,10.035,10.035,194,0
PACH.US,D,20251030,000000,10.03,10.03,10.03,10.03,15331,0
PACH.US,D,20251031,000000,10.03,10.04,10.03,10.03,39703,0
PACH.US,D,20251103,000000,10.05,10.05,10.03,10.03,14737,0
PACH.US,D,20251104,000000,10.05,10.08,10.05,10.08,164797,0
PACH.US,D,20251105,000000,10.09,10.11,10.09,10.11,68125,0
