<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCAPU.US,D,20250521,000000,10.9,11.2,10.6,10.7,11441854,0
PCAPU.US,D,20250522,000000,10.94,10.94,10.77,10.79,1606967,0
PCAPU.US,D,20250523,000000,10.84,10.85,10.66,10.72,685706,0
PCAPU.US,D,20250527,000000,10.83,10.8304,10.71,10.73,460358,0
PCAPU.US,D,20250528,000000,10.76,10.77,10.61,10.7,189846,0
PCAPU.US,D,20250529,000000,10.7,10.7,10.62,10.63,94127,0
PCAPU.US,D,20250530,000000,10.6381,10.71,10.61,10.71,123863,0
PCAPU.US,D,20250602,000000,10.75,10.83,10.67,10.83,391667,0
PCAPU.US,D,20250603,000000,10.83,11.04,10.815,11.01,1220841,0
PCAPU.US,D,20250604,000000,11.01,11.04,10.9,10.91,276716,0
PCAPU.US,D,20250605,000000,10.9,11.095,10.9,11.05,1272307,0
PCAPU.US,D,20250606,000000,11.05,11.205,11.05,11.17,983947,0
PCAPU.US,D,20250609,000000,11.22,11.35,11.22,11.29,318812,0
PCAPU.US,D,20250610,000000,11.35,11.3899,11.25,11.3,160747,0
PCAPU.US,D,20250611,000000,11.35,11.35,11.28,11.3,267119,0
PCAPU.US,D,20250612,000000,11.102,11.35,11.102,11.275,33043,0
PCAPU.US,D,20250613,000000,11.42,11.71,11.33,11.53,482237,0
PCAPU.US,D,20250616,000000,11.6,11.7,11.38,11.59,180895,0
PCAPU.US,D,20250617,000000,11.6,11.775,11.6,11.75,489338,0
PCAPU.US,D,20250618,000000,11.7085,11.85,11.7,11.85,199028,0
PCAPU.US,D,20250620,000000,12,12.275,11.775,11.92,332704,0
PCAPU.US,D,20250623,000000,11.66,11.7,11.0225,11.27,756660,0
PCAPU.US,D,20250624,000000,11.29,11.4,11.16,11.21,236325,0
PCAPU.US,D,20250625,000000,11.2,11.2,10.7,10.77,776032,0
PCAPU.US,D,20250626,000000,10.7,10.8,10.62,10.69,1508692,0
PCAPU.US,D,20250627,000000,10.7,10.76,10.62,10.75,71801,0
PCAPU.US,D,20250630,000000,10.8,10.8,10.67,10.72,73891,0
PCAPU.US,D,20250701,000000,10.62,10.83,10.62,10.65,276922,0
PCAPU.US,D,20250702,000000,10.65,10.6991,10.5,10.58,313968,0
PCAPU.US,D,20250703,000000,10.525,10.6283,10.525,10.595,11781,0
PCAPU.US,D,20250707,000000,10.51,10.61,10.47,10.55,888002,0
PCAPU.US,D,20250708,000000,10.62,10.64,10.47,10.54,111275,0
PCAPU.US,D,20250709,000000,10.62,10.62,10.5,10.55,167655,0
PCAPU.US,D,20250710,000000,10.58,10.69,10.5,10.62,121500,0
PCAPU.US,D,20250711,000000,10.66,10.77,10.65,10.7,39839,0
PCAPU.US,D,20250714,000000,10.84,10.84,10.47,10.625,139503,0
