<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PELIR.US,D,20250612,000000,0.18,0.185,0.16,0.16,841711,0
PELIR.US,D,20250613,000000,0.16,0.16,0.16,0.16,401000,0
PELIR.US,D,20250616,000000,0.18,0.18,0.1798,0.1798,2000,0
PELIR.US,D,20250617,000000,0.1622,0.172,0.16,0.16,7100,0
PELIR.US,D,20250618,000000,0.15,0.17,0.1499,0.17,401745,0
PELIR.US,D,20250620,000000,0.16,0.18,0.16,0.18,103738,0
PELIR.US,D,20250623,000000,0.1674,0.18,0.165,0.18,54965,0
PELIR.US,D,20250624,000000,0.24,0.2496,0.2199,0.22,492438,0
PELIR.US,D,20250625,000000,0.25,0.25,0.1703,0.2,76063,0
PELIR.US,D,20250626,000000,0.208,0.208,0.1598,0.19,32104,0
PELIR.US,D,20250627,000000,0.2,0.2,0.19,0.19,345,0
PELIR.US,D,20250630,000000,0.19,0.19,0.19,0.19,5073,0
PELIR.US,D,20250701,000000,0.16,0.2,0.13,0.1658,46769,0
PELIR.US,D,20250702,000000,0.17,0.18,0.17,0.1799,7510,0
PELIR.US,D,20250703,000000,0.18,0.18,0.18,0.18,325,0
PELIR.US,D,20250708,000000,0.17,0.1775,0.17,0.175,45409,0
PELIR.US,D,20250709,000000,0.155,0.175,0.1549,0.175,1303,0
PELIR.US,D,20250710,000000,0.165,0.17,0.154,0.169,24900,0
PELIR.US,D,20250711,000000,0.17,0.17,0.16,0.16,6004,0
PELIR.US,D,20250715,000000,0.175,0.175,0.1601,0.1601,547,0
PELIR.US,D,20250716,000000,0.169,0.169,0.169,0.169,5300,0
PELIR.US,D,20250717,000000,0.1637,0.168,0.15,0.15,33300,0
PELIR.US,D,20250718,000000,0.15,0.17,0.15,0.17,4194,0
PELIR.US,D,20250721,000000,0.156625,0.16,0.156625,0.16,2409,0
PELIR.US,D,20250722,000000,0.175,0.175,0.1699,0.1699,2798,0
PELIR.US,D,20250723,000000,0.175,0.175,0.17,0.17,6098,0
PELIR.US,D,20250724,000000,0.18,0.18,0.17,0.17,37389,0
PELIR.US,D,20250725,000000,0.17,0.17,0.169,0.169,2853,0
PELIR.US,D,20250728,000000,0.17,0.17,0.17,0.17,565,0
PELIR.US,D,20250729,000000,0.15,0.154,0.15,0.154,2114,0
PELIR.US,D,20250730,000000,0.15,0.15,0.149,0.15,73456,0
PELIR.US,D,20250731,000000,0.16,0.175,0.16,0.169999,22881,0
PELIR.US,D,20250801,000000,0.15,0.15,0.15,0.15,1218,0
PELIR.US,D,20250804,000000,0.174,0.174,0.16,0.17,798,0
PELIR.US,D,20250805,000000,0.17,0.18,0.15,0.15,65895,0
PELIR.US,D,20250806,000000,0.1799,0.1799,0.1799,0.1799,223,0
PELIR.US,D,20250808,000000,0.18,0.18,0.18,0.18,27485,0
PELIR.US,D,20250811,000000,0.1675,0.185,0.1675,0.1849,1090,0
PELIR.US,D,20250814,000000,0.184988,0.185,0.1799,0.1799,21098,0
PELIR.US,D,20250815,000000,0.19,0.19,0.18,0.18,4901,0
PELIR.US,D,20250818,000000,0.19,0.19,0.1805,0.1805,11133,0
PELIR.US,D,20250819,000000,0.1938,0.195,0.1938,0.195,301,0
PELIR.US,D,20250825,000000,0.159,0.17,0.152,0.152,671,0
PELIR.US,D,20250826,000000,0.15,0.16,0.15,0.16,3203,0
PELIR.US,D,20250827,000000,0.15,0.155,0.15,0.15,3197,0
PELIR.US,D,20250828,000000,0.145,0.145,0.145,0.145,215,0
PELIR.US,D,20250829,000000,0.1301,0.1301,0.1301,0.1301,600,0
PELIR.US,D,20250902,000000,0.1429,0.154,0.14,0.154,8829,0
PELIR.US,D,20250903,000000,0.15,0.15,0.15,0.15,35488,0
PELIR.US,D,20250904,000000,0.14,0.1475,0.1399,0.145,62728,0
PELIR.US,D,20250908,000000,0.15,0.18,0.14005,0.17,435802,0
PELIR.US,D,20250909,000000,0.18,0.18,0.1701,0.1799,52841,0
PELIR.US,D,20250910,000000,0.24,0.2499,0.22,0.23,351641,0
PELIR.US,D,20250911,000000,0.23,0.2491,0.23,0.24,57309,0
PELIR.US,D,20250912,000000,0.22,0.245,0.22,0.24,48751,0
PELIR.US,D,20250915,000000,0.23,0.2371,0.23,0.23,51936,0
PELIR.US,D,20250916,000000,0.229,0.23,0.229,0.23,1000,0
PELIR.US,D,20250917,000000,0.23,0.25,0.23,0.242,54572,0
PELIR.US,D,20250918,000000,0.2235,0.2846,0.2235,0.2671,121491,0
PELIR.US,D,20250919,000000,0.26,0.26,0.25,0.25,23000,0
PELIR.US,D,20250922,000000,0.2606,0.2717,0.2606,0.27,5413,0
PELIR.US,D,20250924,000000,0.26,0.27,0.26,0.27,7000,0
PELIR.US,D,20251001,000000,0.27,0.28,0.255,0.28,50082,0
PELIR.US,D,20251002,000000,0.27,0.27,0.27,0.27,692,0
PELIR.US,D,20251003,000000,0.25,0.2551,0.25,0.2551,2100,0
PELIR.US,D,20251006,000000,0.268,0.2999,0.268,0.2899,159851,0
PELIR.US,D,20251007,000000,0.28,0.3,0.26,0.27,44392,0
PELIR.US,D,20251008,000000,0.2792,0.2792,0.26,0.26,22358,0
PELIR.US,D,20251009,000000,0.2401,0.25,0.24,0.25,25998,0
PELIR.US,D,20251010,000000,0.27,0.28,0.241,0.26,133092,0
PELIR.US,D,20251015,000000,0.2631,0.2632,0.241,0.2499,12256,0
