<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLTS.US,D,20250919,000000,4.6,8.17,4.6,7.13,5236288,0
PLTS.US,D,20250922,000000,12.67,16.42,8.5,11.12,6097326,0
PLTS.US,D,20250923,000000,11.11,11.13,8.6,11.13,727782,0
PLTS.US,D,20250924,000000,10.75,12.1,9.5,12.05,401671,0
PLTS.US,D,20250925,000000,11.07,14.25,11.0001,11.85,206510,0
PLTS.US,D,20250926,000000,11.01,19.5,11.01,17.1,949404,0
PLTS.US,D,20250929,000000,16.02,18.5,13.83,14.79,333883,0
PLTS.US,D,20250930,000000,14.01,16.07,14.01,15.79,1323380,0
PLTS.US,D,20251001,000000,16.13,16.3,15.6,16.2,306039,0
PLTS.US,D,20251002,000000,16.25,17.42,16.25,17.02,228606,0
PLTS.US,D,20251003,000000,17,18.18,16.75,17.5,1184160,0
