<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
POM.US,D,20251008,000000,4.5,5.0399,3.47,4.03,6989300,0
POM.US,D,20251009,000000,3.9,4.88,3.9,4.77,1568100,0
POM.US,D,20251010,000000,4.89,4.8908,4.11,4.35,3203900,0
POM.US,D,20251013,000000,4.57,4.57,4.07,4.4,3172157,0
POM.US,D,20251014,000000,4.45,4.7,4.37,4.7,2844869,0
POM.US,D,20251015,000000,4.7,4.7,4.2,4.64,6280636,0
POM.US,D,20251016,000000,4.64,4.66,4.31,4.41,2546212,0
POM.US,D,20251017,000000,4.4,4.4,3.8701,4.18,604894,0
POM.US,D,20251020,000000,4.18,4.3,4.18,4.28,250184,0
POM.US,D,20251021,000000,4.22,4.39,4.09,4.3,5143987,0
POM.US,D,20251022,000000,4.4,4.55,4.24,4.38,4910401,0
POM.US,D,20251023,000000,4.5,4.68,4.42,4.61,3764084,0
POM.US,D,20251024,000000,4.71,4.7394,4.35,4.64,1646168,0
POM.US,D,20251027,000000,4.6,4.7,4.4,4.7,2403966,0
POM.US,D,20251028,000000,4.7,4.8325,4.43,4.82,2526587,0
POM.US,D,20251029,000000,4.82,4.94,4.7,4.93,1809304,0
POM.US,D,20251030,000000,5,5.45,5,5.45,7867223,0
POM.US,D,20251031,000000,5.45,5.525,5.21,5.41,1489187,0
POM.US,D,20251103,000000,5.36,5.67,5.2508,5.63,1496103,0
POM.US,D,20251104,000000,5.63,5.88,5.51,5.79,4626061,0
POM.US,D,20251105,000000,5.9,6.13,5.8,6.0998,3262721,0
