<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PTNM.US,D,20250530,000000,4.51,5.14,3.6,3.8,5701477,0
PTNM.US,D,20250602,000000,3.74,4.34,3.52,4.05,478835,0
PTNM.US,D,20250603,000000,4.05,4.9,4.05,4.69,667072,0
PTNM.US,D,20250604,000000,5.07,7.1999,4.7,5.28,3448280,0
PTNM.US,D,20250605,000000,5.27,5.6,5.1,5.56,1858404,0
PTNM.US,D,20250606,000000,5.5,5.85,5.2,5.63,2329237,0
PTNM.US,D,20250609,000000,5.6,6.28,5.59,6.01,2417757,0
PTNM.US,D,20250610,000000,6.01,6.23,5.15,5.57,3325772,0
PTNM.US,D,20250611,000000,5.7,5.85,5.5,5.77,491453,0
PTNM.US,D,20250612,000000,5.7,5.85,5.4,5.85,296124,0
PTNM.US,D,20250613,000000,5.76,6,5.652,5.95,555978,0
PTNM.US,D,20250616,000000,5.9,6,5.73,6,969732,0
PTNM.US,D,20250617,000000,6.15,6.6,6.15,6.58,2738306,0
PTNM.US,D,20250618,000000,6.49,6.95,6.4,6.85,2209025,0
PTNM.US,D,20250620,000000,6.85,7.36,6.75,7.34,1092573,0
PTNM.US,D,20250623,000000,7.25,7.38,6.8,7.2,659425,0
PTNM.US,D,20250624,000000,7.12,7.42,7,7.25,1442928,0
PTNM.US,D,20250625,000000,7.26,7.65,7.1,7.18,866573,0
PTNM.US,D,20250626,000000,7.48,8,6.6071,6.95,1964176,0
PTNM.US,D,20250627,000000,7.02,7.9,6.89,7.79,714048,0
PTNM.US,D,20250630,000000,7.57,7.78,7.31,7.31,213037,0
PTNM.US,D,20250701,000000,7.77,8.68,7.68,8.68,1905925,0
PTNM.US,D,20250702,000000,8.68,8.84,8.37,8.76,1364733,0
PTNM.US,D,20250703,000000,8.4,8.6425,8.002,8.5,240600,0
PTNM.US,D,20250707,000000,8.5,9.18,8.5,8.75,831834,0
PTNM.US,D,20250708,000000,9,9.2,8.72,9.04,1956666,0
PTNM.US,D,20250709,000000,9.08,9.181,8.9,9.1,513465,0
PTNM.US,D,20250710,000000,8.6,9.14,6.88,9.01,1896104,0
PTNM.US,D,20250711,000000,9,10.5494,8.88,10.22,1745705,0
PTNM.US,D,20250714,000000,9.42,10.5,8.32,9.505,2326625,0
PTNM.US,D,20250715,000000,9.4,14,9.25,13.97,1486040,0
PTNM.US,D,20250716,000000,14,14.79,12,13.41,754217,0
PTNM.US,D,20250717,000000,12.42,12.54,4.5,6.61,2344330,0
PTNM.US,D,20250718,000000,6.3,6.3935,1.25,2.13,4618255,0
PTNM.US,D,20250721,000000,2.05,2.16,1.8507,2.03,1000653,0
PTNM.US,D,20250722,000000,1.96,2.1195,1.85,1.99,668881,0
PTNM.US,D,20250723,000000,1.96,2.1799,1.9,1.9,443811,0
PTNM.US,D,20250724,000000,1.91,2.1,1.9,1.9,281543,0
PTNM.US,D,20250725,000000,1.9,1.97,1.7,1.88,192388,0
PTNM.US,D,20250728,000000,1.86,1.89,1.77,1.77,105178,0
PTNM.US,D,20250729,000000,1.74,1.77,1.25,1.32,420013,0
PTNM.US,D,20250730,000000,1.43,1.58,1.33,1.33,232159,0
PTNM.US,D,20250731,000000,1.35,1.45,1.1501,1.16,351923,0
PTNM.US,D,20250801,000000,1.17,1.1999,1.05,1.18,117843,0
PTNM.US,D,20250804,000000,1.15,1.28,1.15,1.27,123132,0
PTNM.US,D,20250805,000000,1.19,1.3,1.17,1.25,100809,0
PTNM.US,D,20250806,000000,1.12,1.24,1.12,1.22,84238,0
PTNM.US,D,20250807,000000,1.23,1.2397,1.15,1.16,59814,0
PTNM.US,D,20250808,000000,1.15,1.19,1.08,1.09,104547,0
PTNM.US,D,20250811,000000,1.08,1.1618,1.08,1.13,53571,0
PTNM.US,D,20250812,000000,1.12,1.22,1.1141,1.17,89962,0
PTNM.US,D,20250813,000000,1.1,1.1896,1.01,1.14,51049,0
PTNM.US,D,20250814,000000,1.15,1.15,1.07,1.09,31561,0
PTNM.US,D,20250815,000000,1.02,1.1244,1.02,1.11,41408,0
PTNM.US,D,20250818,000000,1.05,1.1417,1.05,1.06,59899,0
PTNM.US,D,20250819,000000,1.04,1.13,1.03,1.03,56424,0
PTNM.US,D,20250820,000000,1.03,1.07,1.03,1.04,43811,0
PTNM.US,D,20250821,000000,1.03,1.06,1.02,1.06,73726,0
PTNM.US,D,20250822,000000,1.03,1.06,1.02,1.05,35070,0
PTNM.US,D,20250825,000000,1.05,1.0599,0.98,0.98,80897,0
PTNM.US,D,20250826,000000,1,1.01,0.98,0.991,46598,0
PTNM.US,D,20250827,000000,1.32,1.8199,1.15,1.61,52525381,0
PTNM.US,D,20250828,000000,1.66,2.4,1.65,2.13,10795180,0
PTNM.US,D,20250829,000000,2.2,2.2,1.7185,1.78,774563,0
PTNM.US,D,20250902,000000,1.95,2.18,1.92,1.99,666421,0
PTNM.US,D,20250903,000000,2,2.11,1.9201,2.01,351393,0
PTNM.US,D,20250904,000000,2,2.29,2,2.15,839603,0
PTNM.US,D,20250905,000000,2.21,2.37,2.1939,2.35,526088,0
PTNM.US,D,20250908,000000,2.4,2.77,2.33,2.74,628166,0
PTNM.US,D,20250909,000000,2.8,5.76,2.8,4.53,26785342,0
PTNM.US,D,20250910,000000,5.28,8.2,5.27,7.93,14122817,0
PTNM.US,D,20250911,000000,8.96,9,5.2,6.5,3909987,0
PTNM.US,D,20250912,000000,5.97,6.43,5.85,5.97,656625,0
PTNM.US,D,20250915,000000,6.21,7.7,6.21,7.24,1347524,0
PTNM.US,D,20250916,000000,7.49,7.7399,7.01,7.25,381332,0
PTNM.US,D,20250917,000000,7.47,7.89,6.85,7.37,617874,0
PTNM.US,D,20250918,000000,7.37,7.94,7.2,7.8,530335,0
PTNM.US,D,20250919,000000,7.95,8,7.03,7.55,373500,0
PTNM.US,D,20250922,000000,7.7,8,7.08,7.77,2524254,0
PTNM.US,D,20250923,000000,8,8.4,7.72,8.39,1896268,0
PTNM.US,D,20250924,000000,8.2,8.86,8.11,8.61,1028758,0
PTNM.US,D,20250925,000000,8.8,11.8386,8.66,11.38,3371025,0
PTNM.US,D,20250926,000000,11.7,11.84,8.65,9.74,1225168,0
PTNM.US,D,20250929,000000,10.65,11.699,10,11.36,2005353,0
PTNM.US,D,20250930,000000,11.6,12.23,11.2,12.23,1637004,0
PTNM.US,D,20251001,000000,12.23,12.54,11.74,12.38,665704,0
PTNM.US,D,20251002,000000,12.15,12.49,11.82,12.12,810275,0
PTNM.US,D,20251003,000000,11.9,12.0915,9.8,10.39,1490634,0
