<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RBNE.US,D,20250411,000000,1.32,24.65,1.32,8.5,41232,0
RBNE.US,D,20250414,000000,14.99,16.2564,5.31,5.8,140321,0
RBNE.US,D,20250415,000000,6,6.5291,3.95,4.6,126579,0
RBNE.US,D,20250416,000000,4.45,4.45,3.52,3.52,127978,0
RBNE.US,D,20250417,000000,3.5,3.74,2.81,3.66,108722,0
RBNE.US,D,20250421,000000,3.6,3.68,3.1665,3.57,66701,0
RBNE.US,D,20250422,000000,3.38,3.65,3,3.1868,47257,0
RBNE.US,D,20250423,000000,3.18,3.3328,2.905,3,20649,0
RBNE.US,D,20250424,000000,3.09,3.4,2.9302,3.2491,146014,0
RBNE.US,D,20250425,000000,3.25,3.37,2.8,2.9,87677,0
RBNE.US,D,20250428,000000,2.89,3.0875,2.84,3.0102,7437,0
RBNE.US,D,20250429,000000,2.9,2.9,2.53,2.7445,58553,0
RBNE.US,D,20250430,000000,2.67,2.9,2.67,2.72,8859,0
RBNE.US,D,20250501,000000,2.92,2.92,2.62,2.62,6193,0
RBNE.US,D,20250502,000000,2.59,2.7277,2.408,2.49,14151,0
RBNE.US,D,20250505,000000,2.57,2.7325,2.42,2.43,13874,0
RBNE.US,D,20250506,000000,2.41,2.5718,2.39,2.39,11041,0
RBNE.US,D,20250507,000000,2.52,2.52,2.38,2.38,4453,0
RBNE.US,D,20250508,000000,2.47,2.96,2.425,2.84,82327,0
RBNE.US,D,20250509,000000,2.84,3.3,2.82,2.82,50049,0
RBNE.US,D,20250512,000000,2.84,3.2,2.84,2.96,20126,0
RBNE.US,D,20250513,000000,3.01,3.17,2.7601,2.8237,31257,0
RBNE.US,D,20250514,000000,2.8,3,2.76,2.83,11516,0
RBNE.US,D,20250515,000000,2.72,2.83,2.61,2.79,15716,0
RBNE.US,D,20250516,000000,2.65,2.7731,2.56,2.6636,8607,0
RBNE.US,D,20250519,000000,2.61,2.63,2.53,2.6082,21225,0
RBNE.US,D,20250520,000000,2.55,2.73,2.55,2.69,13298,0
RBNE.US,D,20250521,000000,2.73,2.8905,2.7,2.81,10210,0
RBNE.US,D,20250522,000000,2.76,2.8884,2.7504,2.78,4051,0
RBNE.US,D,20250523,000000,2.78,2.7999,2.6581,2.735,3861,0
RBNE.US,D,20250527,000000,2.82,2.87,2.67,2.67,18292,0
RBNE.US,D,20250528,000000,2.7,2.86,2.6787,2.7218,4657,0
RBNE.US,D,20250529,000000,2.65,2.7724,2.65,2.7724,1811,0
RBNE.US,D,20250530,000000,2.74,2.75,2.62,2.74,7822,0
RBNE.US,D,20250602,000000,2.71,2.79,2.6,2.6,33558,0
RBNE.US,D,20250603,000000,2.65,2.7839,2.62,2.7,19156,0
RBNE.US,D,20250604,000000,2.75,2.7937,2.6218,2.68,7242,0
RBNE.US,D,20250605,000000,2.7875,2.8442,2.65,2.75,19963,0
RBNE.US,D,20250606,000000,2.72,2.86,2.72,2.75,3016,0
RBNE.US,D,20250609,000000,2.83,2.86,2.72,2.8439,7972,0
RBNE.US,D,20250610,000000,2.8,2.86,2.7367,2.84,4483,0
RBNE.US,D,20250611,000000,2.81,3.19,2.769,3.07,53086,0
RBNE.US,D,20250612,000000,3.2,3.6,2.8801,3.35,294863,0
RBNE.US,D,20250613,000000,11.65,20.5699,10.8001,14,101812847,0
RBNE.US,D,20250616,000000,7.4,7.4,5.2646,5.52,5814255,0
RBNE.US,D,20250617,000000,6.97,14.49,6.7,10.59,45440015,0
RBNE.US,D,20250618,000000,8.23,10.1,7.51,8.73,11401932,0
RBNE.US,D,20250620,000000,6.56,7,5.65,6.12,5028495,0
RBNE.US,D,20250623,000000,7.98,8.43,6.25,6.7,15844439,0
RBNE.US,D,20250624,000000,4.9,5.25,4.55,4.85,2704812,0
RBNE.US,D,20250625,000000,3.5,4.4,3,3.7,5234168,0
RBNE.US,D,20250626,000000,3.67,3.99,3.53,3.66,1124400,0
RBNE.US,D,20250627,000000,3.6,3.78,3.31,3.35,960237,0
RBNE.US,D,20250630,000000,3.25,3.57,3,3,1093029,0
RBNE.US,D,20250701,000000,3.05,3.26,3.01,3.01,549339,0
RBNE.US,D,20250702,000000,3.02,3.24,3.01,3.15,608245,0
RBNE.US,D,20250703,000000,3.18,3.3,3.03,3.05,466862,0
RBNE.US,D,20250707,000000,3.08,3.1388,2.79,2.79,982210,0
RBNE.US,D,20250708,000000,2.84,3.015,2.7101,2.73,561159,0
RBNE.US,D,20250709,000000,2.77,3.05,2.73,2.79,689203,0
RBNE.US,D,20250710,000000,2.88,3.1999,2.82,2.94,858088,0
RBNE.US,D,20250711,000000,3.05,3.19,2.95,3.12,762001,0
RBNE.US,D,20250714,000000,3.4,3.71,3.1343,3.21,3055496,0
RBNE.US,D,20250715,000000,3.18,3.3,3.11,3.22,617038,0
RBNE.US,D,20250716,000000,3.16,3.3994,3.1111,3.27,542187,0
RBNE.US,D,20250717,000000,3.28,3.3,3.12,3.23,539720,0
RBNE.US,D,20250718,000000,3.24,3.35,3.1,3.34,448559,0
RBNE.US,D,20250721,000000,3.34,3.5163,3.22,3.27,345530,0
RBNE.US,D,20250722,000000,3.16,3.203,3.05,3.07,305931,0
RBNE.US,D,20250723,000000,3.12,3.205,3.09,3.14,227656,0
RBNE.US,D,20250724,000000,3.19,3.19,3.05,3.17,417100,0
RBNE.US,D,20250725,000000,3.07,3.13,3.04,3.08,102343,0
RBNE.US,D,20250728,000000,3.03,3.09,2.8701,2.98,155514,0
RBNE.US,D,20250729,000000,2.95,3.08,2.88,3.07,349914,0
RBNE.US,D,20250730,000000,3.07,3.07,2.85,2.87,252925,0
RBNE.US,D,20250731,000000,2.89,3.6987,2.3901,2.47,3591498,0
RBNE.US,D,20250801,000000,2.46,2.5,2.39,2.5,314696,0
RBNE.US,D,20250804,000000,2.49,2.49,2.32,2.4,288748,0
RBNE.US,D,20250805,000000,2.5,2.56,1.85,1.94,985529,0
RBNE.US,D,20250806,000000,2.07,2.08,1.67,1.73,1641223,0
RBNE.US,D,20250807,000000,1.71,1.78,1.6299,1.74,427256,0
RBNE.US,D,20250808,000000,1.68,1.87,1.6564,1.86,352753,0
RBNE.US,D,20250811,000000,1.94,2.03,1.89,1.89,270414,0
RBNE.US,D,20250812,000000,1.87,1.9,1.8,1.89,148223,0
RBNE.US,D,20250813,000000,1.84,2.0599,1.83,2.03,217816,0
RBNE.US,D,20250814,000000,1.98,2.0426,1.93,1.96,109881,0
RBNE.US,D,20250815,000000,1.96,2.05,1.91,1.98,137641,0
RBNE.US,D,20250818,000000,2.02,2.1792,2,2.05,265757,0
RBNE.US,D,20250819,000000,2.01,2.08,1.87,1.89,183499,0
RBNE.US,D,20250820,000000,1.87,1.89,1.81,1.86,93880,0
RBNE.US,D,20250821,000000,1.87,1.93,1.81,1.93,62006,0
RBNE.US,D,20250822,000000,1.94,2.04,1.92,1.99,110638,0
RBNE.US,D,20250825,000000,1.99,2.07,1.94,1.98,126975,0
RBNE.US,D,20250826,000000,2.02,2.0414,1.98,2,61329,0
RBNE.US,D,20250827,000000,1.97,1.99,1.95,1.98,47868,0
RBNE.US,D,20250828,000000,2,2,1.95,1.95,58165,0
RBNE.US,D,20250829,000000,1.95,1.99,1.91,1.97,73788,0
RBNE.US,D,20250902,000000,1.95,1.96,1.875,1.89,73958,0
RBNE.US,D,20250903,000000,1.92,1.9415,1.88,1.89,86861,0
RBNE.US,D,20250904,000000,1.89,1.93,1.82,1.9,74217,0
RBNE.US,D,20250905,000000,1.92,1.92,1.87,1.88,44387,0
RBNE.US,D,20250908,000000,1.88,1.88,1.815,1.845,100591,0
RBNE.US,D,20250909,000000,1.83,2,1.82,1.9,183406,0
RBNE.US,D,20250910,000000,3.64,4.99,2.16,2.3,63430033,0
RBNE.US,D,20250911,000000,1.385,1.49,1.3203,1.43,15420383,0
RBNE.US,D,20250912,000000,1.48,1.48,1.36,1.36,3047671,0
RBNE.US,D,20250915,000000,1.34,1.362,1.23,1.28,2059054,0
RBNE.US,D,20250916,000000,1.26,1.34,1.26,1.31,1078643,0
RBNE.US,D,20250917,000000,1.3,1.33,1.29,1.32,859259,0
RBNE.US,D,20250918,000000,1.29,1.33,1.29,1.31,710652,0
RBNE.US,D,20250919,000000,1.33,1.33,1.29,1.33,673445,0
