<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEV.US,D,20251016,000000,19.99,22.43,3.55,8,3478194,0
SEV.US,D,20251017,000000,7.79,7.85,5.05,5.84,1493674,0
SEV.US,D,20251020,000000,6.04,6.05,5.06,5.28,670114,0
SEV.US,D,20251021,000000,5.29,5.5637,5.1,5.52,353212,0
SEV.US,D,20251022,000000,5.87,7,5.27,6.87,1649076,0
SEV.US,D,20251023,000000,7.2,10.95,6.95,10.84,2771016,0
SEV.US,D,20251024,000000,9.2,11.235,8.65,8.85,1086196,0
SEV.US,D,20251027,000000,9.1,9.99,7.5,7.79,520956,0
SEV.US,D,20251028,000000,8.64,8.64,6.63,7.18,479479,0
SEV.US,D,20251029,000000,7.73,7.73,7,7.14,210544,0
SEV.US,D,20251030,000000,7.15,7.335,6.75,6.94,177957,0
SEV.US,D,20251031,000000,6.89,7.55,6.8,7.55,216305,0
SEV.US,D,20251103,000000,7.76,8.24,7.125,7.62,176906,0
SEV.US,D,20251104,000000,7.6,7.68,7.15,7.52,87022,0
SEV.US,D,20251105,000000,7.66,8.4499,7.4414,8.35,152101,0
