<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SOCA.US,D,20250905,000000,9.96,10,9.96,9.96,501735,0
SOCA.US,D,20250908,000000,9.96,9.96,9.945,9.945,1425,0
SOCA.US,D,20250909,000000,9.94,9.96,9.94,9.96,850084,0
SOCA.US,D,20250910,000000,9.97,9.975,9.97,9.97,31264,0
SOCA.US,D,20250911,000000,9.97,9.97,9.96,9.97,699442,0
SOCA.US,D,20250912,000000,9.97,9.98,9.96,9.96,675237,0
SOCA.US,D,20250915,000000,9.97,9.98,9.96,9.96,76090,0
SOCA.US,D,20250916,000000,9.97,9.98,9.96,9.96,217180,0
SOCA.US,D,20250917,000000,9.97,9.98,9.97,9.97,83897,0
SOCA.US,D,20250918,000000,9.97,9.99,9.97,9.98,1871,0
SOCA.US,D,20250919,000000,9.97,9.99,9.97,9.99,140417,0
SOCA.US,D,20250922,000000,9.98,9.98,9.98,9.98,754,0
SOCA.US,D,20250923,000000,9.99,9.99,9.99,9.99,20699,0
SOCA.US,D,20250924,000000,9.99,10,9.98,10,105543,0
SOCA.US,D,20250925,000000,10.03,10.05,9.98,10.05,34241,0
SOCA.US,D,20250926,000000,9.99,10,9.99,10,5616,0
SOCA.US,D,20250929,000000,10.04,10.04,9.98,9.98,368,0
SOCA.US,D,20250930,000000,10.03,10.03,9.96,9.96,967,0
SOCA.US,D,20251001,000000,9.99,10.04,9.99,9.99,3134,0
SOCA.US,D,20251002,000000,9.99,10.03,9.99,10.03,4508,0
SOCA.US,D,20251003,000000,9.99,10.04,9.98,9.99,41281,0
SOCA.US,D,20251006,000000,9.98,10.03,9.98,10.03,854,0
SOCA.US,D,20251007,000000,10.03,10.03,10.03,10.03,107,0
SOCA.US,D,20251008,000000,10,10.015,10,10,518406,0
SOCA.US,D,20251010,000000,10.01,10.01,10,10,64484,0
SOCA.US,D,20251013,000000,10,10.01,10,10.01,90065,0
SOCA.US,D,20251015,000000,10.05,10.13,10.04,10.05,28465,0
SOCA.US,D,20251016,000000,10.04,10.09,10.04,10.09,150448,0
SOCA.US,D,20251017,000000,10.09,10.09,10.09,10.09,475,0
SOCA.US,D,20251021,000000,10.09,10.1,10.04,10.1,12285,0
SOCA.US,D,20251022,000000,10.08,10.08,10.08,10.08,221,0
SOCA.US,D,20251023,000000,10.02,10.03,10.01,10.02,2497,0
SOCA.US,D,20251029,000000,10.05,10.05,10.05,10.05,443,0
SOCA.US,D,20251030,000000,10.06,10.06,10.06,10.06,100025,0
SOCA.US,D,20251103,000000,10.06,10.06,10.06,10.06,1498,0
SOCA.US,D,20251104,000000,10.06,10.11,10.06,10.11,105218,0
SOCA.US,D,20251105,000000,10.11,10.15,10.11,10.13,159304,0
