<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SSEA.US,D,20251002,000000,10,10,9.93,9.93,169796,0
SSEA.US,D,20251003,000000,9.93,9.945,9.93,9.945,86503,0
SSEA.US,D,20251006,000000,9.94,9.95,9.94,9.95,341719,0
SSEA.US,D,20251007,000000,9.94,9.95,9.94,9.95,133758,0
SSEA.US,D,20251008,000000,9.95,9.96,9.95,9.95,994906,0
SSEA.US,D,20251009,000000,10,10,9.96,9.96,3533,0
SSEA.US,D,20251013,000000,9.97,9.98,9.96,9.97,435411,0
SSEA.US,D,20251014,000000,9.97,9.98,9.96,9.98,232200,0
SSEA.US,D,20251015,000000,9.97,9.99,9.97,9.97,5868,0
SSEA.US,D,20251016,000000,9.97,9.98,9.97,9.97,39043,0
SSEA.US,D,20251017,000000,9.98,9.99,9.98,9.99,154029,0
SSEA.US,D,20251020,000000,9.96,9.99,9.96,9.98,3809,0
SSEA.US,D,20251021,000000,9.97,9.98,9.97,9.98,2443,0
SSEA.US,D,20251022,000000,9.98,9.98,9.98,9.98,198,0
SSEA.US,D,20251023,000000,9.98,9.98,9.98,9.98,87978,0
SSEA.US,D,20251024,000000,9.98,9.98,9.98,9.98,112001,0
SSEA.US,D,20251027,000000,9.98,9.98,9.97,9.97,48190,0
SSEA.US,D,20251028,000000,9.97,9.975,9.97,9.97,52037,0
SSEA.US,D,20251029,000000,9.96,9.96,9.96,9.96,146,0
SSEA.US,D,20251030,000000,10,10,9.98,9.98,61270,0
SSEA.US,D,20251031,000000,9.99,9.99,9.99,9.99,128,0
SSEA.US,D,20251103,000000,9.98,9.98,9.98,9.98,223,0
SSEA.US,D,20251104,000000,9.99,9.99,9.99,9.99,20029,0
