<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TLNCU.US,D,20250909,000000,9.98,10,9.98,10,8123205,0
TLNCU.US,D,20250910,000000,9.99,10.01,9.99,9.99,293641,0
TLNCU.US,D,20250911,000000,10.01,10.01,9.99,10.01,250601,0
TLNCU.US,D,20250912,000000,9.99,10.01,9.99,9.995,161453,0
TLNCU.US,D,20250915,000000,10,10.02,9.995,10.02,5938,0
TLNCU.US,D,20250916,000000,10,10.01,9.9974,10,12698,0
TLNCU.US,D,20250917,000000,10.02,10.02,10.01,10.01,2002,0
TLNCU.US,D,20250918,000000,10.01,10.03,10.01,10.03,5589,0
TLNCU.US,D,20250919,000000,10.04,10.04,10.02,10.03,97868,0
TLNCU.US,D,20250922,000000,10.015,10.03,10.015,10.0199,5565,0
TLNCU.US,D,20250923,000000,10.03,10.5,10.02,10.05,23995,0
TLNCU.US,D,20250924,000000,11.04,11.04,10.03,10.05,14462,0
TLNCU.US,D,20250925,000000,10.05,10.05,10.03,10.05,102210,0
TLNCU.US,D,20250926,000000,10.03,10.07,10.03,10.07,2032,0
TLNCU.US,D,20250929,000000,10.09,10.09,10.03,10.03,5997,0
TLNCU.US,D,20250930,000000,10.05,10.05,10.03,10.0488,4106,0
TLNCU.US,D,20251001,000000,10.03,10.06,10.03,10.06,1256,0
TLNCU.US,D,20251002,000000,10.03,10.0618,10.03,10.045,78444,0
TLNCU.US,D,20251003,000000,10.04,10.0546,10.03,10.03,113091,0
TLNCU.US,D,20251006,000000,10.03,10.05,10.02,10.03,137472,0
TLNCU.US,D,20251007,000000,10.02,10.03,10.02,10.03,21028,0
TLNCU.US,D,20251008,000000,10.0223,10.0307,10.01,10.03,107142,0
TLNCU.US,D,20251009,000000,10.15,10.15,10.06,10.13,596197,0
TLNCU.US,D,20251010,000000,10.11,10.11,10.1,10.1,5373,0
TLNCU.US,D,20251013,000000,10.1199,10.15,10.1199,10.15,220749,0
TLNCU.US,D,20251014,000000,10.2,10.2,10.2,10.2,375,0
TLNCU.US,D,20251015,000000,10.15,10.28,10.15,10.25,4461,0
TLNCU.US,D,20251016,000000,10.285,10.35,10.23,10.24,8697,0
TLNCU.US,D,20251017,000000,10.36,10.36,10.23,10.23,2470,0
TLNCU.US,D,20251020,000000,10.33,10.36,10.33,10.33,1751,0
TLNCU.US,D,20251021,000000,10.3,10.3,10.3,10.3,263,0
TLNCU.US,D,20251022,000000,10.24,10.32,10.24,10.2645,590,0
TLNCU.US,D,20251023,000000,10.23,10.32,10.2,10.32,6135,0
TLNCU.US,D,20251027,000000,10.2617,10.32,10.2617,10.32,386,0
TLNCU.US,D,20251028,000000,10.22,10.22,10.22,10.22,492,0
TLNCU.US,D,20251029,000000,10.36,10.36,10.36,10.36,1056,0
TLNCU.US,D,20251103,000000,10.25,10.25,10.25,10.25,891,0
TLNCU.US,D,20251104,000000,10.26,10.33,10.26,10.32,3115,0
TLNCU.US,D,20251105,000000,10.4146,10.4146,10.3513,10.3513,303,0
