<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRIL.US,D,20251001,000000,20.04,20.24,19.97,20.1906,14668,0
TRIL.US,D,20251002,000000,20.51,20.51,20.1931,20.1931,8585,0
TRIL.US,D,20251003,000000,20.43,20.43,20.12,20.1369,6919,0
TRIL.US,D,20251006,000000,20.37,20.4,20.225,20.38,6224,0
TRIL.US,D,20251007,000000,20.2935,20.31,20.1381,20.1381,2567,0
TRIL.US,D,20251008,000000,20.38,20.38,20.1709,20.3345,1664,0
TRIL.US,D,20251009,000000,20.29,20.31,20.17,20.31,13638,0
TRIL.US,D,20251010,000000,20.51,20.51,19.5313,19.5313,10108,0
TRIL.US,D,20251013,000000,20.06,20.06,19.82,20.0297,3414,0
TRIL.US,D,20251014,000000,19.7,19.7515,19.6299,19.7515,1189,0
TRIL.US,D,20251015,000000,19.74,20.01,19.74,19.8571,4149,0
TRIL.US,D,20251016,000000,19.94,19.96,19.6,19.74,1557,0
TRIL.US,D,20251017,000000,19.61,19.8454,19.61,19.8454,1026,0
TRIL.US,D,20251020,000000,20.04,20.14,20.04,20.1392,1344,0
TRIL.US,D,20251021,000000,20.11,20.13,20.06,20.0883,4437,0
TRIL.US,D,20251022,000000,20.01,20.01,19.78,19.9032,955,0
TRIL.US,D,20251023,000000,19.835,20.095,19.835,20.095,3032,0
TRIL.US,D,20251024,000000,20.24,20.275,20.24,20.2547,4564,0
TRIL.US,D,20251027,000000,20.6,20.7259,20.59,20.7259,1942,0
TRIL.US,D,20251028,000000,20.88,20.99,20.794,20.9483,12252,0
TRIL.US,D,20251029,000000,21.27,21.27,20.954,21.0753,21247,0
TRIL.US,D,20251030,000000,20.65,20.74,20.5337,20.5337,1806,0
TRIL.US,D,20251031,000000,20.75,20.7668,20.7278,20.7361,1443,0
TRIL.US,D,20251103,000000,20.8884,20.9,20.7603,20.7603,4878,0
TRIL.US,D,20251104,000000,20.64,20.65,20.3327,20.3327,2150,0
TRIL.US,D,20251105,000000,20.3635,20.64,20.3635,20.64,993,0
