<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VNMEW.US,D,20250825,000000,0.2,0.2,0.17,0.19,291100,0
VNMEW.US,D,20250826,000000,0.18,0.18,0.17,0.176,389700,0
VNMEW.US,D,20250827,000000,0.2,0.2,0.2,0.2,28200,0
VNMEW.US,D,20250828,000000,0.2,0.22,0.2,0.2099,501,0
VNMEW.US,D,20250902,000000,0.194999,0.194999,0.18,0.18,22264,0
VNMEW.US,D,20250903,000000,0.19,0.19,0.19,0.19,408,0
VNMEW.US,D,20250904,000000,0.19,0.19,0.173601,0.185,201200,0
VNMEW.US,D,20250905,000000,0.19,0.19,0.1757,0.19,210564,0
VNMEW.US,D,20250908,000000,0.19,0.194,0.19,0.194,47536,0
VNMEW.US,D,20250909,000000,0.2,0.2,0.198,0.1997,35728,0
VNMEW.US,D,20250910,000000,0.2,0.2,0.1801,0.1801,32300,0
VNMEW.US,D,20250911,000000,0.1801,0.1802,0.18,0.1801,193500,0
VNMEW.US,D,20250912,000000,0.18,0.1801,0.18,0.1801,6000,0
VNMEW.US,D,20250915,000000,0.1801,0.1801,0.18,0.18,8000,0
VNMEW.US,D,20250917,000000,0.17945,0.17945,0.17945,0.17945,800,0
VNMEW.US,D,20250918,000000,0.19,0.19,0.19,0.19,1500,0
VNMEW.US,D,20250919,000000,0.18,0.1801,0.18,0.18,7842,0
VNMEW.US,D,20250923,000000,0.1801,0.212,0.17,0.212,254903,0
VNMEW.US,D,20250924,000000,0.2,0.2,0.2,0.2,317,0
VNMEW.US,D,20250925,000000,0.2,0.208,0.2,0.208,26275,0
VNMEW.US,D,20250926,000000,0.2,0.2,0.1999,0.1999,1998,0
VNMEW.US,D,20250929,000000,0.1954,0.202,0.1954,0.2,14599,0
VNMEW.US,D,20251003,000000,0.1913,0.1913,0.1913,0.1913,100,0
VNMEW.US,D,20251008,000000,0.2,0.214,0.2,0.2139,108066,0
VNMEW.US,D,20251009,000000,0.214,0.238,0.2102,0.2104,46073,0
VNMEW.US,D,20251013,000000,0.225,0.242,0.225,0.242,15400,0
VNMEW.US,D,20251014,000000,0.2396,0.244,0.2396,0.244,872,0
VNMEW.US,D,20251015,000000,0.2514,0.274,0.2514,0.274,62346,0
VNMEW.US,D,20251016,000000,0.276,0.3,0.25,0.3,7904,0
VNMEW.US,D,20251022,000000,0.2501,0.28,0.25,0.28,64925,0
VNMEW.US,D,20251029,000000,0.25,0.2795,0.25,0.275,10440,0
VNMEW.US,D,20251104,000000,0.2762,0.29,0.25,0.29,17293,0
