<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WDGF.US,D,20250912,000000,30.72,30.72,30.6741,30.6741,375,0
WDGF.US,D,20250915,000000,31.06,31.06,31.0341,31.0341,389,0
WDGF.US,D,20250916,000000,31.15,31.19,31.0788,31.0788,9021,0
WDGF.US,D,20250917,000000,31.14,31.14,30.8225,30.8225,622,0
WDGF.US,D,20250918,000000,30.79,30.98,30.79,30.9438,1188,0
WDGF.US,D,20250919,000000,30.9358,30.9594,30.9358,30.9594,183,0
WDGF.US,D,20250923,000000,31.2576,31.26,31.2535,31.255,1725,0
WDGF.US,D,20250924,000000,31.39,31.46,31.39,31.455,675,0
WDGF.US,D,20250925,000000,31.3,31.3,31.2697,31.2697,208,0
WDGF.US,D,20250926,000000,31.44,31.5247,31.44,31.5247,570,0
WDGF.US,D,20250929,000000,32.05,32.05,31.7411,31.7742,7555,0
WDGF.US,D,20250930,000000,31.84,32.21,31.84,32.21,664,0
WDGF.US,D,20251001,000000,31.97,32.31,31.97,32.2614,912,0
WDGF.US,D,20251002,000000,32.41,32.52,32.41,32.4722,681,0
WDGF.US,D,20251003,000000,32.67,32.67,32.5497,32.5497,153,0
WDGF.US,D,20251006,000000,32.7,32.7,32.6315,32.6592,1317,0
WDGF.US,D,20251007,000000,32.58,32.58,32.467,32.467,804,0
WDGF.US,D,20251008,000000,32.665,32.815,32.665,32.815,727,0
WDGF.US,D,20251009,000000,32.7,32.7,32.3395,32.3395,713,0
WDGF.US,D,20251010,000000,31.99,31.99,31.5106,31.5106,826,0
WDGF.US,D,20251013,000000,31.7,31.7,31.615,31.615,511,0
WDGF.US,D,20251014,000000,31.1715,31.7632,31.1715,31.725,457,0
WDGF.US,D,20251015,000000,31.64,31.64,31.04,31.1133,5067,0
WDGF.US,D,20251016,000000,30.99,30.9984,30.93,30.9984,1452,0
WDGF.US,D,20251020,000000,31.05,31.2764,31.05,31.26,1672,0
WDGF.US,D,20251022,000000,31.25,31.25,31.22,31.22,161,0
WDGF.US,D,20251023,000000,31.36,31.7091,31.36,31.7091,543,0
WDGF.US,D,20251024,000000,31.73,31.7928,31.69,31.7928,280,0
WDGF.US,D,20251027,000000,31.95,31.95,31.735,31.79,1017,0
WDGF.US,D,20251028,000000,31.88,31.88,31.7149,31.7149,145,0
WDGF.US,D,20251030,000000,31.36,31.36,31.275,31.275,8794,0
WDGF.US,D,20251031,000000,31.33,31.3762,31.3299,31.3762,362,0
WDGF.US,D,20251103,000000,31.53,31.54,31.49,31.54,604,0
WDGF.US,D,20251104,000000,30.96,31.03,30.9265,30.9265,952,0
